Variety	Biomass	ENV	Treatment	Season	ENV_Biomass
11430	215.9024912	WD_S12	WD	S12	194.4
A3	220.212057	WD_S12	WD	S12	194.4
A310	196.5170056	WD_S12	WD	S12	194.4
A347	230.4816474	WD_S12	WD	S12	194.4
A374	203.2961775	WD_S12	WD	S12	194.4
A375	192.0923466	WD_S12	WD	S12	194.4
A554	172.1145218	WD_S12	WD	S12	194.4
AS5707	176.2640153	WD_S12	WD	S12	194.4
B100	180.2254112	WD_S12	WD	S12	194.4
B104	213.989777	WD_S12	WD	S12	194.4
B105	211.2216583	WD_S12	WD	S12	194.4
B106	245.3436635	WD_S12	WD	S12	194.4
B107	140.1023429	WD_S12	WD	S12	194.4
B108	201.3067713	WD_S12	WD	S12	194.4
B109	156.3772363	WD_S12	WD	S12	194.4
B110	170.8707528	WD_S12	WD	S12	194.4
B113	162.1228647	WD_S12	WD	S12	194.4
B37	171.2184916	WD_S12	WD	S12	194.4
B73	179.0833759	WD_S12	WD	S12	194.4
B84	203.1209692	WD_S12	WD	S12	194.4
B89	187.8017606	WD_S12	WD	S12	194.4
B97	223.366011	WD_S12	WD	S12	194.4
B98	195.5303911	WD_S12	WD	S12	194.4
C103	189.8524679	WD_S12	WD	S12	194.4
CO109	201.7827877	WD_S12	WD	S12	194.4
CR1Ht	279.4662492	WD_S12	WD	S12	194.4
D09	198.7301174	WD_S12	WD	S12	194.4
DE811	166.554855	WD_S12	WD	S12	194.4
DK4676A	159.6192028	WD_S12	WD	S12	194.4
DK78010	130.4489253	WD_S12	WD	S12	194.4
DK78371A	212.0639773	WD_S12	WD	S12	194.4
DKFAPW	240.5845424	WD_S12	WD	S12	194.4
DKFBHJ	171.2697091	WD_S12	WD	S12	194.4
DKIBO2	188.7069389	WD_S12	WD	S12	194.4
DKMBST	210.764598	WD_S12	WD	S12	194.4
EA1027	190.912239	WD_S12	WD	S12	194.4
EA1163	209.0442843	WD_S12	WD	S12	194.4
EA3076	211.7322379	WD_S12	WD	S12	194.4
EC136	207.1907239	WD_S12	WD	S12	194.4
EC140	199.2875782	WD_S12	WD	S12	194.4
EC151	187.6831003	WD_S12	WD	S12	194.4
EC169	141.7017859	WD_S12	WD	S12	194.4
EC175	167.21848	WD_S12	WD	S12	194.4
EC232	187.7108576	WD_S12	WD	S12	194.4
EC242C	196.4717891	WD_S12	WD	S12	194.4
EC334	228.0105375	WD_S12	WD	S12	194.4
EP10	268.3965927	WD_S12	WD	S12	194.4
EP2008-18	242.4882136	WD_S12	WD	S12	194.4
EP2008-22	231.7364441	WD_S12	WD	S12	194.4
EP29	193.8549362	WD_S12	WD	S12	194.4
EP51	173.44072	WD_S12	WD	S12	194.4
EP52	240.9852434	WD_S12	WD	S12	194.4
EP55	198.060202	WD_S12	WD	S12	194.4
EP67	146.6142454	WD_S12	WD	S12	194.4
EP72	151.9322505	WD_S12	WD	S12	194.4
EP77	286.3465976	WD_S12	WD	S12	194.4
EZ11A	220.2005256	WD_S12	WD	S12	194.4
EZ18	198.5742832	WD_S12	WD	S12	194.4
EZ31	232.0009436	WD_S12	WD	S12	194.4
EZ34	187.3494115	WD_S12	WD	S12	194.4
EZ35	195.2503481	WD_S12	WD	S12	194.4
EZ36	164.860971	WD_S12	WD	S12	194.4
EZ37	205.6676377	WD_S12	WD	S12	194.4
EZ38	190.6564203	WD_S12	WD	S12	194.4
EZ40	216.8002827	WD_S12	WD	S12	194.4
EZ42	210.0765461	WD_S12	WD	S12	194.4
EZ47	207.6688687	WD_S12	WD	S12	194.4
EZ48	231.4916692	WD_S12	WD	S12	194.4
F04401	118.2473331	WD_S12	WD	S12	194.4
F04402	174.255607	WD_S12	WD	S12	194.4
F04701	180.1043197	WD_S12	WD	S12	194.4
F04702	239.0489877	WD_S12	WD	S12	194.4
F05101	198.8303379	WD_S12	WD	S12	194.4
F05404	195.5142121	WD_S12	WD	S12	194.4
F1808	201.4091044	WD_S12	WD	S12	194.4
F1890	254.9933723	WD_S12	WD	S12	194.4
F218	213.0534975	WD_S12	WD	S12	194.4
F252	189.335845	WD_S12	WD	S12	194.4
F353	212.8375514	WD_S12	WD	S12	194.4
F354	157.2084117	WD_S12	WD	S12	194.4
F546	176.441466	WD_S12	WD	S12	194.4
F608	168.6623544	WD_S12	WD	S12	194.4
F618	208.9441412	WD_S12	WD	S12	194.4
F7001	177.7609211	WD_S12	WD	S12	194.4
F7019	247.1109147	WD_S12	WD	S12	194.4
F7025	209.3964503	WD_S12	WD	S12	194.4
F7028	188.1631737	WD_S12	WD	S12	194.4
F7057	230.080352	WD_S12	WD	S12	194.4
F7058	210.7764685	WD_S12	WD	S12	194.4
F7081	215.3896222	WD_S12	WD	S12	194.4
F7082	198.9171595	WD_S12	WD	S12	194.4
F712	180.9771448	WD_S12	WD	S12	194.4
F748	198.0302954	WD_S12	WD	S12	194.4
F752	202.6128198	WD_S12	WD	S12	194.4
F838	195.6662942	WD_S12	WD	S12	194.4
F874	228.2164673	WD_S12	WD	S12	194.4
F888	221.1645387	WD_S12	WD	S12	194.4
F894	175.7099322	WD_S12	WD	S12	194.4
F908	173.0204902	WD_S12	WD	S12	194.4
F912	220.6918773	WD_S12	WD	S12	194.4
F918	206.222198	WD_S12	WD	S12	194.4
F922	180.1970409	WD_S12	WD	S12	194.4
F98902	166.5078481	WD_S12	WD	S12	194.4
FP1	280.7644094	WD_S12	WD	S12	194.4
FR19	160.988096	WD_S12	WD	S12	194.4
FR697	177.9609156	WD_S12	WD	S12	194.4
H99	187.3565955	WD_S12	WD	S12	194.4
HMV5301	181.885443	WD_S12	WD	S12	194.4
HMV5325	170.0815526	WD_S12	WD	S12	194.4
HMV5343	212.7295327	WD_S12	WD	S12	194.4
HMV5347	216.0778442	WD_S12	WD	S12	194.4
HMV5405	190.4946792	WD_S12	WD	S12	194.4
HMV5409	190.4577118	WD_S12	WD	S12	194.4
HMV5422	160.5197737	WD_S12	WD	S12	194.4
HMV5502	170.9299353	WD_S12	WD	S12	194.4
I198	222.6758657	WD_S12	WD	S12	194.4
I205	178.0096566	WD_S12	WD	S12	194.4
I211	201.616856	WD_S12	WD	S12	194.4
I238	177.7782723	WD_S12	WD	S12	194.4
I242	177.2209625	WD_S12	WD	S12	194.4
I261	200.5458569	WD_S12	WD	S12	194.4
