Variety	Biomass_S12_WD	Biomass_S13_WD	Biomass_S16_WD	Biomass_W13_WD	Biomass_S12_WW	Biomass_S13_WW	Biomass_S16_WW	Biomass_W13_WW
11430	215.9024912	265.6196201	200.6650216	217.967098	299.6147986	271.4519159	361.541838	358.8164486
A3	220.212057	254.5482994	190.4735171	261.335921	345.5458098	255.1518832	395.1396658	342.4918392
A310	196.5170056	303.4584544	224.59566	220.8983125	244.6531152	296.5677457	307.2653099	314.3104829
A347	230.4816474	221.2648345	192.4857508	201.06937	241.8766907	288.7549651	301.1444247	344.3048636
A374	203.2961775	262.8950884	223.5206076	220.0138109	295.4588258	314.4661781	323.0138942	369.8387756
A375	192.0923466	231.2558911	207.9975116	177.6683072	278.5513009	255.9438777	319.2071109	330.0685694
A554	172.1145218	253.2110537	187.2883577	220.8270041	232.1166681	234.0416931	292.0715976	273.346836
AS5707	176.2640153	235.0034696	218.5804828	210.5403326	225.6999466	287.9445543	335.4060736	272.5445898
B100	180.2254112	238.0026379	201.4958854	227.2115077	263.8069567	312.800507	383.7332761	346.6532961
B104	213.989777	243.489831	206.1710691	174.7285958	293.3093988	321.7647153	302.4665189	276.0935553
B105	211.2216583	259.7891833	211.7837925	194.8122604	289.063397	330.2476144	317.2342835	240.9080633
B106	245.3436635	275.4891181	241.5173297	247.1589939	283.5219134	299.0932441	423.7720783	316.5177933
B107	140.1023429	205.3459527	160.9524314	166.9070637	157.9627037	236.8411991	217.0803305	209.5981956
B108	201.3067713	263.8836001	221.4778917	184.5100675	229.1163011	272.8621251	338.5450211	351.6216634
B109	156.3772363	224.5933008	191.8403496	212.7315698	290.325321	291.5137384	335.8471434	284.4427314
B110	170.8707528	245.7830017	202.9963261	207.7827387	267.9632837	262.3810907	312.9667496	276.9796647
B113	162.1228647	245.1282428	190.7693187	159.7580688	233.6816234	197.7994929	322.0016926	275.4047366
B37	171.2184916	257.615003	213.7926373	248.7973483	288.5172546	274.1997695	382.2865158	318.7463691
B73	179.0833759	262.9946952	191.7932449	204.0397072	209.7289702	284.4690567	323.4923321	285.8374216
B84	203.1209692	263.961257	224.8823416	238.7108478	302.3532737	265.813824	300.4043409	347.6573332
B89	187.8017606	284.8335124	219.9861765	240.3800022	260.217049	260.2331462	253.6865435	323.8342422
B97	223.366011	274.5300342	215.7858648	218.0681533	221.1881921	301.1634292	351.5979295	528.7745269
B98	195.5303911	195.8825363	189.5186689	174.9689044	229.6047297	202.290616	302.3755399	262.3328866
C103	189.8524679	259.7576529	227.0873319	240.8605378	226.1981387	267.7483266	280.4497499	298.0776357
CO109	201.7827877	306.4940623	255.1553117	241.5863042	264.3813621	310.4278878	400.3170443	356.9755393
CR1Ht	279.4662492	295.6752037	211.7652502	237.9706772	301.7017052	347.9208525	361.3792016	378.2001072
D09	198.7301174	284.5740769	228.9561072	241.2528242	301.3253067	336.1937034	386.741695	396.4630849
DE811	166.554855	229.9609723	171.7351531	167.2576526	210.028971	254.7696273	239.6131307	225.3575683
DK4676A	159.6192028	235.8514764	174.1514958	165.0741252	244.4155755	244.6862322	263.5439924	251.676392
DK78010	130.4489253	201.2806195	172.9005321	163.3991772	216.3643901	212.0353689	269.4568572	251.3902408
DK78371A	212.0639773	239.2442878	188.484172	202.3908321	241.1287088	275.5761802	329.5136888	305.9782905
DKFAPW	240.5845424	279.3778867	257.5847591	254.91689	317.5194212	325.7133774	371.774041	382.2608955
DKFBHJ	171.2697091	279.8462401	220.6335801	245.8351874	263.559904	244.7285743	325.9811774	348.211592
DKIBO2	188.7069389	269.8237992	225.8449403	230.671974	336.8297706	328.7739915	338.6220917	369.5484417
DKMBST	210.764598	241.0153001	231.4551169	219.8141916	314.1428359	353.3645409	379.9910684	355.7658774
EA1027	190.912239	320.4713315	241.9509744	188.2599883	301.1286315	334.4565743	390.3428115	373.2099911
EA1163	209.0442843	237.5542099	244.3381374	208.6341813	290.1050506	388.5454268	348.012399	337.5822116
EA3076	211.7322379	299.4548688	205.0009241	228.1816381	288.7573103	344.4455959	369.7140838	349.1449259
EC136	207.1907239	253.2720639	226.2416531	218.9672089	288.8898092	284.231025	336.5813879	320.9059738
EC140	199.2875782	253.4108501	230.5521174	206.8440121	292.7732684	288.0686958	364.2460323	290.1890483
EC151	187.6831003	184.4586542	208.8681095	145.5523461	206.4106609	206.1316366	254.0174345	221.0794076
EC169	141.7017859	223.4258958	218.7174764	218.9690401	251.2058657	281.9413937	303.0206783	294.0999821
EC175	167.21848	238.063819	209.4522528	209.880846	291.9399331	317.2542307	320.7061865	311.6663179
EC232	187.7108576	259.5148452	222.9466884	208.5782866	297.408864	262.4810134	371.0476911	313.6271951
EC242C	196.4717891	275.7172704	213.6938717	205.7785098	273.9586255	304.209054	344.9445251	311.3992597
EC334	228.0105375	218.4363321	200.9252304	201.4445606	246.2252172	244.0406712	257.6639305	252.1801457
EP10	268.3965927	328.8376666	283.1780575	257.8198888	398.9410929	397.130413	385.4187834	449.5825366
EP2008-18	242.4882136	283.7597168	226.5063933	227.1733291	262.7102676	303.7853712	311.6947409	298.8851853
EP2008-22	231.7364441	226.6318182	216.2614832	187.2815198	279.8391282	241.1055514	368.5188836	311.0399269
EP29	193.8549362	272.0964565	221.5917357	194.4806163	235.6477079	251.3954136	285.4497315	258.2126744
EP51	173.44072	283.6472866	222.6722576	215.9129225	241.3560916	332.2181469	406.8861112	322.3702598
EP52	240.9852434	282.7515314	237.8476329	271.2304987	299.2546904	363.2183332	406.7040676	318.6743451
EP55	198.060202	237.8919572	202.1695761	203.8340281	253.678748	303.7708429	264.7336201	270.5919056
EP67	146.6142454	262.5626621	234.3766587	233.7698244	279.7256207	352.6650156	345.7177343	403.5530814
EP72	151.9322505	220.7419181	223.8577948	244.5067681	233.1014853	307.9610629	353.0257122	337.8462567
EP77	286.3465976	329.5884233	247.7277617	285.2888644	344.8978778	457.1804313	437.0197836	425.2636917
EZ11A	220.2005256	167.7937415	193.4136023	230.7554905	205.8538185	250.1680498	251.5940175	275.7599676
EZ18	198.5742832	114.3534233	225.5150042	201.0339272	273.7520091	354.112761	301.8191072	285.8531905
EZ31	232.0009436	260.2164145	224.597932	253.2133757	295.8719444	327.012857	375.3297839	307.9246049
