Variety	Leaf_area	ENV	Treatment	Season	ENV_Leaf_area
11430	0.293702984	WD_S12	WD	S12	0.26
A3	0.260543626	WD_S12	WD	S12	0.26
A310	0.245101262	WD_S12	WD	S12	0.26
A347	0.268102657	WD_S12	WD	S12	0.26
A374	0.292989833	WD_S12	WD	S12	0.26
A375	0.279033066	WD_S12	WD	S12	0.26
A554	0.238015926	WD_S12	WD	S12	0.26
AS5707	0.258396501	WD_S12	WD	S12	0.26
B100	0.253121728	WD_S12	WD	S12	0.26
B104	0.292647665	WD_S12	WD	S12	0.26
B105	0.312377864	WD_S12	WD	S12	0.26
B106	0.291299714	WD_S12	WD	S12	0.26
B107	0.1742677	WD_S12	WD	S12	0.26
B108	0.263946086	WD_S12	WD	S12	0.26
B109	0.207485283	WD_S12	WD	S12	0.26
B110	0.243110694	WD_S12	WD	S12	0.26
B113	0.232850139	WD_S12	WD	S12	0.26
B37	0.2780021	WD_S12	WD	S12	0.26
B73	0.231760244	WD_S12	WD	S12	0.26
B84	0.322174561	WD_S12	WD	S12	0.26
B89	0.251028028	WD_S12	WD	S12	0.26
B97	0.303239184	WD_S12	WD	S12	0.26
B98	0.263178311	WD_S12	WD	S12	0.26
C103	0.267692014	WD_S12	WD	S12	0.26
CO109	0.274254321	WD_S12	WD	S12	0.26
CR1Ht	0.338726102	WD_S12	WD	S12	0.26
D09	0.276759133	WD_S12	WD	S12	0.26
DE811	0.237936823	WD_S12	WD	S12	0.26
DK4676A	0.148427176	WD_S12	WD	S12	0.26
DK78010	0.170204314	WD_S12	WD	S12	0.26
DK78371A	0.270267292	WD_S12	WD	S12	0.26
DKFAPW	0.287757486	WD_S12	WD	S12	0.26
DKFBHJ	0.274419446	WD_S12	WD	S12	0.26
DKIBO2	0.22388794	WD_S12	WD	S12	0.26
DKMBST	0.304522553	WD_S12	WD	S12	0.26
EA1027	0.257064861	WD_S12	WD	S12	0.26
EA1163	0.26593703	WD_S12	WD	S12	0.26
EA3076	0.308940227	WD_S12	WD	S12	0.26
EC136	0.27868332	WD_S12	WD	S12	0.26
EC140	0.294450135	WD_S12	WD	S12	0.26
EC151	0.250485769	WD_S12	WD	S12	0.26
EC169	0.186471327	WD_S12	WD	S12	0.26
EC175	0.238696434	WD_S12	WD	S12	0.26
EC232	0.276151517	WD_S12	WD	S12	0.26
EC242C	0.243612431	WD_S12	WD	S12	0.26
EC334	0.306080501	WD_S12	WD	S12	0.26
EP10	0.344311376	WD_S12	WD	S12	0.26
EP2008-18	0.31947757	WD_S12	WD	S12	0.26
EP2008-22	0.266142993	WD_S12	WD	S12	0.26
EP29	0.285963881	WD_S12	WD	S12	0.26
EP51	0.225991889	WD_S12	WD	S12	0.26
EP52	0.313180911	WD_S12	WD	S12	0.26
EP55	0.255593457	WD_S12	WD	S12	0.26
EP67	0.219163194	WD_S12	WD	S12	0.26
EP72	0.254649845	WD_S12	WD	S12	0.26
EP77	0.378949983	WD_S12	WD	S12	0.26
EZ11A	0.30699554	WD_S12	WD	S12	0.26
EZ18	0.281392285	WD_S12	WD	S12	0.26
EZ31	0.321780738	WD_S12	WD	S12	0.26
EZ34	0.271847487	WD_S12	WD	S12	0.26
EZ35	0.283221794	WD_S12	WD	S12	0.26
EZ36	0.186281831	WD_S12	WD	S12	0.26
EZ37	0.281874404	WD_S12	WD	S12	0.26
EZ38	0.284694714	WD_S12	WD	S12	0.26
EZ40	0.259423927	WD_S12	WD	S12	0.26
EZ42	0.296895676	WD_S12	WD	S12	0.26
EZ47	0.279806616	WD_S12	WD	S12	0.26
EZ48	0.296384309	WD_S12	WD	S12	0.26
F04401	0.246486918	WD_S12	WD	S12	0.26
F04402	0.18052054	WD_S12	WD	S12	0.26
F04701	0.24065703	WD_S12	WD	S12	0.26
F04702	0.268876994	WD_S12	WD	S12	0.26
F05101	0.300744542	WD_S12	WD	S12	0.26
F05404	0.227451207	WD_S12	WD	S12	0.26
F1808	0.261575877	WD_S12	WD	S12	0.26
F1890	0.293593005	WD_S12	WD	S12	0.26
F218	0.266158743	WD_S12	WD	S12	0.26
F252	0.261452378	WD_S12	WD	S12	0.26
F353	0.264781059	WD_S12	WD	S12	0.26
F354	0.24622485	WD_S12	WD	S12	0.26
F546	0.261155693	WD_S12	WD	S12	0.26
F608	0.246323311	WD_S12	WD	S12	0.26
F618	0.319397137	WD_S12	WD	S12	0.26
F7001	0.266298229	WD_S12	WD	S12	0.26
F7019	0.314538447	WD_S12	WD	S12	0.26
F7025	0.255025931	WD_S12	WD	S12	0.26
F7028	0.245227684	WD_S12	WD	S12	0.26
F7057	0.266667958	WD_S12	WD	S12	0.26
F7058	0.243145331	WD_S12	WD	S12	0.26
F7081	0.312390132	WD_S12	WD	S12	0.26
F7082	0.255314467	WD_S12	WD	S12	0.26
F712	0.260604411	WD_S12	WD	S12	0.26
F748	0.2865623	WD_S12	WD	S12	0.26
F752	0.293694868	WD_S12	WD	S12	0.26
F838	0.290099441	WD_S12	WD	S12	0.26
F874	0.280733555	WD_S12	WD	S12	0.26
F888	0.267055572	WD_S12	WD	S12	0.26
F894	0.246931869	WD_S12	WD	S12	0.26
F908	0.255564718	WD_S12	WD	S12	0.26
F912	0.287998399	WD_S12	WD	S12	0.26
F918	0.281763539	WD_S12	WD	S12	0.26
F922	0.25	WD_S12	WD	S12	0.26
F98902	0.211046624	WD_S12	WD	S12	0.26
FP1	0.386765059	WD_S12	WD	S12	0.26
FR19	0.186555109	WD_S12	WD	S12	0.26
FR697	0.262491429	WD_S12	WD	S12	0.26
H99	0.241764403	WD_S12	WD	S12	0.26
HMV5301	0.194169823	WD_S12	WD	S12	0.26
HMV5325	0.25252357	WD_S12	WD	S12	0.26
HMV5343	0.293598174	WD_S12	WD	S12	0.26
HMV5347	0.278457703	WD_S12	WD	S12	0.26
HMV5405	0.210969932	WD_S12	WD	S12	0.26
HMV5409	0.222447045	WD_S12	WD	S12	0.26
HMV5422	0.251446301	WD_S12	WD	S12	0.26
HMV5502	0.19794446	WD_S12	WD	S12	0.26
I198	0.314699239	WD_S12	WD	S12	0.26
I205	0.244295945	WD_S12	WD	S12	0.26
I211	0.270209285	WD_S12	WD	S12	0.26
I238	0.241642293	WD_S12	WD	S12	0.26
I242	0.241434021	WD_S12	WD	S12	0.26
I261	0.270535495	WD_S12	WD	S12	0.26
I267	0.295956965	WD_S12	WD	S12	0.26
IDT	0.20030243	WD_S12	WD	S12	0.26
LAN496	0.261478311	WD_S12	WD	S12	0.26
LH123Ht	0.327198384	WD_S12	WD	S12	0.26
LH145	0.293052519	WD_S12	WD	S12	0.26
LH38	0.330511117	WD_S12	WD	S12	0.26
LH39	0.333430239	WD_S12	WD	S12	0.26
LH59	0.257174559	WD_S12	WD	S12	0.26
LH60	0.23969896	WD_S12	WD	S12	0.26
LH65	0.249922556	WD_S12	WD	S12	0.26
LH74	0.248243788	WD_S12	WD	S12	0.26
LH82	0.236137335	WD_S12	WD	S12	0.26
LH93	0.283791998	WD_S12	WD	S12	0.26
Lo1016	0.307600316	WD_S12	WD	S12	0.26
Lo1026	0.294377678	WD_S12	WD	S12	0.26
Lo1035	0.287406283	WD_S12	WD	S12	0.26
Lo1038	0.243973045	WD_S12	WD	S12	0.26
Lo1056	0.276234851	WD_S12	WD	S12	0.26
Lo1063	0.287044007	WD_S12	WD	S12	0.26
Lo1087	0.164194938	WD_S12	WD	S12	0.26
Lo1094	0.307967335	WD_S12	WD	S12	0.26
Lo1095	0.216962931	WD_S12	WD	S12	0.26
Lo1101	0.233635621	WD_S12	WD	S12	0.26
Lo1106	0.2135166	WD_S12	WD	S12	0.26
Lo1123	0.327534287	WD_S12	WD	S12	0.26
Lo1124	0.243115478	WD_S12	WD	S12	0.26
Lo1172	0.255230813	WD_S12	WD	S12	0.26
Lo1180	0.226530106	WD_S12	WD	S12	0.26
Lo1187	0.244517925	WD_S12	WD	S12	0.26
Lo1199	0.254245911	WD_S12	WD	S12	0.26
Lo1203	0.268295244	WD_S12	WD	S12	0.26
Lo1223	0.244355986	WD_S12	WD	S12	0.26
Lo1251	0.164992513	WD_S12	WD	S12	0.26
Lo1253	0.234332569	WD_S12	WD	S12	0.26
Lo1261	0.210387314	WD_S12	WD	S12	0.26
Lo1266	0.290240133	WD_S12	WD	S12	0.26
Lo1270	0.28253077	WD_S12	WD	S12	0.26
Lo1273	0.324238212	WD_S12	WD	S12	0.26
Lo1274	0.332140765	WD_S12	WD	S12	0.26
Lo1280	0.264959801	WD_S12	WD	S12	0.26
Lo1284	0.268276117	WD_S12	WD	S12	0.26
Lo1288	0.217014553	WD_S12	WD	S12	0.26
Lo1290	0.276818926	WD_S12	WD	S12	0.26
Lo1301	0.291554853	WD_S12	WD	S12	0.26
Lo904	0.253787926	WD_S12	WD	S12	0.26
Lp5	0.27609207	WD_S12	WD	S12	0.26
ML606	0.2480034	WD_S12	WD	S12	0.26
Mo15W	0.332522687	WD_S12	WD	S12	0.26
Mo17	0.256662255	WD_S12	WD	S12	0.26
MS153	0.276318889	WD_S12	WD	S12	0.26
MS71	0.27049488	WD_S12	WD	S12	0.26
N16	0.19776428	WD_S12	WD	S12	0.26
N192	0.277582543	WD_S12	WD	S12	0.26
N22	0.235133027	WD_S12	WD	S12	0.26
N25	0.282529417	WD_S12	WD	S12	0.26
N6	0.263756664	WD_S12	WD	S12	0.26
NC290	0.225702683	WD_S12	WD	S12	0.26
NC358	0.283601574	WD_S12	WD	S12	0.26
NDB8	0.169825814	WD_S12	WD	S12	0.26
NK764	0.283920372	WD_S12	WD	S12	0.26
NK807	0.312908048	WD_S12	WD	S12	0.26
NQ508	0.235570611	WD_S12	WD	S12	0.26
NS701	0.262144682	WD_S12	WD	S12	0.26
Oh02	0.258085051	WD_S12	WD	S12	0.26
Oh33	0.352931058	WD_S12	WD	S12	0.26
Oh40B	0.300138967	WD_S12	WD	S12	0.26
Oh43	0.352903942	WD_S12	WD	S12	0.26
Os426	0.303303274	WD_S12	WD	S12	0.26
P465P	0.302656848	WD_S12	WD	S12	0.26
Pa36	0.284453424	WD_S12	WD	S12	0.26
Pa405	0.26759595	WD_S12	WD	S12	0.26
Pa91	0.287994786	WD_S12	WD	S12	0.26
PB116	0.250691638	WD_S12	WD	S12	0.26
PB98TR	0.279989096	WD_S12	WD	S12	0.26
PH207	0.128118136	WD_S12	WD	S12	0.26
PHB09	0.249519175	WD_S12	WD	S12	0.26
PHG35	0.210156791	WD_S12	WD	S12	0.26
PHG39	0.304973547	WD_S12	WD	S12	0.26
PHG47	0.25825574	WD_S12	WD	S12	0.26
PHG50	0.279860324	WD_S12	WD	S12	0.26
PHG71	0.267979118	WD_S12	WD	S12	0.26
PHG80	0.215401481	WD_S12	WD	S12	0.26
PHG84	0.294386409	WD_S12	WD	S12	0.26
PHG86	0.282557279	WD_S12	WD	S12	0.26
PHH93	0.153145657	WD_S12	WD	S12	0.26
PHJ40	0.25955591	WD_S12	WD	S12	0.26
PHK29	0.343915255	WD_S12	WD	S12	0.26
PHK76	0.256571964	WD_S12	WD	S12	0.26
