Variety	Leaf_area_S12_WD	Leaf_area_S13_WD	Leaf_area_S16_WD	Leaf_area_W13_WD	Leaf_area_S12_WW	Leaf_area_S13_WW	Leaf_area_S16_WW	Leaf_area_W13_WW
11430	0.293702984	0.418099893	0.275433024	0.308847805	0.36203812	0.397154943	0.445591656	0.397078137
A3	0.260543626	0.363138996	0.234141046	0.342923696	0.367329482	0.341787987	0.438302309	0.380924723
A310	0.245101262	0.401722354	0.291650047	0.32310123	0.305644032	0.409809231	0.403933056	0.390020483
A347	0.268102657	0.349612725	0.258911029	0.295145922	0.303464777	0.386252335	0.392662192	0.36001276
A374	0.292989833	0.414885511	0.311892529	0.316812703	0.364922873	0.441742011	0.414984457	0.400621595
A375	0.279033066	0.354900322	0.273178824	0.28245919	0.32153389	0.381776894	0.425887309	0.398268871
A554	0.238015926	0.394234	0.262081206	0.29802091	0.283203995	0.369433121	0.390009922	0.35593603
AS5707	0.258396501	0.327684023	0.268195779	0.260723448	0.276832122	0.381263913	0.39396504	0.334937857
B100	0.253121728	0.396387964	0.267675762	0.288158929	0.340645763	0.417888796	0.453556375	0.402654276
B104	0.292647665	0.363782869	0.285677292	0.247994434	0.360314882	0.430471084	0.418247233	0.339594878
B105	0.312377864	0.383275233	0.289397969	0.254612387	0.360420586	0.41627605	0.437030261	0.338723276
B106	0.291299714	0.364060734	0.292566008	0.308800168	0.337134218	0.384014086	0.432983241	0.347411974
B107	0.1742677	0.326868098	0.219624785	0.244483859	0.220772829	0.333373329	0.253255784	0.274348357
B108	0.263946086	0.385001417	0.272226132	0.246857867	0.300611432	0.375417122	0.419022699	0.381620334
B109	0.207485283	0.341266405	0.256065979	0.287660347	0.331019237	0.377719154	0.398401177	0.334024729
B110	0.243110694	0.408442293	0.293318694	0.291645984	0.342154144	0.390117495	0.432360901	0.356816064
B113	0.232850139	0.371393784	0.269192491	0.235840738	0.278931754	0.326986306	0.399931381	0.384476165
B37	0.2780021	0.362501131	0.289880855	0.318783166	0.351004061	0.366052443	0.452261763	0.383150982
B73	0.231760244	0.376844545	0.252071339	0.280023901	0.271397978	0.370918972	0.386762572	0.342105696
B84	0.322174561	0.392014303	0.280713908	0.31914345	0.365873408	0.383183295	0.381246736	0.410277496
B89	0.251028028	0.394810803	0.287167016	0.283821191	0.321265821	0.395177428	0.371155529	0.358155141
B97	0.303239184	0.360714013	0.276240481	0.328115167	0.303923465	0.431089794	0.427129741	0.518809033
B98	0.263178311	0.329652342	0.270951453	0.236620703	0.318114117	0.322364373	0.406544562	0.32656786
C103	0.267692014	0.349381258	0.268345862	0.33106359	0.275988294	0.39416561	0.368509712	0.348114291
CO109	0.274254321	0.415468472	0.298446948	0.309052587	0.320128817	0.380410563	0.46241673	0.420875156
CR1Ht	0.338726102	0.398383077	0.278938852	0.325222671	0.36059961	0.451699845	0.429736647	0.416354621
D09	0.276759133	0.415096526	0.294572686	0.292762599	0.346598829	0.407921983	0.408087674	0.401415388
DE811	0.237936823	0.343568897	0.244495456	0.260963192	0.281840132	0.347183979	0.304874539	0.298908557
DK4676A	0.148427176	0.331093723	0.226109753	0.227353912	0.27102843	0.305033383	0.337075327	0.299585338
DK78010	0.170204314	0.309525543	0.247864137	0.243133605	0.267346152	0.296239463	0.366599575	0.308308987
DK78371A	0.270267292	0.344213198	0.268274657	0.312107572	0.303238735	0.368176717	0.423650246	0.345502772
DKFAPW	0.287757486	0.389995029	0.324752115	0.332586128	0.36617059	0.42376167	0.426562603	0.432789858
DKFBHJ	0.274419446	0.40325074	0.292346079	0.31057699	0.331199525	0.379502736	0.425528372	0.394895263
DKIBO2	0.22388794	0.394669764	0.286315163	0.324625356	0.3293672	0.434606011	0.390164038	0.410071022
DKMBST	0.304522553	0.385544709	0.308843697	0.287463323	0.376481419	0.470946497	0.508175157	0.395962875
EA1027	0.257064861	0.409320748	0.292015222	0.278054471	0.352044254	0.431189758	0.446539074	0.415059109
EA1163	0.26593703	0.357905435	0.294587545	0.288280909	0.308244452	0.455963459	0.449482643	0.370218718
EA3076	0.308940227	0.376662928	0.24968765	0.271165138	0.308173349	0.44751936	0.399082603	0.347350643
EC136	0.27868332	0.401265975	0.298388515	0.283325663	0.330412759	0.400499913	0.403784533	0.393975182
EC140	0.294450135	0.392165493	0.299010297	0.293382713	0.349630556	0.409372655	0.46494654	0.385438087
EC151	0.250485769	0.294714274	0.29285439	0.247018119	0.287826431	0.321997423	0.364775792	0.282325348
EC169	0.186471327	0.350440879	0.263821779	0.27810805	0.297157607	0.366963153	0.347605802	0.324249723
EC175	0.238696434	0.363915681	0.279490245	0.276839311	0.326889736	0.40597627	0.432521264	0.358772392
EC232	0.276151517	0.390880081	0.282124006	0.293476564	0.342004994	0.37769834	0.42898547	0.379281687
EC242C	0.243612431	0.362502511	0.280692958	0.289962865	0.335525131	0.39594013	0.381906997	0.371731646
EC334	0.306080501	0.355038519	0.269023645	0.275545581	0.307140005	0.367621597	0.378341446	0.325877817
EP10	0.344311376	0.420117936	0.320834448	0.324731894	0.408608722	0.443017922	0.378061785	0.469949634
EP2008-18	0.31947757	0.39253617	0.283637091	0.307135373	0.317661313	0.383816408	0.389230336	0.358246062
EP2008-22	0.266142993	0.365147024	0.27904613	0.295857626	0.3470099	0.360107827	0.441705905	0.390728543
EP29	0.285963881	0.398814034	0.322236615	0.285154216	0.313939406	0.36823075	0.448829537	0.374220285
EP51	0.225991889	0.355653011	0.2751534	0.280536223	0.27078218	0.400898084	0.413647764	0.348693924
EP52	0.313180911	0.382573354	0.300909733	0.344716656	0.344041333	0.466364408	0.491731254	0.376225248
EP55	0.255593457	0.368455743	0.301896772	0.294629757	0.298184422	0.423153665	0.382830663	0.347530011
EP67	0.219163194	0.356268472	0.283559173	0.307376563	0.329147489	0.435769975	0.427355108	0.425646552
EP72	0.254649845	0.323784917	0.290295421	0.317024378	0.273942847	0.383512961	0.388740122	0.401811317
EP77	0.378949983	0.457528229	0.310481577	0.339017807	0.395321705	0.522684095	0.46608771	0.439725177
EZ11A	0.30699554	0.298550279	0.253037499	0.27158208	0.253222358	0.320200241	0.368594323	0.319656454
EZ18	0.281392285	0.3	0.292831953	0.268874378	0.321528167	0.438271654	0.382108005	0.344408906
EZ31	0.321780738	0.399494724	0.300037128	0.313796125	0.372247134	0.416846384	0.460088584	0.380126617
EZ34	0.271847487	0.390520811	0.280244451	0.288333191	0.344252866	0.412610616	0.451808433	0.374301226
EZ35	0.283221794	0.352165785	0.285584507	0.292269713	0.359712743	0.363779467	0.451817267	0.327588132
EZ36	0.186281831	0.35668829	0.263082112	0.275114046	0.287469881	0.382414977	0.423184137	0.339806025
EZ37	0.281874404	0.318911986	0.262240279	0.299575173	0.293939025	0.363403406	0.405704447	0.296152801
EZ38	0.284694714	0.361684153	0.288287046	0.341623937	0.391143612	0.435625577	0.484637426	0.392496985
EZ40	0.259423927	0.325046517	0.280713696	0.254007815	0.288197655	0.314552943	0.373189218	0.317405234
EZ42	0.296895676	0.373459319	0.286908418	0.313014812	0.313671824	0.392654728	0.403120814	0.337942152
EZ47	0.279806616	0.340429491	0.283647521	0.274105642	0.324252294	0.384698217	0.42164077	0.369604961
EZ48	0.296384309	0.338844962	0.277910938	0.260582169	0.317329319	0.334674366	0.381657708	0.403591086
F04401	0.246486918	0.287770076	0.222291317	0.244044505	0.261868186	0.369946499	0.348114721	0.319171932
F04402	0.18052054	0.305626552	0.253580422	0.259770023	0.291298795	0.300132968	0.372215215	0.330878391
F04701	0.24065703	0.324099619	0.275337789	0.25277026	0.2847633	0.400407892	0.423366425	0.315711486
F04702	0.268876994	0.395593568	0.280805492	0.296205059	0.292135925	0.414671328	0.458521222	0.36851475
F05101	0.300744542	0.39151484	0.310588463	0.305232784	0.353706438	0.403924094	0.423342382	0.414686716
F05404	0.227451207	0.316827712	0.265769274	0.29474044	0.300850602	0.343086022	0.395999437	0.357119083
F1808	0.261575877	0.390838131	0.27375555	0.304782157	0.279794536	0.404566137	0.399324926	0.412240839
F1890	0.293593005	0.346907317	0.261698298	0.297637495	0.349529885	0.358536933	0.364240412	0.389661343
F218	0.266158743	0.394578733	0.274211179	0.330902852	0.308012992	0.425243087	0.410779325	0.40300936
F252	0.261452378	0.354636381	0.267679455	0.287443238	0.321317675	0.438199733	0.41423105	0.428754919
F353	0.264781059	0.404581927	0.262877401	0.31084706	0.328516701	0.448508984	0.388266145	0.394936404
F354	0.24622485	0.337441523	0.238980226	0.244325615	0.274615274	0.368051529	0.336352466	0.3144814
F546	0.261155693	0.339443001	0.279487105	0.243434356	0.297207801	0.364779371	0.402969175	0.301445487
F608	0.246323311	0.384256923	0.284581369	0.266423742	0.319953199	0.34908723	0.433203744	0.36078998
F618	0.319397137	0.39140756	0.28996942	0.314525541	0.3473135	0.404510417	0.43996292	0.359053598
F7001	0.266298229	0.382883473	0.270583563	0.266146398	0.289680527	0.355785934	0.431463833	0.365854598
F7019	0.314538447	0.470077511	0.291973209	0.339060087	0.38982117	0.456652953	0.497225939	0.401906676
F7025	0.255025931	0.337538689	0.246023664	0.276001107	0.338301763	0.396096487	0.393557581	0.37505917
F7028	0.245227684	0.346846416	0.264793994	0.272599594	0.2985178	0.383559791	0.419179666	0.383057732
F7057	0.266667958	0.353835689	0.276350001	0.269648666	0.327171538	0.370954636	0.395819769	0.403431671
F7058	0.243145331	0.382912224	0.261984623	0.347110662	0.293460151	0.399238917	0.440550891	0.417504488
F7081	0.312390132	0.417516598	0.290551823	0.322873882	0.385779146	0.455794499	0.501591127	0.490171958
F7082	0.255314467	0.365986793	0.278705342	0.299866211	0.299328176	0.395423177	0.405550295	0.413933092
F712	0.260604411	0.321396292	0.271423015	0.290090065	0.288887894	0.335521441	0.386403609	0.381864718
F748	0.2865623	0.369760933	0.278218437	0.314676272	0.356011762	0.409663132	0.397585608	0.3582864
F752	0.293694868	0.337178902	0.287870992	0.286341098	0.320276743	0.295898701	0.43435388	0.360605461
F838	0.290099441	0.408681212	0.316178836	0.339286314	0.344193127	0.3788199	0.469676605	0.410390658
F874	0.280733555	0.381417247	0.273660129	0.309054532	0.345767232	0.432382206	0.400988942	0.3773547
F888	0.267055572	0.410072861	0.314035582	0.329601282	0.333909095	0.367334556	0.365548816	0.47482726
F894	0.246931869	0.383307426	0.304961638	0.312030736	0.336715545	0.410604885	0.378150616	0.353323393
F908	0.255564718	0.366777462	0.251028972	0.262755088	0.345589687	0.358041599	0.383054712	0.353399053
F912	0.287998399	0.378977834	0.287663218	0.328915715	0.32810032	0.419723646	0.490377382	0.401918105
F918	0.281763539	0.392166753	0.308240008	0.310794674	0.344152159	0.381166476	0.378514328	0.430018026
F922	0.25	0.319846671	0.23549389	0.300717841	0.320508613	0.339321001	0.403552626	0.395504311
F98902	0.211046624	0.382422292	0.228802691	0.294141984	0.285882204	0.4005406	0.364607338	0.38759451
FP1	0.386765059	0.452225284	0.311695889	0.332369475	0.40739606	0.541620448	0.432190664	0.427882887
FR19	0.186555109	0.373965065	0.281742667	0.298470518	0.319507043	0.375056961	0.344090966	0.368466252
FR697	0.262491429	0.332557011	0.249275697	0.256795674	0.30566213	0.324056636	0.36803066	0.304362334
H99	0.241764403	0.370215819	0.249352246	0.272125693	0.320673479	0.367624458	0.403440887	0.336114924
HMV5301	0.194169823	0.338520228	0.233368851	0.279449829	0.330204543	0.41887186	0.298778267	0.432882385
HMV5325	0.25252357	0.350263272	0.257158581	0.28359629	0.322812111	0.382430957	0.393957834	0.379829155
HMV5343	0.293598174	0.366390341	0.306062413	0.263736539	0.299483279	0.365553172	0.364458045	0.345184395
HMV5347	0.278457703	0.345157399	0.285450893	0.299116695	0.281580899	0.404589327	0.395387975	0.425026551
HMV5405	0.210969932	0.356790937	0.272929421	0.239852804	0.290406116	0.356262812	0.402262152	0.374458566
HMV5409	0.222447045	0.368278248	0.276711051	0.317207284	0.349378847	0.387868423	0.393151475	0.379918329
HMV5422	0.251446301	0.372439983	0.265932062	0.25285154	0.30474879	0.347785155	0.412209924	0.36434491
HMV5502	0.19794446	0.362530658	0.298476589	0.304662302	0.315888573	0.418948516	0.409480988	0.38347294
I198	0.314699239	0.365284246	0.276257363	0.292282322	0.3639172	0.433969295	0.423224561	0.357973887
I205	0.244295945	0.321059184	0.249495309	0.250662062	0.272849319	0.26875998	0.374129015	0.295014405
I211	0.270209285	0.383772363	0.304598325	0.319471331	0.328096782	0.422186793	0.454805082	0.41211161
I238	0.241642293	0.363916892	0.300678352	0.286282926	0.311078502	0.382876887	0.435916347	0.375771326
I242	0.241434021	0.391085166	0.28242391	0.316708025	0.331182597	0.386816793	0.384963811	0.359778527
I261	0.270535495	0.300778608	0.240915827	0.248482654	0.28082673	0.334728049	0.293416929	0.307417856
I267	0.295956965	0.36200437	0.301136018	0.29675328	0.359681794	0.43808949	0.425226928	0.394120693
IDT	0.20030243	0.366558842	0.279732501	0.262724926	0.327573263	0.38992215	0.404408287	0.373382364
LAN496	0.261478311	0.368086433	0.273365938	0.294569376	0.328357422	0.396428774	0.393552513	0.376856996
LH123Ht	0.327198384	0.404853756	0.290221632	0.352820085	0.378126678	0.444285363	0.444009558	0.422547017
LH145	0.293052519	0.365012197	0.288680183	0.302799023	0.319278127	0.367569411	0.379936846	0.343144567
LH38	0.330511117	0.418814211	0.301772565	0.334002723	0.373018	0.425527164	0.440211141	0.432014753
LH39	0.333430239	0.394306504	0.303918978	0.367730985	0.405425467	0.400894449	0.532798158	0.379885449
LH59	0.257174559	0.329197653	0.251607671	0.24681129	0.289591634	0.390169113	0.445189696	0.355388951
LH60	0.23969896	0.333025373	0.271307124	0.27665031	0.295785118	0.37958389	0.364539106	0.382567705
LH65	0.249922556	0.380576051	0.269195837	0.263229671	0.318426652	0.332695042	0.402661032	0.339982122
LH74	0.248243788	0.318775076	0.248111534	0.278435927	0.301570865	0.376504888	0.371928387	0.324974615
LH82	0.236137335	0.339938486	0.250967004	0.253326063	0.258432528	0.363219779	0.356891882	0.365347167
LH93	0.283791998	0.33445377	0.270487718	0.312656665	0.293068024	0.376235938	0.399223731	0.367304403
Lo1016	0.307600316	0.371882974	0.289711802	0.319391604	0.32698528	0.435849265	0.402841572	0.362992645
Lo1026	0.294377678	0.368345245	0.287366851	0.297028918	0.312259545	0.40012177	0.391537607	0.360531616
Lo1035	0.287406283	0.38643841	0.29329507	0.295148016	0.313989388	0.41926349	0.429006582	0.35614633
Lo1038	0.243973045	0.319648381	0.239676393	0.254082857	0.289263389	0.303080372	0.378910836	0.324194986
Lo1056	0.276234851	0.314559609	0.294601988	0.264393658	0.304506784	0.354843516	0.412416398	0.420595696
Lo1063	0.287044007	0.330223163	0.259206584	0.275158678	0.301055568	0.349447161	0.406876245	0.313758106
Lo1087	0.164194938	0.292642169	0.253098001	0.203479647	0.229475513	0.315091961	0.333863188	0.33412738
Lo1094	0.307967335	0.378768777	0.275152526	0.291865358	0.308673375	0.373749547	0.393394335	0.384586809
Lo1095	0.216962931	0.354161191	0.296555903	0.289823866	0.332887928	0.373448763	0.417477263	0.391259521
Lo1101	0.233635621	0.375230534	0.29800621	0.281057237	0.28302543	0.429093127	0.354257478	0.335737962
Lo1106	0.2135166	0.345736346	0.276821905	0.280708935	0.267372252	0.388605255	0.40989651	0.357310932
Lo1123	0.327534287	0.427761461	0.28619406	0.342446456	0.405160686	0.448148057	0.423177328	0.45512025
Lo1124	0.243115478	0.357174404	0.25907764	0.257893014	0.270544088	0.34470365	0.353797243	0.321393428
Lo1172	0.255230813	0.421967773	0.271428184	0.315420464	0.322279758	0.433038811	0.407281828	0.394902851
Lo1180	0.226530106	0.404611636	0.259439995	0.314830241	0.320140547	0.426007574	0.414693401	0.356955509
Lo1187	0.244517925	0.383638998	0.275089913	0.290473105	0.29993761	0.394323329	0.367230464	0.380868101
Lo1199	0.254245911	0.365436258	0.293630307	0.278156925	0.297028173	0.404606538	0.422182529	0.364201555
Lo1203	0.268295244	0.315987929	0.267503996	0.254241642	0.291054549	0.344071585	0.352170297	0.318356047
Lo1223	0.244355986	0.380503418	0.279952095	0.302820579	0.320330928	0.425153605	0.430254695	0.407530735
Lo1251	0.164992513	0.351221058	0.252696204	0.225462682	0.275852651	0.383703747	0.414028583	0.30939611
Lo1253	0.234332569	0.400318927	0.317948665	0.26521681	0.317297184	0.425680533	0.389194972	0.359105179
Lo1261	0.210387314	0.414074632	0.292527026	0.289009592	0.26756025	0.363220474	0.395506225	0.352850593
Lo1266	0.290240133	0.38923933	0.290104432	0.29328016	0.350894748	0.357894515	0.379899402	0.379174184
Lo1270	0.28253077	0.35163262	0.279068884	0.292909896	0.318444363	0.382517689	0.454858321	0.372100595
Lo1273	0.324238212	0.407877886	0.292103504	0.335514909	0.353859509	0.431065918	0.398890056	0.38885778
Lo1274	0.332140765	0.40417762	0.284326234	0.270897766	0.322790914	0.426748323	0.445077106	0.378646208
Lo1280	0.264959801	0.331351416	0.243273416	0.297450795	0.276827413	0.33252719	0.389769287	0.309061246
Lo1284	0.268276117	0.373393372	0.258532036	0.298687788	0.357484737	0.390405864	0.360483117	0.319671619
Lo1288	0.217014553	0.323169519	0.240670933	0.235833581	0.269685322	0.34859143	0.333488788	0.267227212
Lo1290	0.276818926	0.39222407	0.282920841	0.276845272	0.293214867	0.419183214	0.455251483	0.390997725
Lo1301	0.291554853	0.34041107	0.286835645	0.312746953	0.334283352	0.347956384	0.372568778	0.347164979
Lo904	0.253787926	0.365339876	0.269690043	0.297259242	0.306601586	0.376564763	0.375591021	0.381112743
