Variety	Biomass	LAl	WUE	Season	Treatment
11430	215.9024912	0.293702984	48.74830055	S12	WD
A3	220.212057	0.260543626	52.87363633	S12	WD
A310	196.5170056	0.245101262	59.1719731	S12	WD
A347	230.4816474	0.268102657	51.62270623	S12	WD
A374	203.2961775	0.292989833	51.3364912	S12	WD
A375	192.0923466	0.279033066	45.40868336	S12	WD
A554	172.1145218	0.238015926	48.62881772	S12	WD
AS5707	176.2640153	0.258396501	54.30970742	S12	WD
B100	180.2254112	0.253121728	48.33912805	S12	WD
B104	213.989777	0.292647665	47.877703	S12	WD
B105	211.2216583	0.312377864	47.82824332	S12	WD
B106	245.3436635	0.291299714	51.95710954	S12	WD
B107	140.1023429	0.1742677	71.08775011	S12	WD
B108	201.3067713	0.263946086	55.79725038	S12	WD
B109	156.3772363	0.207485283	55.39298204	S12	WD
B110	170.8707528	0.243110694	54.84938114	S12	WD
B113	162.1228647	0.232850139	60.57481771	S12	WD
B37	171.2184916	0.2780021	65.07732039	S12	WD
B73	179.0833759	0.231760244	50.60134384	S12	WD
B84	203.1209692	0.322174561	38.71521266	S12	WD
B89	187.8017606	0.251028028	48.63844247	S12	WD
B97	223.366011	0.303239184	49.94666132	S12	WD
B98	195.5303911	0.263178311	43.16085177	S12	WD
C103	189.8524679	0.267692014	62.1777172	S12	WD
CO109	201.7827877	0.274254321	60.08715464	S12	WD
CR1Ht	279.4662492	0.338726102	57.47243039	S12	WD
D09	198.7301174	0.276759133	52.57441085	S12	WD
DE811	166.554855	0.237936823	50.56629471	S12	WD
DK4676A	159.6192028	0.148427176	70.13147923	S12	WD
DK78010	130.4489253	0.170204314	69.79886344	S12	WD
DK78371A	212.0639773	0.270267292	57.90862086	S12	WD
DKFAPW	240.5845424	0.287757486	60.00387231	S12	WD
DKFBHJ	171.2697091	0.274419446	53.7814341	S12	WD
DKIBO2	188.7069389	0.22388794	54.9965426	S12	WD
DKMBST	210.764598	0.304522553	57.0727135	S12	WD
EA1027	190.912239	0.257064861	54.20041179	S12	WD
EA1163	209.0442843	0.26593703	55.12074204	S12	WD
EA3076	211.7322379	0.308940227	52.1977828	S12	WD
EC136	207.1907239	0.27868332	58.77246906	S12	WD
EC140	199.2875782	0.294450135	49.79781098	S12	WD
EC151	187.6831003	0.250485769	53.04188345	S12	WD
EC169	141.7017859	0.186471327	44.92170187	S12	WD
EC175	167.21848	0.238696434	48.36376324	S12	WD
EC232	187.7108576	0.276151517	53.57380311	S12	WD
EC242C	196.4717891	0.243612431	59.49460848	S12	WD
EC334	228.0105375	0.306080501	46.09260084	S12	WD
EP10	268.3965927	0.344311376	55.32915631	S12	WD
EP2008-18	242.4882136	0.31947757	57.48284988	S12	WD
EP2008-22	231.7364441	0.266142993	50.93590021	S12	WD
EP29	193.8549362	0.285963881	55.6351214	S12	WD
EP51	173.44072	0.225991889	56.92523485	S12	WD
EP52	240.9852434	0.313180911	53.80866533	S12	WD
EP55	198.060202	0.255593457	57.40368721	S12	WD
EP67	146.6142454	0.219163194	64.6023578	S12	WD
EP72	151.9322505	0.254649845	64.55345897	S12	WD
EP77	286.3465976	0.378949983	57.18538011	S12	WD
EZ11A	220.2005256	0.30699554	54.94022123	S12	WD
EZ18	198.5742832	0.281392285	57.44095192	S12	WD
EZ31	232.0009436	0.321780738	48.28707366	S12	WD
EZ34	187.3494115	0.271847487	63.8411131	S12	WD
EZ35	195.2503481	0.283221794	55.31000225	S12	WD
EZ36	164.860971	0.186281831	63.75156794	S12	WD
EZ37	205.6676377	0.281874404	52.34397381	S12	WD
EZ38	190.6564203	0.284694714	47.53996013	S12	WD
EZ40	216.8002827	0.259423927	55.65094493	S12	WD
EZ42	210.0765461	0.296895676	53.11743892	S12	WD
EZ47	207.6688687	0.279806616	58.84787938	S12	WD
EZ48	231.4916692	0.296384309	47.40024323	S12	WD
F04401	118.2473331	0.246486918	61.94435051	S12	WD
F04402	174.255607	0.18052054	51.59995951	S12	WD
F04701	180.1043197	0.24065703	48.4036259	S12	WD
F04702	239.0489877	0.268876994	53.41981296	S12	WD
F05101	198.8303379	0.300744542	50.18893605	S12	WD
F05404	195.5142121	0.227451207	61.69214313	S12	WD
F1808	201.4091044	0.261575877	53.6261448	S12	WD
F1890	254.9933723	0.293593005	46.04449352	S12	WD
F218	213.0534975	0.266158743	58.55047374	S12	WD
F252	189.335845	0.261452378	57.78296551	S12	WD
F353	212.8375514	0.264781059	47.14806156	S12	WD
F354	157.2084117	0.24622485	69.10065438	S12	WD
F546	176.441466	0.261155693	56.3694467	S12	WD
F608	168.6623544	0.246323311	51.71395375	S12	WD
F618	208.9441412	0.319397137	62.79870569	S12	WD
F7001	177.7609211	0.266298229	49.57009207	S12	WD
F7019	247.1109147	0.314538447	45.57569193	S12	WD
F7025	209.3964503	0.255025931	57.08471501	S12	WD
F7028	188.1631737	0.245227684	59.28455145	S12	WD
F7057	230.080352	0.266667958	60.4505266	S12	WD
F7058	210.7764685	0.243145331	54.44507443	S12	WD
F7081	215.3896222	0.312390132	53.75880233	S12	WD
F7082	198.9171595	0.255314467	56.85864929	S12	WD
F712	180.9771448	0.260604411	59.09560059	S12	WD
F748	198.0302954	0.2865623	51.33924584	S12	WD
F752	202.6128198	0.293694868	55.41857544	S12	WD
F838	195.6662942	0.290099441	60.2779186	S12	WD
F874	228.2164673	0.280733555	57.01233557	S12	WD
F888	221.1645387	0.267055572	47.30749886	S12	WD
F894	175.7099322	0.246931869	58.9445926	S12	WD
F908	173.0204902	0.255564718	45.43793724	S12	WD
F912	220.6918773	0.287998399	54.72541598	S12	WD
F918	206.222198	0.281763539	58.99618561	S12	WD
F922	180.1970409	0.25	63.37595625	S12	WD
F98902	166.5078481	0.211046624	53.46137125	S12	WD
FP1	280.7644094	0.386765059	59.18792586	S12	WD
FR19	160.988096	0.186555109	58.41503706	S12	WD
FR697	177.9609156	0.262491429	51.59936969	S12	WD
H99	187.3565955	0.241764403	56.03113543	S12	WD
HMV5301	181.885443	0.194169823	53.51232196	S12	WD
HMV5325	170.0815526	0.25252357	55.36382548	S12	WD
HMV5343	212.7295327	0.293598174	61.34781951	S12	WD
HMV5347	216.0778442	0.278457703	53.10488771	S12	WD
HMV5405	190.4946792	0.210969932	60.461726	S12	WD
HMV5409	190.4577118	0.222447045	60.93913194	S12	WD
HMV5422	160.5197737	0.251446301	71.85348705	S12	WD
HMV5502	170.9299353	0.19794446	60.58140567	S12	WD
I198	222.6758657	0.314699239	52.9930503	S12	WD
I205	178.0096566	0.244295945	59.90072307	S12	WD
I211	201.616856	0.270209285	58.63173666	S12	WD
I238	177.7782723	0.241642293	53.53309557	S12	WD
I242	177.2209625	0.241434021	49.30869917	S12	WD
I261	200.5458569	0.270535495	47.82314143	S12	WD
I267	212.7547882	0.295956965	49.00259834	S12	WD
IDT	146.4719711	0.20030243	51.01693518	S12	WD
LAN496	213.4616628	0.261478311	59.0477639	S12	WD
LH123Ht	223.1339065	0.327198384	51.44596565	S12	WD
LH145	201.8169209	0.293052519	48.62506883	S12	WD
LH38	205.6174243	0.330511117	49.63208563	S12	WD
LH39	236.7630876	0.333430239	53.83433081	S12	WD
LH59	175.7770016	0.257174559	53.12719737	S12	WD
LH60	150.3622735	0.23969896	40.06242955	S12	WD
LH65	175.5540172	0.249922556	62.72261659	S12	WD
