Variety	WUE	ENV	Treatment	Season	ENV_WUE
11430	48.74830055	WD_S12	WD	S12	55.24
A3	52.87363633	WD_S12	WD	S12	55.24
A310	59.1719731	WD_S12	WD	S12	55.24
A347	51.62270623	WD_S12	WD	S12	55.24
A374	51.3364912	WD_S12	WD	S12	55.24
A375	45.40868336	WD_S12	WD	S12	55.24
A554	48.62881772	WD_S12	WD	S12	55.24
AS5707	54.30970742	WD_S12	WD	S12	55.24
B100	48.33912805	WD_S12	WD	S12	55.24
B104	47.877703	WD_S12	WD	S12	55.24
B105	47.82824332	WD_S12	WD	S12	55.24
B106	51.95710954	WD_S12	WD	S12	55.24
B107	71.08775011	WD_S12	WD	S12	55.24
B108	55.79725038	WD_S12	WD	S12	55.24
B109	55.39298204	WD_S12	WD	S12	55.24
B110	54.84938114	WD_S12	WD	S12	55.24
B113	60.57481771	WD_S12	WD	S12	55.24
B37	65.07732039	WD_S12	WD	S12	55.24
B73	50.60134384	WD_S12	WD	S12	55.24
B84	38.71521266	WD_S12	WD	S12	55.24
B89	48.63844247	WD_S12	WD	S12	55.24
B97	49.94666132	WD_S12	WD	S12	55.24
B98	43.16085177	WD_S12	WD	S12	55.24
C103	62.1777172	WD_S12	WD	S12	55.24
CO109	60.08715464	WD_S12	WD	S12	55.24
CR1Ht	57.47243039	WD_S12	WD	S12	55.24
D09	52.57441085	WD_S12	WD	S12	55.24
DE811	50.56629471	WD_S12	WD	S12	55.24
DK4676A	70.13147923	WD_S12	WD	S12	55.24
DK78010	69.79886344	WD_S12	WD	S12	55.24
DK78371A	57.90862086	WD_S12	WD	S12	55.24
DKFAPW	60.00387231	WD_S12	WD	S12	55.24
DKFBHJ	53.7814341	WD_S12	WD	S12	55.24
DKIBO2	54.9965426	WD_S12	WD	S12	55.24
DKMBST	57.0727135	WD_S12	WD	S12	55.24
EA1027	54.20041179	WD_S12	WD	S12	55.24
EA1163	55.12074204	WD_S12	WD	S12	55.24
EA3076	52.1977828	WD_S12	WD	S12	55.24
EC136	58.77246906	WD_S12	WD	S12	55.24
EC140	49.79781098	WD_S12	WD	S12	55.24
EC151	53.04188345	WD_S12	WD	S12	55.24
EC169	44.92170187	WD_S12	WD	S12	55.24
EC175	48.36376324	WD_S12	WD	S12	55.24
EC232	53.57380311	WD_S12	WD	S12	55.24
EC242C	59.49460848	WD_S12	WD	S12	55.24
EC334	46.09260084	WD_S12	WD	S12	55.24
EP10	55.32915631	WD_S12	WD	S12	55.24
EP2008-18	57.48284988	WD_S12	WD	S12	55.24
EP2008-22	50.93590021	WD_S12	WD	S12	55.24
EP29	55.6351214	WD_S12	WD	S12	55.24
EP51	56.92523485	WD_S12	WD	S12	55.24
EP52	53.80866533	WD_S12	WD	S12	55.24
EP55	57.40368721	WD_S12	WD	S12	55.24
EP67	64.6023578	WD_S12	WD	S12	55.24
EP72	64.55345897	WD_S12	WD	S12	55.24
EP77	57.18538011	WD_S12	WD	S12	55.24
EZ11A	54.94022123	WD_S12	WD	S12	55.24
EZ18	57.44095192	WD_S12	WD	S12	55.24
EZ31	48.28707366	WD_S12	WD	S12	55.24
EZ34	63.8411131	WD_S12	WD	S12	55.24
EZ35	55.31000225	WD_S12	WD	S12	55.24
EZ36	63.75156794	WD_S12	WD	S12	55.24
EZ37	52.34397381	WD_S12	WD	S12	55.24
EZ38	47.53996013	WD_S12	WD	S12	55.24
EZ40	55.65094493	WD_S12	WD	S12	55.24
EZ42	53.11743892	WD_S12	WD	S12	55.24
EZ47	58.84787938	WD_S12	WD	S12	55.24
EZ48	47.40024323	WD_S12	WD	S12	55.24
F04401	61.94435051	WD_S12	WD	S12	55.24
F04402	51.59995951	WD_S12	WD	S12	55.24
F04701	48.4036259	WD_S12	WD	S12	55.24
F04702	53.41981296	WD_S12	WD	S12	55.24
F05101	50.18893605	WD_S12	WD	S12	55.24
F05404	61.69214313	WD_S12	WD	S12	55.24
F1808	53.6261448	WD_S12	WD	S12	55.24
F1890	46.04449352	WD_S12	WD	S12	55.24
F218	58.55047374	WD_S12	WD	S12	55.24
F252	57.78296551	WD_S12	WD	S12	55.24
F353	47.14806156	WD_S12	WD	S12	55.24
F354	69.10065438	WD_S12	WD	S12	55.24
F546	56.3694467	WD_S12	WD	S12	55.24
F608	51.71395375	WD_S12	WD	S12	55.24
F618	62.79870569	WD_S12	WD	S12	55.24
F7001	49.57009207	WD_S12	WD	S12	55.24
F7019	45.57569193	WD_S12	WD	S12	55.24
