Variety	WUE_S12_WD	WUE_S13_WD	WUE_S16_WD	WUE_W13_WD	WUE_S12_WW	WUE_S13_WW	WUE_S16_WW	WUE_W13_WW
11430	48.74830055	42.18740806	68.7860166	71.5830819	51.8419342	48.68186436	75.45687215	79.57146806
A3	52.87363633	49.63815634	63.41395707	80.79928757	74.28078763	48.39893298	81.54411206	80.13193199
A310	59.1719731	57.8964576	75.98960963	80.11184327	74.9837496	53.29430185	91.83663613	96.84753722
A347	51.62270623	46.30868465	62.0199263	57.98730145	59.82881043	49.27662768	87.58871527	81.51528194
A374	51.3364912	42.68507238	68.33037287	70.79617762	64.07374195	52.61290449	78.63345834	86.95234751
A375	45.40868336	48.32589525	71.32200913	67.52557992	63.79699126	47.38060424	77.53318416	84.85418734
A554	48.62881772	44.99534951	66.88780332	76.47912755	67.66895343	48.21318156	70.26583601	70.22061191
AS5707	54.30970742	58.19916565	71.0736619	87.94397814	64.76622478	59.02957785	88.34821596	88.60134478
B100	48.33912805	41.68338795	68.37503562	78.17801052	61.18455796	48.90535878	78.12797477	86.51201159
B104	47.877703	49.78632824	65.92520757	74.22884922	59.0789782	47.76772914	73.85790107	73.73379367
B105	47.82824332	53.75888471	67.71664245	76.50227308	58.03133414	51.05775976	80.88281575	76.24863923
B106	51.95710954	54.78113391	67.086734	85.69499746	61.18462661	48.66097239	96.32358502	97.37060608
B107	71.08775011	60.33146629	81.19065312	91.81448629	78.57816519	62.32833518	95.23822696	84.88462069
B108	55.79725038	49.90944884	71.36361386	77.95870971	69.86204307	59.82882028	80.17427709	85.69179814
B109	55.39298204	50.13413324	64.4807568	80.04451422	65.33597822	57.63631174	82.57015126	73.29491594
B110	54.84938114	48.46186527	67.92306308	67.98362084	66.11501476	47.59276563	75.94044537	78.6775641
B113	60.57481771	50.04949345	68.84970454	75.43623133	66.00715533	48.07772019	83.76236084	78.55491416
B37	65.07732039	54.85768383	74.83469148	86.90622975	66.98537419	57.61655956	84.92400736	88.23295843
B73	50.60134384	50.99257453	72.23003694	62.55437179	64.05060444	52.64297376	85.7193561	70.68532564
B84	38.71521266	48.81509028	66.53385808	76.50961173	63.39120933	50.74309699	73.21379497	89.24078205
B89	48.63844247	51.21946887	68.20557763	75.17986574	62.64328279	44.7764813	71.43284215	77.24883983
B97	49.94666132	50.02230803	68.0603621	67.23026344	59.34277256	46.25878753	87.65048103	95.01935324
B98	43.16085177	41.722637	63.06800493	74.02766776	57.9444508	44.88604567	76.1884498	83.24289304
C103	62.1777172	63.02874395	84.40856804	89.58506078	71.5975942	47.95629718	84.90508396	97.04556897
CO109	60.08715464	54.76240166	82.00500109	91.87838058	68.36454065	56.49454093	97.78086265	89.87117706
CR1Ht	57.47243039	54.07666624	70.29942808	84.62420077	70.88179479	52.84473214	87.13665365	85.33425092
D09	52.57441085	48.3810553	77.50208524	83.63009713	67.9573799	54.71762276	87.06855033	102.3568062
DE811	50.56629471	58.12650965	66.24668976	66.50827496	68.65815175	51.55277282	81.83763772	67.89867848
DK4676A	70.13147923	55.57117341	69.163998	100.8671954	64.34851959	52.01241231	79.10054885	86.48248952
DK78010	69.79886344	49.30039802	69.33769733	76.71047005	67.44685932	54.39697899	78.50376295	83.90984769
DK78371A	57.90862086	49.76956876	72.49887145	83.75551856	66.83454961	52.99555902	77.6383811	101.1538284
DKFAPW	60.00387231	48.79523801	59.57890023	78.70172556	64.13535399	53.04562309	77.35275747	75.66946998
DKFBHJ	53.7814341	52.35135241	65.55807625	79.91757743	60.39729096	46.59571533	80.61292655	91.08892109
DKIBO2	54.9965426	44.60973593	56.81899126	69.97129016	65.07035327	47.87879116	73.75167733	84.81228447
DKMBST	57.0727135	48.94358309	62.42890489	78.88533111	61.87331999	56.64179119	86.01267144	90.38534598
EA1027	54.20041179	57.02766335	72.2124691	75.33678358	66.54492367	57.00099898	87.10002298	88.71399706
EA1163	55.12074204	46.88515509	68.08465739	69.67262236	67.28638387	50.06432268	83.02423554	77.30851228
EA3076	52.1977828	50.41897831	66.66182907	72.03500793	70.36063497	47.03864567	88.8137904	78.30494791
EC136	58.77246906	46.54122658	73.77151919	77.30320552	75.04990498	52.39499248	123.8595309	87.32016942
EC140	49.79781098	46.14668599	65.33480118	76.22134519	66.83940975	52.69767265	87.56556287	77.2271311
EC151	53.04188345	51.28101773	68.91423883	70.6945266	59.042127	44.90603509	71.27356055	79.95543072
EC169	44.92170187	48.39240764	73.58229027	80.06849785	67.35005675	51.14112498	91.7297769	92.66475161
EC175	48.36376324	48.56317542	70.98703882	77.79369367	62.4353815	53.45471132	75.106266	90.29821416
EC232	53.57380311	56.57474692	71.78657972	85.77548036	71.78774013	49.44845163	94.5231259	85.6144055
EC242C	59.49460848	53.18041336	71.16562552	86.58278153	64.37752021	51.49377153	79.20566608	86.4385035
