"resolution","score","stat","analysis","genotype_form","correlation","p_value"
10,"CV_t","min","global","combined",-0.463291139240506,0.001
10,"CV_t","max","global","combined",-0.181645569620253,0.016
10,"CV_t","mean","global","combined",-0.348101265822785,0.001
10,"CV_t","median","global","combined",-0.335443037974684,0.001
10,"CV_t","slope","global","combined",-0.127848101265823,0.076
10,"CV_t","range","global","combined",0.672784810126582,0.001
10,"CV_t","variance","global","combined",0.664556962025316,0.001
10,"CV_t","mean_lower","global","combined",-0.286708860759494,0.001
10,"CV_t","mean_upper","global","combined",-0.353164556962025,0.001
10,"RN","min","global","combined",0.0848101265822785,0.278
10,"RN","max","global","combined",0.0677215189873418,0.383
10,"RN","mean","global","combined",0.0341772151898734,0.668
10,"RN","median","global","combined",0.00379746835443038,0.967
10,"RN","slope","global","combined",1,0.001
10,"RN","range","global","combined",-0.104430379746835,0.173
10,"RN","variance","global","combined",-0.131645569620253,0.095
10,"RN","mean_lower","global","combined",-0.122151898734177,0.103
10,"RN","mean_upper","global","combined",0.191139240506329,0.011
10,"RNN","min","global","combined",-0.115189873417722,0.145
10,"RNN","max","global","combined",0.103164556962025,0.166
10,"RNN","mean","global","combined",-0.0443037974683544,0.549
10,"RNN","median","global","combined",-0.0493670886075949,0.509
10,"RNN","slope","global","combined",-0.173417721518987,0.033
10,"RNN","range","global","combined",0.657594936708861,0.001
10,"RNN","variance","global","combined",0.662025316455696,0.001
10,"RNN","mean_lower","global","combined",0.000632911392405063,0.995
10,"RNN","mean_upper","global","combined",-0.0556962025316456,0.509
10,"D_slope","min","global","combined",-0.126582278481013,0.096
10,"D_slope","max","global","combined",0.14620253164557,0.048
10,"D_slope","mean","global","combined",-0.010126582278481,0.897
10,"D_slope","median","global","combined",0.00506329113924051,0.953
10,"D_slope","slope","global","combined",-0.144303797468354,0.059
10,"D_slope","range","global","combined",0.912025316455696,0.001
10,"D_slope","variance","global","combined",0.924050632911392,0.001
10,"D_slope","mean_lower","global","combined",0.0462025316455696,0.569
10,"D_slope","mean_upper","global","combined",-0.0316455696202532,0.687
10,"RC","min","global","combined",-0.460759493670886,0.001
10,"RC","max","global","combined",-0.180379746835443,0.018
10,"RC","mean","global","combined",-0.344303797468354,0.001
10,"RC","median","global","combined",-0.327848101265823,0.001
10,"RC","slope","global","combined",-0.154430379746835,0.052
10,"RC","range","global","combined",0.668987341772152,0.001
10,"RC","variance","global","combined",0.664556962025316,0.001
10,"RC","mean_lower","global","combined",-0.275316455696203,0.001
10,"RC","mean_upper","global","combined",-0.358227848101266,0.001
10,"gPi","min","global","combined",-0.463291139240506,0.001
10,"gPi","max","global","combined",-0.181645569620253,0.015
10,"gPi","mean","global","combined",-0.348101265822785,0.001
10,"gPi","median","global","combined",-0.335443037974684,0.001
10,"gPi","slope","global","combined",-0.127848101265823,0.095
10,"gPi","range","global","combined",0.672784810126582,0.001
