"resolution","score","stat","analysis","genotype_form","correlation","p_value"
15,"CV_t","min","global","combined",-0.514556962025316,0.001
15,"CV_t","max","global","combined",-0.132278481012658,0.089
15,"CV_t","mean","global","combined",-0.342405063291139,0.001
15,"CV_t","median","global","combined",-0.322151898734177,0.001
15,"CV_t","slope","global","combined",-0.089873417721519,0.216
15,"CV_t","range","global","combined",0.673417721518987,0.001
15,"CV_t","variance","global","combined",0.691139240506329,0.001
15,"CV_t","mean_lower","global","combined",-0.30506329113924,0.001
15,"CV_t","mean_upper","global","combined",-0.315189873417722,0.001
15,"RN","min","global","combined",0.0158227848101266,0.849
15,"RN","max","global","combined",0.0689873417721519,0.377
15,"RN","mean","global","combined",0.0689873417721519,0.362
15,"RN","median","global","combined",0.0727848101265823,0.347
15,"RN","slope","global","combined",1,0.001
15,"RN","range","global","combined",-0.040506329113924,0.595
15,"RN","variance","global","combined",-0.0670886075949367,0.374
15,"RN","mean_lower","global","combined",-0.158227848101266,0.038
15,"RN","mean_upper","global","combined",0.208860759493671,0.008
15,"RNN","min","global","combined",-0.184810126582278,0.02
15,"RNN","max","global","combined",0.110126582278481,0.14
15,"RNN","mean","global","combined",-0.0506329113924051,0.493
15,"RNN","median","global","combined",-0.0632911392405063,0.382
15,"RNN","slope","global","combined",-0.139873417721519,0.078
15,"RNN","range","global","combined",0.565189873417722,0.001
15,"RNN","variance","global","combined",0.605696202531646,0.001
15,"RNN","mean_lower","global","combined",-0.0259493670886076,0.733
15,"RNN","mean_upper","global","combined",-0.039873417721519,0.637
15,"D_slope","min","global","combined",-0.198101265822785,0.007
15,"D_slope","max","global","combined",0.187974683544304,0.016
15,"D_slope","mean","global","combined",-0.0183544303797468,0.801
15,"D_slope","median","global","combined",0.00316455696202532,0.97
15,"D_slope","slope","global","combined",-0.0164556962025316,0.821
15,"D_slope","range","global","combined",0.964556962025316,0.001
15,"D_slope","variance","global","combined",0.935443037974684,0.001
15,"D_slope","mean_lower","global","combined",-0.0316455696202532,0.68
15,"D_slope","mean_upper","global","combined",0.0139240506329114,0.857
15,"RC","min","global","combined",-0.499367088607595,0.001
15,"RC","max","global","combined",-0.133544303797468,0.075
15,"RC","mean","global","combined",-0.339873417721519,0.001
15,"RC","median","global","combined",-0.315822784810127,0.001
15,"RC","slope","global","combined",-0.122784810126582,0.128
15,"RC","range","global","combined",0.659493670886076,0.001
15,"RC","variance","global","combined",0.684810126582278,0.001
15,"RC","mean_lower","global","combined",-0.277215189873418,0.001
15,"RC","mean_upper","global","combined",-0.321518987341772,0.001
15,"gPi","min","global","combined",-0.514556962025316,0.001
15,"gPi","max","global","combined",-0.132278481012658,0.082
15,"gPi","mean","global","combined",-0.342405063291139,0.001
15,"gPi","median","global","combined",-0.322151898734177,0.001
15,"gPi","slope","global","combined",-0.089873417721519,0.257
15,"gPi","range","global","combined",0.673417721518987,0.001
15,"gPi","variance","global","combined",0.691139240506329,0.001
15,"gPi","mean_lower","global","combined",-0.30506329113924,0.001
15,"gPi","mean_upper","global","combined",-0.315189873417722,0.001
15,"PPF","min","global","combined",-0.474683544303797,0.001
15,"PPF","max","global","combined",-0.0936708860759494,0.223
15,"PPF","mean","global","combined",-0.29746835443038,0.001
15,"PPF","median","global","combined",-0.274683544303797,0.001
15,"PPF","slope","global","combined",-0.0170886075949367,0.838
15,"PPF","range","global","combined",0.719620253164557,0.001
15,"PPF","variance","global","combined",0.713291139240506,0.001
15,"PPF","mean_lower","global","combined",-0.299367088607595,0.001
15,"PPF","mean_upper","global","combined",-0.25253164556962,0.004
15,"PPi","min","global","combined",-0.482911392405063,0.001
15,"PPi","max","global","combined",-0.0943037974683544,0.222
15,"PPi","mean","global","combined",-0.303164556962025,0.001
15,"PPi","median","global","combined",-0.280379746835443,0.001
15,"PPi","slope","global","combined",-0.040506329113924,0.598
15,"PPi","range","global","combined",0.722784810126582,0.001
15,"PPi","variance","global","combined",0.711392405063291,0.001
15,"PPi","mean_lower","global","combined",-0.293670886075949,0.001
15,"PPi","mean_upper","global","combined",-0.259493670886076,0.002
15,"PImd","min","global","combined",-0.482911392405063,0.001
15,"PImd","max","global","combined",-0.0943037974683544,0.21
15,"PImd","mean","global","combined",-0.303164556962025,0.002
15,"PImd","median","global","combined",-0.280379746835443,0.001
15,"PImd","slope","global","combined",-0.040506329113924,0.592
15,"PImd","range","global","combined",0.722784810126582,0.001
15,"PImd","variance","global","combined",0.711392405063291,0.001
15,"PImd","mean_lower","global","combined",-0.293670886075949,0.001
15,"PImd","mean_upper","global","combined",-0.259493670886076,0.001
15,"PILSM","min","global","combined",-0.482911392405063,0.001
15,"PILSM","max","global","combined",-0.0943037974683544,0.2
15,"PILSM","mean","global","combined",-0.303164556962025,0.001
15,"PILSM","median","global","combined",-0.280379746835443,0.002
15,"PILSM","slope","global","combined",-0.040506329113924,0.593
15,"PILSM","range","global","combined",0.722784810126582,0.001
15,"PILSM","variance","global","combined",0.711392405063291,0.001
15,"PILSM","mean_lower","global","combined",-0.293670886075949,0.001
15,"PILSM","mean_upper","global","combined",-0.259493670886076,0.003
15,"RTR","min","global","combined",0.289240506329114,0.001
15,"RTR","max","global","combined",0.0917721518987342,0.23
15,"RTR","mean","global","combined",0.224683544303797,0.005
15,"RTR","median","global","combined",0.210759493670886,0.005
