"resolution","score","stat","analysis","genotype_form","correlation","p_value"
1,"CV_t","min","global","combined",-0.522784810126582,0.001
1,"CV_t","max","global","combined",-0.153164556962025,0.055
1,"CV_t","mean","global","combined",-0.349367088607595,0.001
1,"CV_t","median","global","combined",-0.310759493670886,0.001
1,"CV_t","slope","global","combined",-0.101898734177215,0.163
1,"CV_t","range","global","combined",0.65506329113924,0.001
1,"CV_t","variance","global","combined",0.690506329113924,0.001
1,"CV_t","mean_lower","global","combined",-0.29873417721519,0.001
1,"CV_t","mean_upper","global","combined",-0.333544303797468,0.001
1,"RN","min","global","combined",0.0120253164556962,0.874
1,"RN","max","global","combined",0.0753164556962025,0.342
1,"RN","mean","global","combined",0.0132911392405063,0.868
1,"RN","median","global","combined",-0.030379746835443,0.69
1,"RN","slope","global","combined",1,0.001
1,"RN","range","global","combined",-0.0253164556962025,0.732
1,"RN","variance","global","combined",-0.111392405063291,0.136
1,"RN","mean_lower","global","combined",-0.136075949367089,0.065
1,"RN","mean_upper","global","combined",0.167088607594937,0.029
1,"RNN","min","global","combined",-0.175949367088608,0.03
1,"RNN","max","global","combined",0.130379746835443,0.084
1,"RNN","mean","global","combined",-0.0392405063291139,0.606
1,"RNN","median","global","combined",-0.0322784810126582,0.682
1,"RNN","slope","global","combined",-0.0158227848101266,0.832
1,"RNN","range","global","combined",0.584177215189873,0.001
1,"RNN","variance","global","combined",0.584177215189873,0.001
1,"RNN","mean_lower","global","combined",-0.040506329113924,0.576
1,"RNN","mean_upper","global","combined",-0.0069620253164557,0.925
1,"D_slope","min","global","combined",-0.209493670886076,0.006
1,"D_slope","max","global","combined",0.165189873417722,0.03
1,"D_slope","mean","global","combined",-0.0335443037974684,0.666
1,"D_slope","median","global","combined",0.00379746835443038,0.961
1,"D_slope","slope","global","combined",-0.0810126582278481,0.303
1,"D_slope","range","global","combined",0.920253164556962,0.001
1,"D_slope","variance","global","combined",0.953164556962025,0.001
1,"D_slope","mean_lower","global","combined",0.000632911392405063,0.995
1,"D_slope","mean_upper","global","combined",-0.0189873417721519,0.822
1,"RC","min","global","combined",-0.519620253164557,0.001
1,"RC","max","global","combined",-0.168987341772152,0.03
1,"RC","mean","global","combined",-0.34873417721519,0.001
1,"RC","median","global","combined",-0.308860759493671,0.001
1,"RC","slope","global","combined",-0.132911392405063,0.103
1,"RC","range","global","combined",0.624050632911392,0.001
1,"RC","variance","global","combined",0.677215189873418,0.001
1,"RC","mean_lower","global","combined",-0.294303797468354,0.001
1,"RC","mean_upper","global","combined",-0.354430379746835,0.001
1,"gPi","min","global","combined",-0.522784810126582,0.001
1,"gPi","max","global","combined",-0.153164556962025,0.046
1,"gPi","mean","global","combined",-0.349367088607595,0.001
1,"gPi","median","global","combined",-0.310759493670886,0.001
1,"gPi","slope","global","combined",-0.101898734177215,0.194
1,"gPi","range","global","combined",0.65506329113924,0.001
1,"gPi","variance","global","combined",0.690506329113924,0.001
1,"gPi","mean_lower","global","combined",-0.29873417721519,0.001
1,"gPi","mean_upper","global","combined",-0.333544303797468,0.001
1,"PPF","min","global","combined",-0.509493670886076,0.001
1,"PPF","max","global","combined",-0.138607594936709,0.071
1,"PPF","mean","global","combined",-0.338607594936709,0.001
1,"PPF","median","global","combined",-0.30506329113924,0.001
1,"PPF","slope","global","combined",-0.0455696202531646,0.55
1,"PPF","range","global","combined",0.674683544303798,0.001
1,"PPF","variance","global","combined",0.689873417721519,0.001
1,"PPF","mean_lower","global","combined",-0.304430379746835,0.001
1,"PPF","mean_upper","global","combined",-0.306329113924051,0.001
1,"PPi","min","global","combined",-0.5,0.001
1,"PPi","max","global","combined",-0.121518987341772,0.12
1,"PPi","mean","global","combined",-0.322784810126582,0.001
1,"PPi","median","global","combined",-0.293037974683544,0.001
1,"PPi","slope","global","combined",-0.0310126582278481,0.676
1,"PPi","range","global","combined",0.699367088607595,0.001
1,"PPi","variance","global","combined",0.679113924050633,0.001
1,"PPi","mean_lower","global","combined",-0.30126582278481,0.001
1,"PPi","mean_upper","global","combined",-0.291772151898734,0.001
1,"PImd","min","global","combined",-0.5,0.001
1,"PImd","max","global","combined",-0.121518987341772,0.113
1,"PImd","mean","global","combined",-0.322784810126582,0.002
1,"PImd","median","global","combined",-0.293037974683544,0.001
1,"PImd","slope","global","combined",-0.0310126582278481,0.694
1,"PImd","range","global","combined",0.699367088607595,0.001
1,"PImd","variance","global","combined",0.679113924050633,0.001
1,"PImd","mean_lower","global","combined",-0.30126582278481,0.001
1,"PImd","mean_upper","global","combined",-0.291772151898734,0.001
1,"PILSM","min","global","combined",-0.5,0.001
1,"PILSM","max","global","combined",-0.121518987341772,0.104
1,"PILSM","mean","global","combined",-0.322784810126582,0.001
1,"PILSM","median","global","combined",-0.293037974683544,0.002
