"resolution","score","stat","analysis","genotype_form","correlation","p_value"
20,"CV_t","min","global","combined",-0.425949367088608,0.001
20,"CV_t","max","global","combined",-0.229113924050633,0.003
20,"CV_t","mean","global","combined",-0.325949367088608,0.002
20,"CV_t","median","global","combined",-0.318354430379747,0.001
20,"CV_t","slope","global","combined",-0.424050632911392,0.001
20,"CV_t","range","global","combined",0.659493670886076,0.001
20,"CV_t","variance","global","combined",0.662658227848101,0.001
20,"CV_t","mean_lower","global","combined",-0.237341772151899,0.003
20,"CV_t","mean_upper","global","combined",-0.392405063291139,0.001
20,"RN","min","global","combined",0.15506329113924,0.045
20,"RN","max","global","combined",0.0354430379746835,0.658
20,"RN","mean","global","combined",0.108227848101266,0.158
20,"RN","median","global","combined",0.117088607594937,0.127
20,"RN","slope","global","combined",1,0.001
20,"RN","range","global","combined",-0.506329113924051,0.001
20,"RN","variance","global","combined",-0.54746835443038,0.001
20,"RN","mean_lower","global","combined",-0.0411392405063291,0.602
20,"RN","mean_upper","global","combined",0.245569620253165,0.001
20,"RNN","min","global","combined",-0.0265822784810127,0.736
20,"RNN","max","global","combined",0.0715189873417722,0.333
20,"RNN","mean","global","combined",0.00253164556962025,0.979
20,"RNN","median","global","combined",-0.0189873417721519,0.804
20,"RNN","slope","global","combined",-0.482911392405063,0.001
20,"RNN","range","global","combined",0.367721518987342,0.001
20,"RNN","variance","global","combined",0.420253164556962,0.001
20,"RNN","mean_lower","global","combined",0.0987341772151899,0.194
20,"RNN","mean_upper","global","combined",-0.0917721518987342,0.239
20,"D_slope","min","global","combined",-0.0955696202531646,0.222
20,"D_slope","max","global","combined",0.105063291139241,0.176
20,"D_slope","mean","global","combined",0.00822784810126582,0.915
20,"D_slope","median","global","combined",0.0145569620253165,0.857
20,"D_slope","slope","global","combined",-0.506329113924051,0.001
20,"D_slope","range","global","combined",1,0.001
20,"D_slope","variance","global","combined",0.924683544303798,0.001
20,"D_slope","mean_lower","global","combined",0.0816455696202532,0.275
20,"D_slope","mean_upper","global","combined",-0.0569620253164557,0.444
20,"RC","min","global","combined",-0.40379746835443,0.001
20,"RC","max","global","combined",-0.210759493670886,0.009
20,"RC","mean","global","combined",-0.30126582278481,0.001
20,"RC","median","global","combined",-0.293670886075949,0.001
20,"RC","slope","global","combined",-0.432278481012658,0.001
20,"RC","range","global","combined",0.658860759493671,0.001
20,"RC","variance","global","combined",0.659493670886076,0.001
20,"RC","mean_lower","global","combined",-0.215189873417722,0.005
20,"RC","mean_upper","global","combined",-0.374050632911392,0.001
20,"gPi","min","global","combined",-0.425949367088608,0.001
20,"gPi","max","global","combined",-0.229113924050633,0.002
20,"gPi","mean","global","combined",-0.325949367088608,0.001
20,"gPi","median","global","combined",-0.318354430379747,0.001
20,"gPi","slope","global","combined",-0.424050632911392,0.001
20,"gPi","range","global","combined",0.659493670886076,0.001
20,"gPi","variance","global","combined",0.662658227848101,0.001
20,"gPi","mean_lower","global","combined",-0.237341772151899,0.004
20,"gPi","mean_upper","global","combined",-0.392405063291139,0.001
20,"PPF","min","global","combined",-0.416455696202532,0.001
20,"PPF","max","global","combined",-0.218354430379747,0.005
20,"PPF","mean","global","combined",-0.312658227848101,0.001
20,"PPF","median","global","combined",-0.30379746835443,0.001
20,"PPF","slope","global","combined",-0.35506329113924,0.001
20,"PPF","range","global","combined",0.668987341772152,0.001
20,"PPF","variance","global","combined",0.649367088607595,0.001
20,"PPF","mean_lower","global","combined",-0.244303797468354,0.002
20,"PPF","mean_upper","global","combined",-0.363924050632911,0.001
20,"PPi","min","global","combined",-0.435443037974684,0.001
20,"PPi","max","global","combined",-0.234810126582278,0.006
20,"PPi","mean","global","combined",-0.331645569620253,0.001
20,"PPi","median","global","combined",-0.324050632911392,0.001
20,"PPi","slope","global","combined",-0.375316455696203,0.001
20,"PPi","range","global","combined",0.660126582278481,0.001
20,"PPi","variance","global","combined",0.650632911392405,0.001
20,"PPi","mean_lower","global","combined",-0.254430379746835,0.001
20,"PPi","mean_upper","global","combined",-0.384177215189873,0.001
20,"PImd","min","global","combined",-0.435443037974684,0.001
20,"PImd","max","global","combined",-0.234810126582278,0.003
20,"PImd","mean","global","combined",-0.331645569620253,0.001
20,"PImd","median","global","combined",-0.324050632911392,0.001
20,"PImd","slope","global","combined",-0.375316455696203,0.001
20,"PImd","range","global","combined",0.660126582278481,0.001
20,"PImd","variance","global","combined",0.650632911392405,0.001
20,"PImd","mean_lower","global","combined",-0.254430379746835,0.002
20,"PImd","mean_upper","global","combined",-0.384177215189873,0.001
20,"PILSM","min","global","combined",-0.435443037974684,0.001
20,"PILSM","max","global","combined",-0.234810126582278,0.001
20,"PILSM","mean","global","combined",-0.331645569620253,0.001
20,"PILSM","median","global","combined",-0.324050632911392,0.001
20,"PILSM","slope","global","combined",-0.375316455696203,0.001
20,"PILSM","range","global","combined",0.660126582278481,0.001
20,"PILSM","variance","global","combined",0.650632911392405,0.001
20,"PILSM","mean_lower","global","combined",-0.254430379746835,0.002
20,"PILSM","mean_upper","global","combined",-0.384177215189873,0.001
20,"RTR","min","global","combined",0.278481012658228,0.001
20,"RTR","max","global","combined",0.171518987341772,0.028
20,"RTR","mean","global","combined",0.230379746835443,0.004
20,"RTR","median","global","combined",0.229113924050633,0.003
20,"RTR","slope","global","combined",0.739873417721519,0.001
20,"RTR","range","global","combined",-0.310759493670886,0.001
20,"RTR","variance","global","combined",-0.331645569620253,0.001
20,"RTR","mean_lower","global","combined",0.0936708860759494,0.209
20,"RTR","mean_upper","global","combined",0.357594936708861,0.001
20,"PIR","min","global","combined",-0.430379746835443,0.001
20,"PIR","max","global","combined",-0.231012658227848,0.002
20,"PIR","mean","global","combined",-0.327848101265823,0.001
20,"PIR","median","global","combined",-0.320253164556962,0.001
20,"PIR","slope","global","combined",-0.35126582278481,0.001
20,"PIR","range","global","combined",0.656329113924051,0.001
20,"PIR","variance","global","combined",0.626582278481013,0.001
20,"PIR","mean_lower","global","combined",-0.254430379746835,0.001
20,"PIR","mean_upper","global","combined",-0.371518987341772,0.001
20,"RDPI","min","global","combined",-0.426582278481013,0.001
20,"RDPI","max","global","combined",-0.227215189873418,0.005
20,"RDPI","mean","global","combined",-0.324050632911392,0.001
20,"RDPI","median","global","combined",-0.316455696202532,0.001
20,"RDPI","slope","global","combined",-0.403164556962025,0.001
20,"RDPI","range","global","combined",0.662658227848101,0.001
20,"RDPI","variance","global","combined",0.656962025316456,0.001
20,"RDPI","mean_lower","global","combined",-0.241772151898734,0.001
20,"RDPI","mean_upper","global","combined",-0.385443037974684,0.001
20,"ESPI","min","global","combined",-0.0955696202531646,0.205
20,"ESPI","max","global","combined",0.105063291139241,0.194
20,"ESPI","mean","global","combined",0.00822784810126582,0.921
20,"ESPI","median","global","combined",0.0145569620253165,0.858
20,"ESPI","slope","global","combined",-0.506329113924051,0.001
20,"ESPI","range","global","combined",1,0.001
20,"ESPI","variance","global","combined",0.924683544303798,0.001
20,"ESPI","mean_lower","global","combined",0.0816455696202532,0.308
20,"ESPI","mean_upper","global","combined",-0.0569620253164557,0.486
20,"ESPIID","min","global","combined",-0.0936708860759494,0.205
20,"ESPIID","max","global","combined",0.104430379746835,0.166
20,"ESPIID","mean","global","combined",0.00379746835443038,0.963
20,"ESPIID","median","global","combined",0.00379746835443038,0.963
20,"ESPIID","slope","global","combined",-0.500632911392405,0.001
20,"ESPIID","range","global","combined",0.919620253164557,0.001
20,"ESPIID","variance","global","combined",0.90506329113924,0.001
20,"ESPIID","mean_lower","global","combined",0.0759493670886076,0.326
20,"ESPIID","mean_upper","global","combined",-0.070253164556962,0.368
20,"PSI","min","global","combined",0.110759493670886,0.156
20,"PSI","max","global","combined",-0.0632911392405063,0.414
20,"PSI","mean","global","combined",0.0132911392405063,0.865
20,"PSI","median","global","combined",0.00316455696202532,0.974
20,"PSI","slope","global","combined",0.584810126582278,0.001
20,"PSI","range","global","combined",-0.782278481012658,0.001
20,"PSI","variance","global","combined",-0.790506329113924,0.001
20,"PSI","mean_lower","global","combined",-0.0575949367088608,0.467
20,"PSI","mean_upper","global","combined",0.0848101265822785,0.235
20,"RPI","min","global","combined",-0.426582278481013,0.001
20,"RPI","max","global","combined",-0.227215189873418,0.002
20,"RPI","mean","global","combined",-0.324050632911392,0.001
20,"RPI","median","global","combined",-0.316455696202532,0.001
20,"RPI","slope","global","combined",-0.403164556962025,0.001
20,"RPI","range","global","combined",0.662658227848101,0.001
20,"RPI","variance","global","combined",0.656962025316456,0.001
20,"RPI","mean_lower","global","combined",-0.241772151898734,0.001
20,"RPI","mean_upper","global","combined",-0.385443037974684,0.001
20,"PQ","min","global","combined",-0.0955696202531646,0.246
20,"PQ","max","global","combined",0.105063291139241,0.177
20,"PQ","mean","global","combined",0.00822784810126582,0.921
20,"PQ","median","global","combined",0.0145569620253165,0.851
20,"PQ","slope","global","combined",-0.506329113924051,0.001
20,"PQ","range","global","combined",1,0.001
20,"PQ","variance","global","combined",0.924683544303798,0.001
20,"PQ","mean_lower","global","combined",0.0816455696202532,0.283
20,"PQ","mean_upper","global","combined",-0.0569620253164557,0.449
20,"PR","min","global","combined",-0.0955696202531646,0.238
20,"PR","max","global","combined",0.105063291139241,0.161
20,"PR","mean","global","combined",0.00822784810126582,0.938
20,"PR","median","global","combined",0.0145569620253165,0.87
20,"PR","slope","global","combined",-0.506329113924051,0.001
20,"PR","range","global","combined",1,0.001
20,"PR","variance","global","combined",0.924683544303798,0.001
20,"PR","mean_lower","global","combined",0.0816455696202532,0.277
20,"PR","mean_upper","global","combined",-0.0569620253164557,0.472
20,"NRW","min","global","combined",-0.0955696202531646,0.199
20,"NRW","max","global","combined",0.105063291139241,0.172
