"resolution","score","stat","analysis","genotype_form","correlation","p_value"
49,"CV_t","min","global","combined",-0.305696202531646,0.001
49,"CV_t","max","global","combined",-0.0455696202531646,0.586
49,"CV_t","mean","global","combined",-0.187341772151899,0.014
49,"CV_t","median","global","combined",-0.187341772151899,0.012
49,"CV_t","slope","global","combined",-0.486708860759494,0.001
49,"CV_t","range","global","combined",0.838607594936709,0.001
49,"CV_t","variance","global","combined",0.838607594936709,0.001
49,"CV_t","mean_lower","global","combined",-0.108227848101266,0.159
49,"CV_t","mean_upper","global","combined",-0.237341772151899,0.001
49,"RN","min","global","combined",0.174683544303797,0.019
49,"RN","max","global","combined",0.0183544303797468,0.812
49,"RN","mean","global","combined",0.104430379746835,0.173
49,"RN","median","global","combined",0.104430379746835,0.172
49,"RN","slope","global","combined",1,0.001
49,"RN","range","global","combined",-0.560759493670886,0.001
49,"RN","variance","global","combined",-0.560759493670886,0.001
49,"RN","mean_lower","global","combined",-0.079746835443038,0.345
49,"RN","mean_upper","global","combined",0.256962025316456,0.002
49,"RNN","min","global","combined",NA,NA
49,"RNN","max","global","combined",NA,NA
49,"RNN","mean","global","combined",NA,NA
49,"RNN","median","global","combined",NA,NA
49,"RNN","slope","global","combined",NA,NA
49,"RNN","range","global","combined",NA,NA
49,"RNN","variance","global","combined",NA,NA
49,"RNN","mean_lower","global","combined",NA,NA
49,"RNN","mean_upper","global","combined",NA,NA
49,"D_slope","min","global","combined",-0.144303797468354,0.06
49,"D_slope","max","global","combined",0.115822784810127,0.119
49,"D_slope","mean","global","combined",-0.0259493670886076,0.73
49,"D_slope","median","global","combined",-0.0259493670886076,0.736
49,"D_slope","slope","global","combined",-0.560759493670886,0.001
49,"D_slope","range","global","combined",1,0.001
49,"D_slope","variance","global","combined",1,0.001
49,"D_slope","mean_lower","global","combined",0.0455696202531646,0.556
49,"D_slope","mean_upper","global","combined",-0.0784810126582278,0.301
49,"RC","min","global","combined",-0.305696202531646,0.001
49,"RC","max","global","combined",-0.0455696202531646,0.541
49,"RC","mean","global","combined",-0.187341772151899,0.018
49,"RC","median","global","combined",-0.187341772151899,0.014
49,"RC","slope","global","combined",-0.486708860759494,0.001
49,"RC","range","global","combined",0.838607594936709,0.001
49,"RC","variance","global","combined",0.838607594936709,0.001
49,"RC","mean_lower","global","combined",-0.108227848101266,0.17
49,"RC","mean_upper","global","combined",-0.237341772151899,0.002
49,"gPi","min","global","combined",-0.305696202531646,0.001
49,"gPi","max","global","combined",-0.0455696202531646,0.552
49,"gPi","mean","global","combined",-0.187341772151899,0.013
49,"gPi","median","global","combined",-0.187341772151899,0.019
49,"gPi","slope","global","combined",-0.486708860759494,0.001
49,"gPi","range","global","combined",0.838607594936709,0.001
49,"gPi","variance","global","combined",0.838607594936709,0.001
49,"gPi","mean_lower","global","combined",-0.108227848101266,0.165
49,"gPi","mean_upper","global","combined",-0.237341772151899,0.005
49,"PPF","min","global","combined",-0.286708860759494,0.001
49,"PPF","max","global","combined",-0.0278481012658228,0.731
49,"PPF","mean","global","combined",-0.169620253164557,0.025
49,"PPF","median","global","combined",-0.169620253164557,0.024
49,"PPF","slope","global","combined",-0.462658227848101,0.001
49,"PPF","range","global","combined",0.85,0.001
49,"PPF","variance","global","combined",0.85,0.001
49,"PPF","mean_lower","global","combined",-0.104430379746835,0.163
49,"PPF","mean_upper","global","combined",-0.217088607594937,0.003
49,"PPi","min","global","combined",-0.305696202531646,0.001
49,"PPi","max","global","combined",-0.0455696202531646,0.558
49,"PPi","mean","global","combined",-0.187341772151899,0.012
49,"PPi","median","global","combined",-0.187341772151899,0.018
49,"PPi","slope","global","combined",-0.486708860759494,0.001
49,"PPi","range","global","combined",0.838607594936709,0.001
49,"PPi","variance","global","combined",0.838607594936709,0.001
49,"PPi","mean_lower","global","combined",-0.108227848101266,0.138
49,"PPi","mean_upper","global","combined",-0.237341772151899,0.001
49,"PImd","min","global","combined",-0.305696202531646,0.001
49,"PImd","max","global","combined",-0.0455696202531646,0.541
49,"PImd","mean","global","combined",-0.187341772151899,0.014
49,"PImd","median","global","combined",-0.187341772151899,0.012
49,"PImd","slope","global","combined",-0.486708860759494,0.001
49,"PImd","range","global","combined",0.838607594936709,0.001
49,"PImd","variance","global","combined",0.838607594936709,0.001
49,"PImd","mean_lower","global","combined",-0.108227848101266,0.151
49,"PImd","mean_upper","global","combined",-0.237341772151899,0.002
49,"PILSM","min","global","combined",-0.305696202531646,0.001
49,"PILSM","max","global","combined",-0.0455696202531646,0.524
49,"PILSM","mean","global","combined",-0.187341772151899,0.016
49,"PILSM","median","global","combined",-0.187341772151899,0.017
49,"PILSM","slope","global","combined",-0.486708860759494,0.001
49,"PILSM","range","global","combined",0.838607594936709,0.001
49,"PILSM","variance","global","combined",0.838607594936709,0.001
49,"PILSM","mean_lower","global","combined",-0.108227848101266,0.153
