"resolution","score","stat","analysis","genotype_form","correlation","p_value"
20,"CV_t","min","global","combined",-0.359493670886076,0.001
20,"CV_t","max","global","combined",-0.14873417721519,0.047
20,"CV_t","mean","global","combined",-0.232911392405063,0.009
20,"CV_t","median","global","combined",-0.190506329113924,0.013
20,"CV_t","slope","global","combined",0.367088607594937,0.001
20,"CV_t","range","global","combined",0.745569620253165,0.001
20,"CV_t","variance","global","combined",0.739873417721519,0.001
20,"CV_t","mean_lower","global","combined",-0.244303797468354,0.003
20,"CV_t","mean_upper","global","combined",-0.227848101265823,0.003
20,"RN","min","global","combined",-0.0240506329113924,0.774
20,"RN","max","global","combined",0.122151898734177,0.087
20,"RN","mean","global","combined",0.0772151898734177,0.306
20,"RN","median","global","combined",0.139873417721519,0.07
20,"RN","slope","global","combined",1,0.001
20,"RN","range","global","combined",0.421518987341772,0.001
20,"RN","variance","global","combined",0.437341772151899,0.001
20,"RN","mean_lower","global","combined",-0.0430379746835443,0.592
20,"RN","mean_upper","global","combined",0.121518987341772,0.122
20,"RNN","min","global","combined",NA,NA
20,"RNN","max","global","combined",NA,NA
20,"RNN","mean","global","combined",NA,NA
20,"RNN","median","global","combined",NA,NA
20,"RNN","slope","global","combined",NA,NA
20,"RNN","range","global","combined",NA,NA
20,"RNN","variance","global","combined",NA,NA
20,"RNN","mean_lower","global","combined",NA,NA
20,"RNN","mean_upper","global","combined",NA,NA
20,"D_slope","min","global","combined",-0.108860759493671,0.141
20,"D_slope","max","global","combined",0.103164556962025,0.19
20,"D_slope","mean","global","combined",0.0177215189873418,0.826
20,"D_slope","median","global","combined",0.0575949367088608,0.468
20,"D_slope","slope","global","combined",0.421518987341772,0.001
20,"D_slope","range","global","combined",1,0.001
20,"D_slope","variance","global","combined",0.966455696202532,0.001
20,"D_slope","mean_lower","global","combined",0.00506329113924051,0.948
20,"D_slope","mean_upper","global","combined",0.0177215189873418,0.802
20,"RC","min","global","combined",-0.35379746835443,0.001
20,"RC","max","global","combined",-0.141772151898734,0.064
20,"RC","mean","global","combined",-0.227215189873418,0.003
20,"RC","median","global","combined",-0.183544303797468,0.018
20,"RC","slope","global","combined",0.357594936708861,0.001
20,"RC","range","global","combined",0.75506329113924,0.001
20,"RC","variance","global","combined",0.744303797468354,0.001
20,"RC","mean_lower","global","combined",-0.233544303797468,0.004
20,"RC","mean_upper","global","combined",-0.224683544303797,0.006
20,"gPi","min","global","combined",-0.359493670886076,0.001
20,"gPi","max","global","combined",-0.14873417721519,0.051
20,"gPi","mean","global","combined",-0.232911392405063,0.004
20,"gPi","median","global","combined",-0.190506329113924,0.016
20,"gPi","slope","global","combined",0.367088607594937,0.001
20,"gPi","range","global","combined",0.745569620253165,0.001
20,"gPi","variance","global","combined",0.739873417721519,0.001
