"resolution","score","stat","analysis","genotype_form","correlation","p_value"
2,"CV_t","min","global","combined",-0.426582278481013,0.001
2,"CV_t","max","global","combined",-0.165189873417722,0.022
2,"CV_t","mean","global","combined",-0.29620253164557,0.001
2,"CV_t","median","global","combined",-0.273417721518987,0.001
2,"CV_t","slope","global","combined",-0.158860759493671,0.037
2,"CV_t","range","global","combined",0.749367088607595,0.001
2,"CV_t","variance","global","combined",0.755696202531646,0.001
2,"CV_t","mean_lower","global","combined",-0.268987341772152,0.003
2,"CV_t","mean_upper","global","combined",-0.324683544303797,0.001
2,"RN","min","global","combined",0.196835443037975,0.016
2,"RN","max","global","combined",0.0670886075949367,0.393
2,"RN","mean","global","combined",0.133544303797468,0.095
2,"RN","median","global","combined",0.105696202531646,0.155
2,"RN","slope","global","combined",1,0.001
2,"RN","range","global","combined",-0.170253164556962,0.035
2,"RN","variance","global","combined",-0.131012658227848,0.117
2,"RN","mean_lower","global","combined",0.0316455696202532,0.68
2,"RN","mean_upper","global","combined",0.235443037974684,0.005
2,"RNN","min","global","combined",-0.125949367088608,0.101
2,"RNN","max","global","combined",0.0658227848101266,0.398
2,"RNN","mean","global","combined",-0.0208860759493671,0.793
2,"RNN","median","global","combined",0.0107594936708861,0.893
2,"RNN","slope","global","combined",-0.40379746835443,0.001
2,"RNN","range","global","combined",0.590506329113924,0.001
2,"RNN","variance","global","combined",0.603164556962025,0.001
2,"RNN","mean_lower","global","combined",0.0443037974683544,0.56
2,"RNN","mean_upper","global","combined",-0.0936708860759494,0.224
2,"D_slope","min","global","combined",-0.178481012658228,0.018
2,"D_slope","max","global","combined",0.0841772151898734,0.272
2,"D_slope","mean","global","combined",-0.0468354430379747,0.551
2,"D_slope","median","global","combined",-0.0240506329113924,0.746
2,"D_slope","slope","global","combined",-0.14620253164557,0.065
2,"D_slope","range","global","combined",0.967088607594937,0.001
2,"D_slope","variance","global","combined",0.981012658227848,0.001
2,"D_slope","mean_lower","global","combined",-0.019620253164557,0.78
2,"D_slope","mean_upper","global","combined",-0.0829113924050633,0.282
2,"RC","min","global","combined",-0.424683544303797,0.001
2,"RC","max","global","combined",-0.163291139240506,0.035
2,"RC","mean","global","combined",-0.294303797468354,0.001
2,"RC","median","global","combined",-0.272784810126582,0.002
2,"RC","slope","global","combined",-0.150632911392405,0.053
2,"RC","range","global","combined",0.74873417721519,0.001
2,"RC","variance","global","combined",0.756329113924051,0.001
2,"RC","mean_lower","global","combined",-0.268354430379747,0.002
2,"RC","mean_upper","global","combined",-0.320253164556962,0.001
2,"gPi","min","global","combined",-0.426582278481013,0.001
2,"gPi","max","global","combined",-0.165189873417722,0.037
2,"gPi","mean","global","combined",-0.29620253164557,0.002
2,"gPi","median","global","combined",-0.273417721518987,0.001
2,"gPi","slope","global","combined",-0.158860759493671,0.033
2,"gPi","range","global","combined",0.749367088607595,0.001
2,"gPi","variance","global","combined",0.755696202531646,0.001
2,"gPi","mean_lower","global","combined",-0.268987341772152,0.001
2,"gPi","mean_upper","global","combined",-0.324683544303797,0.001
2,"PPF","min","global","combined",-0.428481012658228,0.001
2,"PPF","max","global","combined",-0.167088607594937,0.024
2,"PPF","mean","global","combined",-0.298101265822785,0.002
2,"PPF","median","global","combined",-0.276582278481013,0.001
2,"PPF","slope","global","combined",-0.143037974683544,0.05
2,"PPF","range","global","combined",0.741139240506329,0.001
2,"PPF","variance","global","combined",0.75,0.001
2,"PPF","mean_lower","global","combined",-0.274683544303797,0.002
2,"PPF","mean_upper","global","combined",-0.325316455696203,0.001
2,"PPi","min","global","combined",-0.433544303797468,0.001
2,"PPi","max","global","combined",-0.169620253164557,0.032
2,"PPi","mean","global","combined",-0.301898734177215,0.001
2,"PPi","median","global","combined",-0.277848101265823,0.001
2,"PPi","slope","global","combined",-0.189873417721519,0.018
2,"PPi","range","global","combined",0.75126582278481,0.001
2,"PPi","variance","global","combined",0.741139240506329,0.001
2,"PPi","mean_lower","global","combined",-0.272151898734177,0.001
2,"PPi","mean_upper","global","combined",-0.337974683544304,0.001
2,"PImd","min","global","combined",-0.433544303797468,0.001
2,"PImd","max","global","combined",-0.169620253164557,0.026
2,"PImd","mean","global","combined",-0.301898734177215,0.001
2,"PImd","median","global","combined",-0.277848101265823,0.002
2,"PImd","slope","global","combined",-0.189873417721519,0.016
2,"PImd","range","global","combined",0.75126582278481,0.001
2,"PImd","variance","global","combined",0.741139240506329,0.001
2,"PImd","mean_lower","global","combined",-0.272151898734177,0.001
2,"PImd","mean_upper","global","combined",-0.337974683544304,0.001
2,"PILSM","min","global","combined",-0.433544303797468,0.001
2,"PILSM","max","global","combined",-0.169620253164557,0.028
2,"PILSM","mean","global","combined",-0.301898734177215,0.001
2,"PILSM","median","global","combined",-0.277848101265823,0.001
2,"PILSM","slope","global","combined",-0.189873417721519,0.013
2,"PILSM","range","global","combined",0.75126582278481,0.001
2,"PILSM","variance","global","combined",0.741139240506329,0.001
2,"PILSM","mean_lower","global","combined",-0.272151898734177,0.001
2,"PILSM","mean_upper","global","combined",-0.337974683544304,0.001
2,"RTR","min","global","combined",0.189873417721519,0.015
2,"RTR","max","global","combined",0.0740506329113924,0.319
2,"RTR","mean","global","combined",0.132911392405063,0.082
2,"RTR","median","global","combined",0.107594936708861,0.143
2,"RTR","slope","global","combined",0.862658227848101,0.001
2,"RTR","range","global","combined",-0.144303797468354,0.059
2,"RTR","variance","global","combined",-0.113924050632911,0.146
