"resolution","score","stat","analysis","genotype_form","correlation","p_value"
10,"CV_t","min","global","combined",-0.462658227848101,0.001
10,"CV_t","max","global","combined",-0.309493670886076,0.001
10,"CV_t","mean","global","combined",-0.406329113924051,0.001
10,"CV_t","median","global","combined",-0.431645569620253,0.001
10,"CV_t","slope","global","combined",-0.587341772151899,0.001
10,"CV_t","range","global","combined",0.620886075949367,0.001
10,"CV_t","variance","global","combined",0.622784810126582,0.001
10,"CV_t","mean_lower","global","combined",-0.338607594936709,0.001
10,"CV_t","mean_upper","global","combined",-0.475316455696203,0.001
10,"RN","min","global","combined",0.179113924050633,0.029
10,"RN","max","global","combined",0.0373417721518987,0.652
10,"RN","mean","global","combined",0.131645569620253,0.085
10,"RN","median","global","combined",0.159493670886076,0.043
10,"RN","slope","global","combined",1,0.001
10,"RN","range","global","combined",-0.75506329113924,0.001
10,"RN","variance","global","combined",-0.770886075949367,0.001
10,"RN","mean_lower","global","combined",0.0537974683544304,0.485
10,"RN","mean_upper","global","combined",0.214556962025316,0.005
10,"RNN","min","global","combined",-0.0221518987341772,0.758
10,"RNN","max","global","combined",0.0765822784810127,0.312
10,"RNN","mean","global","combined",0.0189873417721519,0.82
10,"RNN","median","global","combined",0.0126582278481013,0.877
10,"RNN","slope","global","combined",-0.470886075949367,0.001
10,"RNN","range","global","combined",0.484177215189873,0.001
10,"RNN","variance","global","combined",0.483544303797468,0.001
10,"RNN","mean_lower","global","combined",0.0854430379746835,0.242
10,"RNN","mean_upper","global","combined",-0.0386075949367089,0.632
10,"D_slope","min","global","combined",-0.0860759493670886,0.26
10,"D_slope","max","global","combined",0.069620253164557,0.381
10,"D_slope","mean","global","combined",-0.0272151898734177,0.742
10,"D_slope","median","global","combined",-0.0525316455696203,0.498
10,"D_slope","slope","global","combined",-0.75506329113924,0.001
10,"D_slope","range","global","combined",1,0.001
10,"D_slope","variance","global","combined",0.967721518987342,0.001
10,"D_slope","mean_lower","global","combined",0.0354430379746835,0.632
10,"D_slope","mean_upper","global","combined",-0.0962025316455696,0.224
10,"RC","min","global","combined",-0.468354430379747,0.001
10,"RC","max","global","combined",-0.312658227848101,0.002
10,"RC","mean","global","combined",-0.409493670886076,0.001
10,"RC","median","global","combined",-0.431012658227848,0.001
10,"RC","slope","global","combined",-0.561392405063291,0.001
10,"RC","range","global","combined",0.617721518987342,0.001
10,"RC","variance","global","combined",0.618354430379747,0.001
10,"RC","mean_lower","global","combined",-0.344303797468354,0.001
10,"RC","mean_upper","global","combined",-0.475949367088608,0.001
10,"gPi","min","global","combined",-0.462658227848101,0.001
10,"gPi","max","global","combined",-0.309493670886076,0.001
10,"gPi","mean","global","combined",-0.406329113924051,0.001
10,"gPi","median","global","combined",-0.431645569620253,0.001
10,"gPi","slope","global","combined",-0.587341772151899,0.001
10,"gPi","range","global","combined",0.620886075949367,0.001
10,"gPi","variance","global","combined",0.622784810126582,0.001
10,"gPi","mean_lower","global","combined",-0.338607594936709,0.001
10,"gPi","mean_upper","global","combined",-0.475316455696203,0.001
10,"PPF","min","global","combined",-0.460759493670886,0.001
10,"PPF","max","global","combined",-0.306329113924051,0.001
10,"PPF","mean","global","combined",-0.400632911392405,0.001
10,"PPF","median","global","combined",-0.420886075949367,0.001
10,"PPF","slope","global","combined",-0.533544303797468,0.001
10,"PPF","range","global","combined",0.621518987341772,0.001
10,"PPF","variance","global","combined",0.619620253164557,0.001
10,"PPF","mean_lower","global","combined",-0.343037974683544,0.001
10,"PPF","mean_upper","global","combined",-0.462025316455696,0.001
10,"PPi","min","global","combined",-0.467088607594937,0.001
10,"PPi","max","global","combined",-0.311392405063291,0.001
10,"PPi","mean","global","combined",-0.408227848101266,0.001
10,"PPi","median","global","combined",-0.429746835443038,0.001
10,"PPi","slope","global","combined",-0.566455696202532,0.001
10,"PPi","range","global","combined",0.618987341772152,0.001
10,"PPi","variance","global","combined",0.619620253164557,0.001
10,"PPi","mean_lower","global","combined",-0.344303797468354,0.001
10,"PPi","mean_upper","global","combined",-0.474683544303797,0.001
10,"PImd","min","global","combined",-0.467088607594937,0.001
10,"PImd","max","global","combined",-0.311392405063291,0.001
10,"PImd","mean","global","combined",-0.408227848101266,0.001
10,"PImd","median","global","combined",-0.429746835443038,0.001
10,"PImd","slope","global","combined",-0.566455696202532,0.001
10,"PImd","range","global","combined",0.618987341772152,0.001
10,"PImd","variance","global","combined",0.619620253164557,0.001
10,"PImd","mean_lower","global","combined",-0.344303797468354,0.001
10,"PImd","mean_upper","global","combined",-0.474683544303797,0.001
10,"PILSM","min","global","combined",-0.467088607594937,0.001
10,"PILSM","max","global","combined",-0.311392405063291,0.001
10,"PILSM","mean","global","combined",-0.408227848101266,0.001
10,"PILSM","median","global","combined",-0.429746835443038,0.001
10,"PILSM","slope","global","combined",-0.566455696202532,0.001
10,"PILSM","range","global","combined",0.618987341772152,0.001
10,"PILSM","variance","global","combined",0.619620253164557,0.001
10,"PILSM","mean_lower","global","combined",-0.344303797468354,0.001
10,"PILSM","mean_upper","global","combined",-0.474683544303797,0.001
10,"RTR","min","global","combined",0.427848101265823,0.001
10,"RTR","max","global","combined",0.292405063291139,0.001
10,"RTR","mean","global","combined",0.386708860759494,0.001
10,"RTR","median","global","combined",0.418354430379747,0.001
10,"RTR","slope","global","combined",0.722151898734177,0.001
10,"RTR","range","global","combined",-0.511392405063291,0.001
10,"RTR","variance","global","combined",-0.523417721518987,0.001
10,"RTR","mean_lower","global","combined",0.311392405063291,0.001
10,"RTR","mean_upper","global","combined",0.465822784810127,0.001
10,"PIR","min","global","combined",-0.465822784810127,0.001
10,"PIR","max","global","combined",-0.312658227848101,0.001
10,"PIR","mean","global","combined",-0.409493670886076,0.001
10,"PIR","median","global","combined",-0.433544303797468,0.001
10,"PIR","slope","global","combined",-0.581645569620253,0.001
10,"PIR","range","global","combined",0.617721518987342,0.001
10,"PIR","variance","global","combined",0.619620253164557,0.001
10,"PIR","mean_lower","global","combined",-0.340506329113924,0.001
10,"PIR","mean_upper","global","combined",-0.477215189873418,0.001
10,"RDPI","min","global","combined",-0.466455696202532,0.001
10,"RDPI","max","global","combined",-0.310759493670886,0.001
10,"RDPI","mean","global","combined",-0.407594936708861,0.001
10,"RDPI","median","global","combined",-0.429113924050633,0.001
10,"RDPI","slope","global","combined",-0.563291139240506,0.001
10,"RDPI","range","global","combined",0.619620253164557,0.001
10,"RDPI","variance","global","combined",0.620253164556962,0.001
10,"RDPI","mean_lower","global","combined",-0.343670886075949,0.001
10,"RDPI","mean_upper","global","combined",-0.474050632911392,0.001
10,"ESPI","min","global","combined",-0.0860759493670886,0.231
10,"ESPI","max","global","combined",0.069620253164557,0.37
10,"ESPI","mean","global","combined",-0.0272151898734177,0.706
10,"ESPI","median","global","combined",-0.0525316455696203,0.487
10,"ESPI","slope","global","combined",-0.75506329113924,0.001
10,"ESPI","range","global","combined",1,0.001
10,"ESPI","variance","global","combined",0.967721518987342,0.001
10,"ESPI","mean_lower","global","combined",0.0354430379746835,0.654
