"resolution","score","stat","analysis","genotype_form","correlation","p_value"
25,"CV_t","min","global","combined",-0.44620253164557,0.001
25,"CV_t","max","global","combined",-0.299367088607595,0.001
25,"CV_t","mean","global","combined",-0.372784810126582,0.001
25,"CV_t","median","global","combined",-0.372784810126582,0.001
25,"CV_t","slope","global","combined",-0.569620253164557,0.001
25,"CV_t","range","global","combined",0.642405063291139,0.001
25,"CV_t","variance","global","combined",0.642405063291139,0.001
25,"CV_t","mean_lower","global","combined",-0.290506329113924,0.002
25,"CV_t","mean_upper","global","combined",-0.45,0.001
25,"RN","min","global","combined",0.176582278481013,0.025
25,"RN","max","global","combined",0.0474683544303797,0.515
25,"RN","mean","global","combined",0.117088607594937,0.103
25,"RN","median","global","combined",0.117088607594937,0.11
25,"RN","slope","global","combined",1,0.001
25,"RN","range","global","combined",-0.782911392405063,0.001
25,"RN","variance","global","combined",-0.782911392405063,0.001
25,"RN","mean_lower","global","combined",0.00316455696202532,0.981
25,"RN","mean_upper","global","combined",0.217088607594937,0.004
25,"RNN","min","global","combined",NA,NA
25,"RNN","max","global","combined",NA,NA
25,"RNN","mean","global","combined",NA,NA
25,"RNN","median","global","combined",NA,NA
25,"RNN","slope","global","combined",NA,NA
25,"RNN","range","global","combined",NA,NA
25,"RNN","variance","global","combined",NA,NA
25,"RNN","mean_lower","global","combined",NA,NA
25,"RNN","mean_upper","global","combined",NA,NA
25,"D_slope","min","global","combined",-0.0886075949367089,0.243
25,"D_slope","max","global","combined",0.0582278481012658,0.441
25,"D_slope","mean","global","combined",-0.0151898734177215,0.843
25,"D_slope","median","global","combined",-0.0151898734177215,0.849
25,"D_slope","slope","global","combined",-0.782911392405063,0.001
25,"D_slope","range","global","combined",1,0.001
25,"D_slope","variance","global","combined",1,0.001
25,"D_slope","mean_lower","global","combined",0.0620253164556962,0.385
25,"D_slope","mean_upper","global","combined",-0.0962025316455696,0.22
25,"RC","min","global","combined",-0.44620253164557,0.001
25,"RC","max","global","combined",-0.299367088607595,0.001
25,"RC","mean","global","combined",-0.372784810126582,0.001
25,"RC","median","global","combined",-0.372784810126582,0.001
25,"RC","slope","global","combined",-0.569620253164557,0.001
25,"RC","range","global","combined",0.642405063291139,0.001
25,"RC","variance","global","combined",0.642405063291139,0.001
25,"RC","mean_lower","global","combined",-0.290506329113924,0.001
25,"RC","mean_upper","global","combined",-0.45,0.001
25,"gPi","min","global","combined",-0.44620253164557,0.001
25,"gPi","max","global","combined",-0.299367088607595,0.001
25,"gPi","mean","global","combined",-0.372784810126582,0.001
25,"gPi","median","global","combined",-0.372784810126582,0.001
25,"gPi","slope","global","combined",-0.569620253164557,0.001
25,"gPi","range","global","combined",0.642405063291139,0.001
25,"gPi","variance","global","combined",0.642405063291139,0.001
25,"gPi","mean_lower","global","combined",-0.290506329113924,0.001
25,"gPi","mean_upper","global","combined",-0.45,0.001
25,"PPF","min","global","combined",-0.432278481012658,0.001
25,"PPF","max","global","combined",-0.287974683544304,0.001
25,"PPF","mean","global","combined",-0.360126582278481,0.001
25,"PPF","median","global","combined",-0.360126582278481,0.001
25,"PPF","slope","global","combined",-0.535443037974684,0.001
25,"PPF","range","global","combined",0.64620253164557,0.001
25,"PPF","variance","global","combined",0.64620253164557,0.001
25,"PPF","mean_lower","global","combined",-0.291772151898734,0.001
25,"PPF","mean_upper","global","combined",-0.428481012658228,0.001
25,"PPi","min","global","combined",-0.44620253164557,0.001
25,"PPi","max","global","combined",-0.299367088607595,0.001
25,"PPi","mean","global","combined",-0.372784810126582,0.001
25,"PPi","median","global","combined",-0.372784810126582,0.001
25,"PPi","slope","global","combined",-0.569620253164557,0.001
25,"PPi","range","global","combined",0.642405063291139,0.001
25,"PPi","variance","global","combined",0.642405063291139,0.001
25,"PPi","mean_lower","global","combined",-0.290506329113924,0.001
25,"PPi","mean_upper","global","combined",-0.45,0.001
25,"PImd","min","global","combined",-0.44620253164557,0.001
25,"PImd","max","global","combined",-0.299367088607595,0.001
25,"PImd","mean","global","combined",-0.372784810126582,0.001
25,"PImd","median","global","combined",-0.372784810126582,0.001
25,"PImd","slope","global","combined",-0.569620253164557,0.001
25,"PImd","range","global","combined",0.642405063291139,0.001
25,"PImd","variance","global","combined",0.642405063291139,0.001
25,"PImd","mean_lower","global","combined",-0.290506329113924,0.001
25,"PImd","mean_upper","global","combined",-0.45,0.001
25,"PILSM","min","global","combined",-0.44620253164557,0.001
25,"PILSM","max","global","combined",-0.299367088607595,0.001
25,"PILSM","mean","global","combined",-0.372784810126582,0.001
25,"PILSM","median","global","combined",-0.372784810126582,0.001
25,"PILSM","slope","global","combined",-0.569620253164557,0.001
25,"PILSM","range","global","combined",0.642405063291139,0.001
25,"PILSM","variance","global","combined",0.642405063291139,0.001
25,"PILSM","mean_lower","global","combined",-0.290506329113924,0.001
25,"PILSM","mean_upper","global","combined",-0.45,0.001
25,"RTR","min","global","combined",0.421518987341772,0.001
25,"RTR","max","global","combined",0.292405063291139,0.001
25,"RTR","mean","global","combined",0.362025316455696,0.001
25,"RTR","median","global","combined",0.362025316455696,0.001
25,"RTR","slope","global","combined",0.741139240506329,0.001
25,"RTR","range","global","combined",-0.537974683544304,0.001
25,"RTR","variance","global","combined",-0.537974683544304,0.001
25,"RTR","mean_lower","global","combined",0.248101265822785,0.002
25,"RTR","mean_upper","global","combined",0.462025316455696,0.001
25,"PIR","min","global","combined",-0.443670886075949,0.001
25,"PIR","max","global","combined",-0.300632911392405,0.001
25,"PIR","mean","global","combined",-0.374050632911392,0.001
25,"PIR","median","global","combined",-0.374050632911392,0.001
25,"PIR","slope","global","combined",-0.59873417721519,0.001
25,"PIR","range","global","combined",0.639873417721519,0.001
25,"PIR","variance","global","combined",0.639873417721519,0.001
25,"PIR","mean_lower","global","combined",-0.280379746835443,0.001
25,"PIR","mean_upper","global","combined",-0.456329113924051,0.001
25,"RDPI","min","global","combined",-0.44620253164557,0.001
25,"RDPI","max","global","combined",-0.299367088607595,0.001
25,"RDPI","mean","global","combined",-0.372784810126582,0.001
25,"RDPI","median","global","combined",-0.372784810126582,0.001
25,"RDPI","slope","global","combined",-0.569620253164557,0.001
25,"RDPI","range","global","combined",0.642405063291139,0.001
25,"RDPI","variance","global","combined",0.642405063291139,0.001
25,"RDPI","mean_lower","global","combined",-0.290506329113924,0.001
25,"RDPI","mean_upper","global","combined",-0.45,0.001
25,"ESPI","min","global","combined",-0.0886075949367089,0.267
25,"ESPI","max","global","combined",0.0582278481012658,0.487
25,"ESPI","mean","global","combined",-0.0151898734177215,0.835
25,"ESPI","median","global","combined",-0.0151898734177215,0.841
25,"ESPI","slope","global","combined",-0.782911392405063,0.001
25,"ESPI","range","global","combined",1,0.001
25,"ESPI","variance","global","combined",1,0.001
25,"ESPI","mean_lower","global","combined",0.0620253164556962,0.433
25,"ESPI","mean_upper","global","combined",-0.0962025316455696,0.218
25,"ESPIID","min","global","combined",-0.0886075949367089,0.243
25,"ESPIID","max","global","combined",0.0582278481012658,0.422
25,"ESPIID","mean","global","combined",-0.0151898734177215,0.833
25,"ESPIID","median","global","combined",-0.0151898734177215,0.859
25,"ESPIID","slope","global","combined",-0.782911392405063,0.001
25,"ESPIID","range","global","combined",1,0.001
25,"ESPIID","variance","global","combined",1,0.001
25,"ESPIID","mean_lower","global","combined",0.0620253164556962,0.402
