"resolution","score","stat","analysis","genotype_form","correlation","p_value"
5,"CV_t","min","global","combined",-0.422784810126582,0.001
5,"CV_t","max","global","combined",-0.205696202531646,0.011
5,"CV_t","mean","global","combined",-0.35,0.001
5,"CV_t","median","global","combined",-0.370253164556962,0.001
5,"CV_t","slope","global","combined",-0.617088607594937,0.001
5,"CV_t","range","global","combined",0.654430379746835,0.001
5,"CV_t","variance","global","combined",0.656962025316456,0.001
5,"CV_t","mean_lower","global","combined",-0.25379746835443,0.002
5,"CV_t","mean_upper","global","combined",-0.428481012658228,0.001
5,"RN","min","global","combined",0.167721518987342,0.036
5,"RN","max","global","combined",-0.0354430379746835,0.67
5,"RN","mean","global","combined",0.106329113924051,0.157
5,"RN","median","global","combined",0.126582278481013,0.11
5,"RN","slope","global","combined",1,0.001
5,"RN","range","global","combined",-0.74873417721519,0.001
5,"RN","variance","global","combined",-0.771518987341772,0.001
5,"RN","mean_lower","global","combined",0.00253164556962025,0.979
5,"RN","mean_upper","global","combined",0.192405063291139,0.013
5,"RNN","min","global","combined",-0.0556962025316456,0.458
5,"RNN","max","global","combined",0.15,0.043
5,"RNN","mean","global","combined",0.0120253164556962,0.875
5,"RNN","median","global","combined",-0.00443037974683544,0.953
5,"RNN","slope","global","combined",-0.679113924050633,0.001
5,"RNN","range","global","combined",0.79873417721519,0.001
5,"RNN","variance","global","combined",0.813924050632911,0.001
5,"RNN","mean_lower","global","combined",0.108227848101266,0.148
5,"RNN","mean_upper","global","combined",-0.0651898734177215,0.398
5,"D_slope","min","global","combined",-0.0841772151898734,0.253
5,"D_slope","max","global","combined",0.135443037974684,0.069
5,"D_slope","mean","global","combined",-0.00886075949367089,0.91
5,"D_slope","median","global","combined",-0.0278481012658228,0.714
5,"D_slope","slope","global","combined",-0.734177215189873,0.001
5,"D_slope","range","global","combined",0.971518987341772,0.001
5,"D_slope","variance","global","combined",0.95126582278481,0.001
5,"D_slope","mean_lower","global","combined",0.0810126582278481,0.272
5,"D_slope","mean_upper","global","combined",-0.0848101265822785,0.282
5,"RC","min","global","combined",-0.422151898734177,0.001
5,"RC","max","global","combined",-0.205063291139241,0.009
5,"RC","mean","global","combined",-0.349367088607595,0.001
5,"RC","median","global","combined",-0.369620253164557,0.001
5,"RC","slope","global","combined",-0.615189873417721,0.001
5,"RC","range","global","combined",0.656329113924051,0.001
5,"RC","variance","global","combined",0.657594936708861,0.001
5,"RC","mean_lower","global","combined",-0.253164556962025,0.001
5,"RC","mean_upper","global","combined",-0.427848101265823,0.001
5,"gPi","min","global","combined",-0.422784810126582,0.001
5,"gPi","max","global","combined",-0.205696202531646,0.007
5,"gPi","mean","global","combined",-0.35,0.001
