method,k,overlap_to_consensus,full_agree_consensus,group
APC,3,1,TRUE,G1
APC,5,1,TRUE,G1
APC,10,1,TRUE,G1
APC,15,1,TRUE,G1
APC,20,1,TRUE,G1
ESP,3,1,TRUE,G2
RC,3,1,TRUE,G2
RDPI,3,1,TRUE,G2
RPI,3,1,TRUE,G2
CEV,20,1,TRUE,G2
CV_t,20,1,TRUE,G2
ESP,20,1,TRUE,G2
gPi,20,1,TRUE,G2
RC,20,1,TRUE,G2
ESPI,3,1,TRUE,G3
NRW,3,1,TRUE,G3
PQ,3,1,TRUE,G3
PR,3,1,TRUE,G3
ESPI,5,1,TRUE,G3
NRW,5,1,TRUE,G3
PQ,5,1,TRUE,G3
PR,5,1,TRUE,G3
ESPI,10,1,TRUE,G3
NRW,10,1,TRUE,G3
PQ,10,1,TRUE,G3
PR,10,1,TRUE,G3
ESPI,15,1,TRUE,G3
NRW,15,1,TRUE,G3
PQ,15,1,TRUE,G3
PR,15,1,TRUE,G3
ESPI,20,1,TRUE,G3
NRW,20,1,TRUE,G3
PQ,20,1,TRUE,G3
PR,20,1,TRUE,G3
PSI,3,1,TRUE,G4
PSI,5,1,TRUE,G4
PSI,10,1,TRUE,G4
PSI,15,1,TRUE,G4
PSI,20,1,TRUE,G4
RN,3,1,TRUE,G5
RN,5,1,TRUE,G5
RN,10,1,TRUE,G5
RN,15,1,TRUE,G5
RN,20,1,TRUE,G5
RNN,3,1,TRUE,G6
RNN,5,1,TRUE,G6
RNN,10,1,TRUE,G6
RNN,15,1,TRUE,G6
RNN,20,1,TRUE,G6
RSI,3,1,TRUE,G7
RSI,5,1,TRUE,G7
RSI,10,1,TRUE,G7
RSI,15,1,TRUE,G7
RSI,20,1,TRUE,G7
RTR,3,1,TRUE,G8
RTR,5,1,TRUE,G8
RTR,10,1,TRUE,G8
RTR,15,1,TRUE,G8
RTR,20,1,TRUE,G8
