method,degree_ge_thresh,avg_tau,med_tau,avg_topk_overlap,avg_flips_frac
PILSM,12,0.6271448663853728,0.7886075949367088,0.4674358974358974,0.19359785783836417
PImd,12,0.6271448663853728,0.7886075949367088,0.4674358974358974,0.19359785783836417
PPi,12,0.6271448663853728,0.7886075949367088,0.4674358974358974,0.19359785783836417
CEV,13,0.6249648382559775,0.8056962025316455,0.4797435897435897,0.19472979552093475
CV_t,13,0.6249648382559775,0.8056962025316455,0.4797435897435897,0.19472979552093478
gPi,13,0.6249648382559775,0.8056962025316455,0.4797435897435897,0.19472979552093478
RDPI,13,0.6231364275668071,0.8018987341772152,0.48205128205128206,0.19567916260954235
RPI,13,0.6231364275668071,0.8018987341772152,0.48205128205128206,0.19567916260954235
SI,5,0.6208157524613219,0.7664556962025316,0.4728205128205128,0.19688412852969814
PPF,11,0.6113689639006096,0.7867088607594936,0.3844871794871795,0.2017891918208374
ESP,12,0.6107360525082044,0.7974683544303798,0.46307692307692305,0.2021178188899708
RC,12,0.6082512892639476,0.7936708860759494,0.45897435897435895,0.20340798442064265
PIR,11,0.5984294421003282,0.7613924050632911,0.4264102564102564,0.20850778967867575
PFI,10,0.5857008907641819,0.7316455696202532,0.3526923076923077,0.21511684518013632
ESPI,6,0.5731129864041257,0.5746835443037974,0.43923076923076926,0.2216528724440117
NRW,6,0.5731129864041257,0.5746835443037974,0.43923076923076926,0.2216528724440117
PQ,6,0.5731129864041257,0.5746835443037974,0.43923076923076926,0.2216528724440117
PR,6,0.5731129864041257,0.5746835443037974,0.43923076923076926,0.2216528724440117
EVS,6,0.5632676980778247,0.580379746835443,0.37448717948717947,0.22676484907497566
ESPIID,6,0.5620253164556962,0.589873417721519,0.38487179487179485,0.22740993184031158
D_slope,6,0.5586966713548993,0.5936708860759494,0.41384615384615386,0.22913826679649466
RNN,0,0.49953117674636666,0.5373417721518987,0.4058974358974359,0.25985881207400197
APC,0,0.48084857008907644,0.5145569620253164,0.3170512820512821,0.2695593962999026
RTR,0,0.07937177684013126,0.0050632911392405,0.23423076923076924,0.4780185004868549
RN,0,0.07566807313642758,0.00886075949367088,0.21987179487179487,0.4799415774099319
PSI,0,-0.13042662916080638,-0.160126582278481,0.13525641025641025,0.586952288218111
RSI,0,-0.6249648382559775,-0.8056962025316455,0.008589743589743588,0.8437317429406037
