method,k,overlap_to_consensus,full_agree_consensus
CEV,3,0.6666666666666666,FALSE
CV_t,3,0.6666666666666666,FALSE
ESP,3,1,TRUE
gPi,3,0.6666666666666666,FALSE
PFI,3,0,FALSE
PILSM,3,0.6666666666666666,FALSE
PImd,3,0.6666666666666666,FALSE
PIR,3,0.6666666666666666,FALSE
PPF,3,0,FALSE
PPi,3,0.6666666666666666,FALSE
RC,3,1,TRUE
RDPI,3,1,TRUE
RPI,3,1,TRUE
SI,3,0.6666666666666666,FALSE
CEV,5,0.8,FALSE
CV_t,5,0.8,FALSE
ESP,5,0.8,FALSE
gPi,5,0.8,FALSE
PFI,5,0.4,FALSE
PILSM,5,0.6,FALSE
PImd,5,0.6,FALSE
PIR,5,0.8,FALSE
PPF,5,0.2,FALSE
PPi,5,0.6,FALSE
RC,5,0.8,FALSE
RDPI,5,0.8,FALSE
RPI,5,0.8,FALSE
SI,5,0.6,FALSE
CEV,10,0.9,FALSE
CV_t,10,0.9,FALSE
ESP,10,0.8,FALSE
gPi,10,0.9,FALSE
PFI,10,0.5,FALSE
PILSM,10,0.8,FALSE
PImd,10,0.8,FALSE
PIR,10,0.8,FALSE
PPF,10,0.7,FALSE
PPi,10,0.8,FALSE
RC,10,0.8,FALSE
RDPI,10,0.9,FALSE
RPI,10,0.9,FALSE
SI,10,0.5,FALSE
CEV,15,0.9333333333333333,FALSE
CV_t,15,0.9333333333333333,FALSE
ESP,15,0.8666666666666667,FALSE
gPi,15,0.9333333333333333,FALSE
PFI,15,0.5333333333333333,FALSE
PILSM,15,0.8666666666666667,FALSE
PImd,15,0.8666666666666667,FALSE
PIR,15,0.6666666666666666,FALSE
PPF,15,0.8,FALSE
PPi,15,0.8666666666666667,FALSE
RC,15,0.8,FALSE
RDPI,15,0.9333333333333333,FALSE
RPI,15,0.9333333333333333,FALSE
SI,15,0.6,FALSE
CEV,20,1,TRUE
CV_t,20,1,TRUE
ESP,20,1,TRUE
gPi,20,1,TRUE
PFI,20,0.65,FALSE
PILSM,20,0.85,FALSE
PImd,20,0.85,FALSE
PIR,20,0.8,FALSE
PPF,20,0.85,FALSE
PPi,20,0.85,FALSE
RC,20,1,TRUE
RDPI,20,0.95,FALSE
RPI,20,0.95,FALSE
SI,20,0.75,FALSE
