method,PSI,RSI,RN,RTR,SI,PFI,PPi,PILSM,PImd,RDPI,RPI,gPi,CEV,CV_t,ESP,RC,PIR,PPF,ESPIID,D_slope,EVS,PR,PQ,ESPI,NRW,APC,RNN
PSI,0.9999999999999999,0.680102720806394,0.5571630042211319,0.6597221492370575,-0.7185782507293157,-0.6793536829422092,-0.6751470594186665,-0.6751470594186665,-0.6751470594186665,-0.6772453392991213,-0.6772453392991213,-0.680102720806394,-0.680102720806394,-0.680102720806394,-0.6722826651483245,-0.6776278317528527,-0.6616491319220321,-0.6172143130092501,-0.7438459007553375,-0.7328531307771354,-0.7605032635572775,-0.7475740902251049,-0.7475740902251049,-0.7475740902251049,-0.7475740902251049,-0.7405268682380718,-0.7525245089465763
RSI,0.680102720806394,0.9999999999999999,0.015113373097896576,0.16697328076293133,-0.9944673847880688,-0.9999561081815862,-0.9997561315066625,-0.9997561315066625,-0.9997561315066625,-0.9999788472726215,-0.9999788472726215,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,-0.9996578189058845,-0.9999203652756955,-0.9994249179578621,-0.9940772611307866,-0.9748131479025558,-0.9759482768349872,-0.9681829329476193,-0.9707146436894014,-0.9707146436894014,-0.9707146436894014,-0.9707146436894014,-0.9753616234638975,-0.9815345243317194
RN,0.5571630042211319,0.015113373097896576,1,0.985995822409457,-0.09490397563023269,-0.017059197621548415,-0.012632930626504366,-0.012632930626504366,-0.012632930626504366,-0.010773537542781212,-0.010773537542781212,-0.015113373097896576,-0.015113373097896576,-0.015113373097896576,0.005024905951969973,-0.006204257565173988,0.011748018980350675,0.09241426629933305,-0.17741356347120257,-0.15065069649586235,-0.20642226150569679,-0.18902657172150683,-0.18902657172150683,-0.18902657172150683,-0.18902657172150683,-0.17448938932920768,-0.16383458398552764
RTR,0.6597221492370575,0.16697328076293133,0.985995822409457,1,-0.24607992514946223,-0.16904952658889982,-0.16492323084402963,-0.16492323084402963,-0.16492323084402963,-0.1627930345008298,-0.1627930345008298,-0.16697328076293133,-0.16697328076293133,-0.16697328076293133,-0.14688809928759464,-0.1580989533000195,-0.14059992088502668,-0.061021134403832444,-0.3261283584113845,-0.30054748855106883,-0.3538635113151414,-0.3373069982730331,-0.3373069982730331,-0.3373069982730331,-0.3373069982730331,-0.32349886610325396,-0.31360473486930446
SI,-0.7185782507293157,-0.9944673847880688,-0.09490397563023269,-0.24607992514946223,0.9999999999999998,0.9951601403079502,0.9954590697158808,0.9954590697158808,0.9954590697158808,0.9944260350696699,0.9944260350696699,0.9944673847880688,0.9944673847880688,0.9944673847880688,0.9914659048658938,0.9931588195465801,0.9930804004323817,0.9810085573793835,0.9927951976789277,0.9930244993978921,0.9891111743834644,0.9905204844672468,0.9905204844672468,0.9905204844672468,0.9905204844672468,0.9930399570306897,0.9961266120350736
PFI,-0.6793536829422092,-0.9999561081815862,-0.017059197621548415,-0.16904952658889982,0.9951601403079502,1,0.9999075285174123,0.9999075285174123,0.9999075285174123,0.9999697397140196,0.9999697397140196,0.9999561081815862,0.9999561081815862,0.9999561081815862,0.9994222946995039,0.9997787109070696,0.9995132237975385,0.993954730482474,0.9764191263770432,0.9776357908323838,0.9698800961629311,0.9724507751306771,0.9724507751306771,0.9724507751306771,0.9724507751306771,0.9769707323459557,0.9827590003934155
PPi,-0.6751470594186665,-0.9997561315066625,-0.012632930626504366,-0.16492323084402963,0.9954590697158808,0.9999075285174123,1,1,1,0.9998508946896145,0.9998508946896145,0.9997561315066625,0.9997561315066625,0.9997561315066625,0.9991003643698172,0.9995098188566744,0.999692655537951,0.9944195868945984,0.9774351696931789,0.9789766148213757,0.9708406451012713,0.9735724471311497,0.9735724471311497,0.9735724471311497,0.9735724471311497,0.9780054402181547,0.9833634459200775
PILSM,-0.6751470594186665,-0.9997561315066625,-0.012632930626504366,-0.16492323084402963,0.9954590697158808,0.9999075285174123,1,1,1,0.9998508946896145,0.9998508946896145,0.9997561315066625,0.9997561315066625,0.9997561315066625,0.9991003643698172,0.9995098188566744,0.999692655537951,0.9944195868945984,0.9774351696931789,0.9789766148213757,0.9708406451012713,0.9735724471311497,0.9735724471311497,0.9735724471311497,0.9735724471311497,0.9780054402181547,0.9833634459200775
PImd,-0.6751470594186665,-0.9997561315066625,-0.012632930626504366,-0.16492323084402963,0.9954590697158808,0.9999075285174123,1,1,1,0.9998508946896145,0.9998508946896145,0.9997561315066625,0.9997561315066625,0.9997561315066625,0.9991003643698172,0.9995098188566744,0.999692655537951,0.9944195868945984,0.9774351696931789,0.9789766148213757,0.9708406451012713,0.9735724471311497,0.9735724471311497,0.9735724471311497,0.9735724471311497,0.9780054402181547,0.9833634459200775
RDPI,-0.6772453392991213,-0.9999788472726215,-0.010773537542781212,-0.1627930345008298,0.9944260350696699,0.9999697397140196,0.9998508946896145,0.9998508946896145,0.9998508946896145,1,1,0.9999788472726215,0.9999788472726215,0.9999788472726215,0.9996454189527978,0.9998980275426945,0.9996181115781687,0.9945935751690332,0.9748220682192783,0.9761552101943995,0.9680980003998716,0.9707331974284593,0.9707331974284593,0.9707331974284593,0.9707331974284593,0.9753822583526165,0.9814277656356077
