gid,genotype_id,CV_t,RN,RNN,D_slope,RC,gPi,PPF,PPi,PImd,PILSM,RTR,PIR,RDPI,ESPI,ESPIID,PSI,RPI,PQ,PR,NRW,ESP,CEV,PFI,APC,SI,RSI,EVS
1,1,52,28,55,67,51,52,48,50,50,50,27,50,51,69,69,26,51,69,69,69,52,52,47,64,62,29,68
2,10,40,56,48,63,41,40,44,43,43,43,62,47,43,62,58,31,43,62,62,62,41,40,36,48,49,41,60
3,11,63,55,50,66,63,63,66,67,67,67,51,67,67,63,62,30,67,63,63,63,63,63,62,57,68,18,63
4,12,64,24,42,52,64,64,64,62,62,62,34,64,63,54,48,38,63,54,54,54,64,64,63,37,60,17,54
5,13,41,23,37,47,42,41,39,40,40,40,23,42,41,51,42,39,41,51,51,51,42,41,38,32,45,40,50
6,14,58,59,46,59,57,58,59,58,58,58,56,61,57,58,55,34,57,58,58,58,57,58,55,43,58,23,58
7,15,44,25,44,53,44,44,42,42,42,42,24,44,44,56,51,36,44,56,56,56,44,44,42,39,48,37,56
8,16,39,21,29,36,39,39,36,39,39,39,22,38,37,41,32,42,37,41,41,41,40,39,35,25,42,42,42
9,17,45,22,35,43,45,45,45,44,44,44,25,46,45,48,41,40,45,48,48,48,45,45,43,31,46,36,48
10,18,61,58,47,60,62,61,65,66,66,66,52,66,65,61,56,33,65,61,61,61,62,61,60,44,64,20,59
11,19,70,54,53,68,70,70,71,71,71,71,45,71,71,67,66,27,71,67,67,67,70,70,70,61,70,11,66
12,2,60,62,32,49,60,60,63,60,60,60,54,63,60,43,33,41,60,43,43,43,60,60,58,26,55,21,43
13,20,48,26,51,61,49,48,46,47,47,47,26,48,47,64,63,29,47,64,64,64,49,48,45,58,57,33,64
14,21,20,14,36,37,18,20,11,24,24,24,7,17,20,40,43,57,20,40,40,40,18,20,29,53,30,61,37
15,22,34,79,15,11,33,34,41,38,38,38,70,41,35,15,16,74,35,15,15,15,33,34,46,23,26,47,9
16,23,59,15,40,40,58,59,57,63,63,63,14,62,59,47,46,53,59,47,47,47,58,59,66,56,53,22,40
