"resolution","score","stat","analysis","genotype_form","correlation","p_value"
25,"CV_t","min","global","combined",-0.432278481012658,0.001
25,"CV_t","max","global","combined",-0.24493670886076,0.004
25,"CV_t","mean","global","combined",-0.325949367088608,0.001
25,"CV_t","median","global","combined",-0.283544303797468,0.001
25,"CV_t","slope","global","combined",-0.282911392405063,0.001
25,"CV_t","range","global","combined",0.648101265822785,0.001
25,"CV_t","variance","global","combined",0.654430379746835,0.001
25,"CV_t","mean_lower","global","combined",-0.275316455696203,0.002
25,"CV_t","mean_upper","global","combined",-0.332911392405063,0.001
25,"RN","min","global","combined",0.174683544303797,0.019
25,"RN","max","global","combined",0.0810126582278481,0.248
25,"RN","mean","global","combined",0.10253164556962,0.178
25,"RN","median","global","combined",0.0208860759493671,0.778
25,"RN","slope","global","combined",1,0.001
25,"RN","range","global","combined",-0.34620253164557,0.001
25,"RN","variance","global","combined",-0.35253164556962,0.001
25,"RN","mean_lower","global","combined",-0.079746835443038,0.345
25,"RN","mean_upper","global","combined",0.171518987341772,0.024
25,"RNN","min","global","combined",NA,NA
25,"RNN","max","global","combined",NA,NA
25,"RNN","mean","global","combined",NA,NA
25,"RNN","median","global","combined",NA,NA
25,"RNN","slope","global","combined",NA,NA
25,"RNN","range","global","combined",NA,NA
25,"RNN","variance","global","combined",NA,NA
25,"RNN","mean_lower","global","combined",NA,NA
25,"RNN","mean_upper","global","combined",NA,NA
25,"D_slope","min","global","combined",-0.0917721518987342,0.225
25,"D_slope","max","global","combined",0.0968354430379747,0.18
25,"D_slope","mean","global","combined",0.0158227848101266,0.83
25,"D_slope","median","global","combined",0.0569620253164557,0.483
25,"D_slope","slope","global","combined",-0.34620253164557,0.001
25,"D_slope","range","global","combined",1,0.001
25,"D_slope","variance","global","combined",0.930379746835443,0.001
25,"D_slope","mean_lower","global","combined",0.05,0.485
25,"D_slope","mean_upper","global","combined",0.00886075949367089,0.924
25,"RC","min","global","combined",-0.427848101265823,0.001
25,"RC","max","global","combined",-0.239240506329114,0.003
25,"RC","mean","global","combined",-0.320253164556962,0.001
25,"RC","median","global","combined",-0.267721518987342,0.001
25,"RC","slope","global","combined",-0.30253164556962,0.001
25,"RC","range","global","combined",0.663924050632911,0.001
25,"RC","variance","global","combined",0.656329113924051,0.001
25,"RC","mean_lower","global","combined",-0.264556962025316,0.002
25,"RC","mean_upper","global","combined",-0.327215189873418,0.001
25,"gPi","min","global","combined",-0.432278481012658,0.001
25,"gPi","max","global","combined",-0.24493670886076,0.002
25,"gPi","mean","global","combined",-0.325949367088608,0.001
25,"gPi","median","global","combined",-0.283544303797468,0.001
25,"gPi","slope","global","combined",-0.282911392405063,0.001
25,"gPi","range","global","combined",0.648101265822785,0.001
25,"gPi","variance","global","combined",0.654430379746835,0.001
25,"gPi","mean_lower","global","combined",-0.275316455696203,0.001
25,"gPi","mean_upper","global","combined",-0.332911392405063,0.001
25,"PPF","min","global","combined",-0.419620253164557,0.001
25,"PPF","max","global","combined",-0.232278481012658,0.003
25,"PPF","mean","global","combined",-0.313291139240506,0.001
25,"PPF","median","global","combined",-0.274683544303797,0.003
25,"PPF","slope","global","combined",-0.24493670886076,0.002
25,"PPF","range","global","combined",0.665822784810127,0.001
25,"PPF","variance","global","combined",0.653164556962025,0.001
25,"PPF","mean_lower","global","combined",-0.280379746835443,0.001
25,"PPF","mean_upper","global","combined",-0.315189873417722,0.001
25,"PPi","min","global","combined",-0.427848101265823,0.001
25,"PPi","max","global","combined",-0.239240506329114,0.002
25,"PPi","mean","global","combined",-0.320253164556962,0.001
25,"PPi","median","global","combined",-0.267721518987342,0.001
25,"PPi","slope","global","combined",-0.30253164556962,0.001
25,"PPi","range","global","combined",0.663924050632911,0.001
25,"PPi","variance","global","combined",0.656329113924051,0.001
25,"PPi","mean_lower","global","combined",-0.264556962025316,0.002
25,"PPi","mean_upper","global","combined",-0.327215189873418,0.001
25,"PImd","min","global","combined",-0.427848101265823,0.001
25,"PImd","max","global","combined",-0.239240506329114,0.002
25,"PImd","mean","global","combined",-0.320253164556962,0.001
25,"PImd","median","global","combined",-0.267721518987342,0.001
25,"PImd","slope","global","combined",-0.30253164556962,0.002
25,"PImd","range","global","combined",0.663924050632911,0.001
25,"PImd","variance","global","combined",0.656329113924051,0.001
