"resolution","score","stat","analysis","genotype_form","correlation","p_value"
2,"CV_t","min","global","combined",-0.518987341772152,0.001
2,"CV_t","max","global","combined",-0.158227848101266,0.042
2,"CV_t","mean","global","combined",-0.346835443037975,0.001
2,"CV_t","median","global","combined",-0.307594936708861,0.001
2,"CV_t","slope","global","combined",-0.105063291139241,0.149
2,"CV_t","range","global","combined",0.64620253164557,0.001
2,"CV_t","variance","global","combined",0.688607594936709,0.001
2,"CV_t","mean_lower","global","combined",-0.29493670886076,0.001
2,"CV_t","mean_upper","global","combined",-0.344303797468354,0.001
2,"RN","min","global","combined",0.0126582278481013,0.871
2,"RN","max","global","combined",0.0734177215189873,0.35
2,"RN","mean","global","combined",0.020253164556962,0.799
2,"RN","median","global","combined",-0.0189873417721519,0.811
2,"RN","slope","global","combined",1,0.001
2,"RN","range","global","combined",-0.0272151898734177,0.722
2,"RN","variance","global","combined",-0.117721518987342,0.115
2,"RN","mean_lower","global","combined",-0.131645569620253,0.079
2,"RN","mean_upper","global","combined",0.167088607594937,0.029
2,"RNN","min","global","combined",-0.173417721518987,0.032
2,"RNN","max","global","combined",0.134177215189873,0.077
2,"RNN","mean","global","combined",-0.0316455696202532,0.683
2,"RNN","median","global","combined",-0.0215189873417722,0.774
2,"RNN","slope","global","combined",-0.0607594936708861,0.429
2,"RNN","range","global","combined",0.614556962025317,0.001
2,"RNN","variance","global","combined",0.59873417721519,0.001
2,"RNN","mean_lower","global","combined",-0.020253164556962,0.79
2,"RNN","mean_upper","global","combined",-0.0177215189873418,0.833
2,"D_slope","min","global","combined",-0.209493670886076,0.005
2,"D_slope","max","global","combined",0.166455696202532,0.029
2,"D_slope","mean","global","combined",-0.0322784810126582,0.68
2,"D_slope","median","global","combined",0.00316455696202532,0.971
2,"D_slope","slope","global","combined",-0.0879746835443038,0.256
2,"D_slope","range","global","combined",0.918987341772152,0.001
2,"D_slope","variance","global","combined",0.94620253164557,0.001
2,"D_slope","mean_lower","global","combined",0.00569620253164557,0.942
2,"D_slope","mean_upper","global","combined",-0.0246835443037975,0.77
2,"RC","min","global","combined",-0.515189873417721,0.001
2,"RC","max","global","combined",-0.173417721518987,0.023
2,"RC","mean","global","combined",-0.348101265822785,0.001
2,"RC","median","global","combined",-0.308860759493671,0.001
2,"RC","slope","global","combined",-0.139240506329114,0.088
2,"RC","range","global","combined",0.618354430379747,0.001
2,"RC","variance","global","combined",0.674683544303798,0.001
2,"RC","mean_lower","global","combined",-0.287341772151899,0.001
2,"RC","mean_upper","global","combined",-0.364556962025316,0.001
2,"gPi","min","global","combined",-0.518987341772152,0.001
2,"gPi","max","global","combined",-0.158227848101266,0.041
2,"gPi","mean","global","combined",-0.346835443037975,0.001
2,"gPi","median","global","combined",-0.307594936708861,0.001
2,"gPi","slope","global","combined",-0.105063291139241,0.176
2,"gPi","range","global","combined",0.64620253164557,0.001
2,"gPi","variance","global","combined",0.688607594936709,0.001
2,"gPi","mean_lower","global","combined",-0.29493670886076,0.001
2,"gPi","mean_upper","global","combined",-0.344303797468354,0.001
2,"PPF","min","global","combined",-0.512658227848101,0.001
2,"PPF","max","global","combined",-0.143037974683544,0.064
2,"PPF","mean","global","combined",-0.343037974683544,0.001
2,"PPF","median","global","combined",-0.307594936708861,0.001
2,"PPF","slope","global","combined",-0.0506329113924051,0.503
2,"PPF","range","global","combined",0.668987341772152,0.001
2,"PPF","variance","global","combined",0.686075949367089,0.001
2,"PPF","mean_lower","global","combined",-0.30126582278481,0.001
2,"PPF","mean_upper","global","combined",-0.316455696202532,0.001
2,"PPi","min","global","combined",-0.5,0.001
2,"PPi","max","global","combined",-0.121518987341772,0.12
2,"PPi","mean","global","combined",-0.322784810126582,0.001
2,"PPi","median","global","combined",-0.292405063291139,0.001
2,"PPi","slope","global","combined",-0.0316455696202532,0.669
2,"PPi","range","global","combined",0.699367088607595,0.001
2,"PPi","variance","global","combined",0.673417721518987,0.001
2,"PPi","mean_lower","global","combined",-0.29873417721519,0.001
2,"PPi","mean_upper","global","combined",-0.29746835443038,0.001
2,"PImd","min","global","combined",-0.5,0.001
2,"PImd","max","global","combined",-0.121518987341772,0.113
2,"PImd","mean","global","combined",-0.322784810126582,0.002
2,"PImd","median","global","combined",-0.292405063291139,0.001
2,"PImd","slope","global","combined",-0.0316455696202532,0.682
2,"PImd","range","global","combined",0.699367088607595,0.001
2,"PImd","variance","global","combined",0.673417721518987,0.001
2,"PImd","mean_lower","global","combined",-0.29873417721519,0.001
2,"PImd","mean_upper","global","combined",-0.29746835443038,0.001
2,"PILSM","min","global","combined",-0.5,0.001
2,"PILSM","max","global","combined",-0.121518987341772,0.104
2,"PILSM","mean","global","combined",-0.322784810126582,0.001
