"resolution","score","stat","analysis","genotype_form","correlation","p_value"
5,"CV_t","min","global","combined",-0.518987341772152,0.001
5,"CV_t","max","global","combined",-0.171518987341772,0.023
5,"CV_t","mean","global","combined",-0.34620253164557,0.001
5,"CV_t","median","global","combined",-0.30506329113924,0.001
5,"CV_t","slope","global","combined",-0.112658227848101,0.122
5,"CV_t","range","global","combined",0.645569620253165,0.001
5,"CV_t","variance","global","combined",0.684177215189873,0.001
5,"CV_t","mean_lower","global","combined",-0.29493670886076,0.001
5,"CV_t","mean_upper","global","combined",-0.348101265822785,0.001
5,"RN","min","global","combined",0.0126582278481013,0.875
5,"RN","max","global","combined",0.0613924050632911,0.422
5,"RN","mean","global","combined",0.0208860759493671,0.794
5,"RN","median","global","combined",-0.0177215189873418,0.822
5,"RN","slope","global","combined",1,0.001
5,"RN","range","global","combined",-0.0316455696202532,0.688
5,"RN","variance","global","combined",-0.122151898734177,0.113
5,"RN","mean_lower","global","combined",-0.146835443037975,0.047
5,"RN","mean_upper","global","combined",0.160759493670886,0.036
5,"RNN","min","global","combined",-0.184810126582278,0.023
5,"RNN","max","global","combined",0.118354430379747,0.121
5,"RNN","mean","global","combined",-0.0360759493670886,0.642
5,"RNN","median","global","combined",-0.0139240506329114,0.848
5,"RNN","slope","global","combined",-0.118987341772152,0.13
5,"RNN","range","global","combined",0.639240506329114,0.001
5,"RNN","variance","global","combined",0.634810126582279,0.001
5,"RNN","mean_lower","global","combined",-0.0189873417721519,0.805
5,"RNN","mean_upper","global","combined",-0.0278481012658228,0.74
5,"D_slope","min","global","combined",-0.210759493670886,0.004
5,"D_slope","max","global","combined",0.137974683544304,0.069
5,"D_slope","mean","global","combined",-0.0367088607594937,0.64
5,"D_slope","median","global","combined",0.00316455696202532,0.975
5,"D_slope","slope","global","combined",-0.109493670886076,0.159
5,"D_slope","range","global","combined",0.890506329113924,0.001
5,"D_slope","variance","global","combined",0.968354430379747,0.001
5,"D_slope","mean_lower","global","combined",0.00569620253164557,0.944
5,"D_slope","mean_upper","global","combined",-0.0411392405063291,0.606
5,"RC","min","global","combined",-0.508860759493671,0.001
5,"RC","max","global","combined",-0.177848101265823,0.021
5,"RC","mean","global","combined",-0.343670886075949,0.001
5,"RC","median","global","combined",-0.30253164556962,0.001
5,"RC","slope","global","combined",-0.137974683544304,0.091
5,"RC","range","global","combined",0.626582278481013,0.001
5,"RC","variance","global","combined",0.682911392405063,0.001
5,"RC","mean_lower","global","combined",-0.281012658227848,0.001
5,"RC","mean_upper","global","combined",-0.358227848101266,0.001
5,"gPi","min","global","combined",-0.518987341772152,0.001
5,"gPi","max","global","combined",-0.171518987341772,0.028
5,"gPi","mean","global","combined",-0.34620253164557,0.001
5,"gPi","median","global","combined",-0.30506329113924,0.001
5,"gPi","slope","global","combined",-0.112658227848101,0.148
5,"gPi","range","global","combined",0.645569620253165,0.001
5,"gPi","variance","global","combined",0.684177215189873,0.001
5,"gPi","mean_lower","global","combined",-0.29493670886076,0.001
5,"gPi","mean_upper","global","combined",-0.348101265822785,0.001
5,"PPF","min","global","combined",-0.508860759493671,0.001
5,"PPF","max","global","combined",-0.15506329113924,0.045
5,"PPF","mean","global","combined",-0.337341772151899,0.001
5,"PPF","median","global","combined",-0.3,0.001
5,"PPF","slope","global","combined",-0.059493670886076,0.426
5,"PPF","range","global","combined",0.669620253164557,0.001
5,"PPF","variance","global","combined",0.687974683544304,0.001
5,"PPF","mean_lower","global","combined",-0.3,0.001
5,"PPF","mean_upper","global","combined",-0.316455696202532,0.001
5,"PPi","min","global","combined",-0.506329113924051,0.001
5,"PPi","max","global","combined",-0.139873417721519,0.066
5,"PPi","mean","global","combined",-0.327215189873418,0.001
5,"PPi","median","global","combined",-0.29493670886076,0.001
5,"PPi","slope","global","combined",-0.0392405063291139,0.604
5,"PPi","range","global","combined",0.69493670886076,0.001
5,"PPi","variance","global","combined",0.668987341772152,0.001
5,"PPi","mean_lower","global","combined",-0.30126582278481,0.001
5,"PPi","mean_upper","global","combined",-0.3,0.001
5,"PImd","min","global","combined",-0.506329113924051,0.001
5,"PImd","max","global","combined",-0.139873417721519,0.07
5,"PImd","mean","global","combined",-0.327215189873418,0.001
5,"PImd","median","global","combined",-0.29493670886076,0.001
5,"PImd","slope","global","combined",-0.0392405063291139,0.616
5,"PImd","range","global","combined",0.69493670886076,0.001
5,"PImd","variance","global","combined",0.668987341772152,0.001
5,"PImd","mean_lower","global","combined",-0.30126582278481,0.001
