"resolution","score","stat","analysis","genotype_form","correlation","p_value"
10,"CV_t","min","global","combined",-0.374050632911392,0.001
10,"CV_t","max","global","combined",-0.19746835443038,0.007
10,"CV_t","mean","global","combined",-0.281645569620253,0.001
10,"CV_t","median","global","combined",-0.278481012658228,0.001
10,"CV_t","slope","global","combined",0.257594936708861,0.003
10,"CV_t","range","global","combined",0.708860759493671,0.001
10,"CV_t","variance","global","combined",0.709493670886076,0.001
10,"CV_t","mean_lower","global","combined",-0.324683544303797,0.001
10,"CV_t","mean_upper","global","combined",-0.25253164556962,0.003
10,"RN","min","global","combined",-0.020253164556962,0.793
10,"RN","max","global","combined",0.0778481012658228,0.332
10,"RN","mean","global","combined",0.0481012658227848,0.538
10,"RN","median","global","combined",0.0677215189873418,0.37
10,"RN","slope","global","combined",1,0.001
10,"RN","range","global","combined",0.34873417721519,0.001
10,"RN","variance","global","combined",0.365822784810127,0.001
10,"RN","mean_lower","global","combined",-0.0316455696202532,0.673
10,"RN","mean_upper","global","combined",0.124050632911392,0.109
10,"RNN","min","global","combined",0.115189873417722,0.13
10,"RNN","max","global","combined",0.123417721518987,0.113
10,"RNN","mean","global","combined",0.117721518987342,0.124
10,"RNN","median","global","combined",0.113291139240506,0.125
10,"RNN","slope","global","combined",0.0430379746835443,0.573
10,"RNN","range","global","combined",0.133544303797468,0.092
10,"RNN","variance","global","combined",0.155696202531646,0.046
10,"RNN","mean_lower","global","combined",0.112658227848101,0.131
10,"RNN","mean_upper","global","combined",0.108860759493671,0.144
10,"D_slope","min","global","combined",-0.0879746835443038,0.259
10,"D_slope","max","global","combined",0.089873417721519,0.244
10,"D_slope","mean","global","combined",0.00443037974683544,0.956
10,"D_slope","median","global","combined",0.00759493670886076,0.922
10,"D_slope","slope","global","combined",0.34873417721519,0.001
10,"D_slope","range","global","combined",1,0.001
10,"D_slope","variance","global","combined",0.962658227848101,0.001
10,"D_slope","mean_lower","global","combined",-0.0386075949367089,0.62
10,"D_slope","mean_upper","global","combined",0.029746835443038,0.71
10,"RC","min","global","combined",-0.368354430379747,0.001
10,"RC","max","global","combined",-0.191772151898734,0.014
10,"RC","mean","global","combined",-0.275949367088608,0.001
10,"RC","median","global","combined",-0.271518987341772,0.001
10,"RC","slope","global","combined",0.263291139240506,0.001
10,"RC","range","global","combined",0.709493670886076,0.001
10,"RC","variance","global","combined",0.713924050632911,0.001
10,"RC","mean_lower","global","combined",-0.320253164556962,0.001
10,"RC","mean_upper","global","combined",-0.244303797468354,0.001
10,"gPi","min","global","combined",-0.374050632911392,0.001
10,"gPi","max","global","combined",-0.19746835443038,0.009
10,"gPi","mean","global","combined",-0.281645569620253,0.002
10,"gPi","median","global","combined",-0.278481012658228,0.001
10,"gPi","slope","global","combined",0.257594936708861,0.001
10,"gPi","range","global","combined",0.708860759493671,0.001
10,"gPi","variance","global","combined",0.709493670886076,0.001
10,"gPi","mean_lower","global","combined",-0.324683544303797,0.001
10,"gPi","mean_upper","global","combined",-0.25253164556962,0.001
10,"PPF","min","global","combined",-0.363291139240506,0.001
10,"PPF","max","global","combined",-0.186708860759494,0.013
10,"PPF","mean","global","combined",-0.269620253164557,0.003
10,"PPF","median","global","combined",-0.263924050632911,0.001
10,"PPF","slope","global","combined",0.291139240506329,0.001
10,"PPF","range","global","combined",0.715822784810127,0.001
10,"PPF","variance","global","combined",0.718987341772152,0.001
10,"PPF","mean_lower","global","combined",-0.317721518987342,0.002
10,"PPF","mean_upper","global","combined",-0.236708860759494,0.004
10,"PPi","min","global","combined",-0.383544303797468,0.001
10,"PPi","max","global","combined",-0.205696202531646,0.007
10,"PPi","mean","global","combined",-0.291139240506329,0.001
10,"PPi","median","global","combined",-0.286708860759494,0.001
10,"PPi","slope","global","combined",0.256962025316456,0.003
10,"PPi","range","global","combined",0.704430379746835,0.001
10,"PPi","variance","global","combined",0.69873417721519,0.001
10,"PPi","mean_lower","global","combined",-0.334177215189873,0.001
10,"PPi","mean_upper","global","combined",-0.263291139240506,0.002
10,"PImd","min","global","combined",-0.383544303797468,0.001
10,"PImd","max","global","combined",-0.205696202531646,0.007
10,"PImd","mean","global","combined",-0.291139240506329,0.001
10,"PImd","median","global","combined",-0.286708860759494,0.001
10,"PImd","slope","global","combined",0.256962025316456,0.003
10,"PImd","range","global","combined",0.704430379746835,0.001
10,"PImd","variance","global","combined",0.69873417721519,0.001
10,"PImd","mean_lower","global","combined",-0.334177215189873,0.001
10,"PImd","mean_upper","global","combined",-0.263291139240506,0.001
10,"PILSM","min","global","combined",-0.383544303797468,0.001
10,"PILSM","max","global","combined",-0.205696202531646,0.004
10,"PILSM","mean","global","combined",-0.291139240506329,0.001
10,"PILSM","median","global","combined",-0.286708860759494,0.001
10,"PILSM","slope","global","combined",0.256962025316456,0.001
10,"PILSM","range","global","combined",0.704430379746835,0.001
10,"PILSM","variance","global","combined",0.69873417721519,0.001
10,"PILSM","mean_lower","global","combined",-0.334177215189873,0.001
10,"PILSM","mean_upper","global","combined",-0.263291139240506,0.001
10,"RTR","min","global","combined",-0.120253164556962,0.1
10,"RTR","max","global","combined",-0.0170886075949367,0.814
10,"RTR","mean","global","combined",-0.0518987341772152,0.517
10,"RTR","median","global","combined",-0.0322784810126582,0.678
10,"RTR","slope","global","combined",0.834177215189873,0.001
10,"RTR","range","global","combined",0.341139240506329,0.001
10,"RTR","variance","global","combined",0.350632911392405,0.001
10,"RTR","mean_lower","global","combined",-0.130379746835443,0.092
10,"RTR","mean_upper","global","combined",0.0240506329113924,0.75
10,"PIR","min","global","combined",-0.386708860759494,0.001
10,"PIR","max","global","combined",-0.208860759493671,0.008
10,"PIR","mean","global","combined",-0.294303797468354,0.001
10,"PIR","median","global","combined",-0.289873417721519,0.001
10,"PIR","slope","global","combined",0.239873417721519,0.004
10,"PIR","range","global","combined",0.69493670886076,0.001
10,"PIR","variance","global","combined",0.681645569620253,0.001
10,"PIR","mean_lower","global","combined",-0.337341772151899,0.001
10,"PIR","mean_upper","global","combined",-0.268987341772152,0.002
10,"RDPI","min","global","combined",-0.376582278481013,0.001
10,"RDPI","max","global","combined",-0.19873417721519,0.008
10,"RDPI","mean","global","combined",-0.284177215189873,0.001
10,"RDPI","median","global","combined",-0.279746835443038,0.001
10,"RDPI","slope","global","combined",0.261392405063291,0.001
10,"RDPI","range","global","combined",0.710126582278481,0.001
10,"RDPI","variance","global","combined",0.706962025316456,0.001
10,"RDPI","mean_lower","global","combined",-0.327215189873418,0.001
10,"RDPI","mean_upper","global","combined",-0.255063291139241,0.002
10,"ESPI","min","global","combined",-0.0879746835443038,0.257
10,"ESPI","max","global","combined",0.089873417721519,0.239
10,"ESPI","mean","global","combined",0.00443037974683544,0.959
10,"ESPI","median","global","combined",0.00759493670886076,0.917
10,"ESPI","slope","global","combined",0.34873417721519,0.001
10,"ESPI","range","global","combined",1,0.001
10,"ESPI","variance","global","combined",0.962658227848101,0.001
10,"ESPI","mean_lower","global","combined",-0.0386075949367089,0.593
10,"ESPI","mean_upper","global","combined",0.029746835443038,0.692
10,"ESPIID","min","global","combined",-0.0873417721518987,0.25
10,"ESPIID","max","global","combined",0.0879746835443038,0.243
10,"ESPIID","mean","global","combined",-0.00126582278481013,0.988
10,"ESPIID","median","global","combined",0.00189873417721519,0.982
10,"ESPIID","slope","global","combined",0.307594936708861,0.001
10,"ESPIID","range","global","combined",0.893037974683544,0.001
10,"ESPIID","variance","global","combined",0.90126582278481,0.001
10,"ESPIID","mean_lower","global","combined",-0.0354430379746835,0.645
10,"ESPIID","mean_upper","global","combined",0.0189873417721519,0.82
10,"PSI","min","global","combined",0.0544303797468354,0.453
10,"PSI","max","global","combined",-0.0575949367088608,0.444
10,"PSI","mean","global","combined",-0.0189873417721519,0.821
10,"PSI","median","global","combined",-0.0360759493670886,0.651
10,"PSI","slope","global","combined",-0.621518987341772,0.001
10,"PSI","range","global","combined",-0.531012658227848,0.001
10,"PSI","variance","global","combined",-0.530379746835443,0.001
10,"PSI","mean_lower","global","combined",0.0392405063291139,0.631
10,"PSI","mean_upper","global","combined",-0.0683544303797468,0.381
10,"RPI","min","global","combined",-0.376582278481013,0.001
10,"RPI","max","global","combined",-0.19873417721519,0.011
10,"RPI","mean","global","combined",-0.284177215189873,0.001
10,"RPI","median","global","combined",-0.279746835443038,0.001
10,"RPI","slope","global","combined",0.261392405063291,0.002
10,"RPI","range","global","combined",0.710126582278481,0.001
10,"RPI","variance","global","combined",0.706962025316456,0.001
10,"RPI","mean_lower","global","combined",-0.327215189873418,0.001
10,"RPI","mean_upper","global","combined",-0.255063291139241,0.002
10,"PQ","min","global","combined",-0.0879746835443038,0.255
10,"PQ","max","global","combined",0.089873417721519,0.255
10,"PQ","mean","global","combined",0.00443037974683544,0.97
10,"PQ","median","global","combined",0.00759493670886076,0.918
10,"PQ","slope","global","combined",0.34873417721519,0.001
10,"PQ","range","global","combined",1,0.001
10,"PQ","variance","global","combined",0.962658227848101,0.001
10,"PQ","mean_lower","global","combined",-0.0386075949367089,0.621
10,"PQ","mean_upper","global","combined",0.029746835443038,0.699
10,"PR","min","global","combined",-0.0879746835443038,0.254
10,"PR","max","global","combined",0.089873417721519,0.208
10,"PR","mean","global","combined",0.00443037974683544,0.949
10,"PR","median","global","combined",0.00759493670886076,0.92
10,"PR","slope","global","combined",0.34873417721519,0.001
10,"PR","range","global","combined",1,0.001
10,"PR","variance","global","combined",0.962658227848101,0.001
10,"PR","mean_lower","global","combined",-0.0386075949367089,0.619
10,"PR","mean_upper","global","combined",0.029746835443038,0.715
10,"NRW","min","global","combined",-0.0879746835443038,0.24
10,"NRW","max","global","combined",0.089873417721519,0.245
10,"NRW","mean","global","combined",0.00443037974683544,0.955
10,"NRW","median","global","combined",0.00759493670886076,0.927
10,"NRW","slope","global","combined",0.34873417721519,0.001
10,"NRW","range","global","combined",1,0.001
10,"NRW","variance","global","combined",0.962658227848101,0.001
10,"NRW","mean_lower","global","combined",-0.0386075949367089,0.631
10,"NRW","mean_upper","global","combined",0.029746835443038,0.717
10,"ESP","min","global","combined",-0.368354430379747,0.001
10,"ESP","max","global","combined",-0.191772151898734,0.014
10,"ESP","mean","global","combined",-0.275949367088608,0.002
10,"ESP","median","global","combined",-0.271518987341772,0.001
10,"ESP","slope","global","combined",0.263291139240506,0.001
10,"ESP","range","global","combined",0.709493670886076,0.001
10,"ESP","variance","global","combined",0.713924050632911,0.001
10,"ESP","mean_lower","global","combined",-0.320253164556962,0.002
10,"ESP","mean_upper","global","combined",-0.244303797468354,0.002
10,"CEV","min","global","combined",-0.374050632911392,0.001
10,"CEV","max","global","combined",-0.19746835443038,0.008
10,"CEV","mean","global","combined",-0.281645569620253,0.001
10,"CEV","median","global","combined",-0.278481012658228,0.001
10,"CEV","slope","global","combined",0.257594936708861,0.002
10,"CEV","range","global","combined",0.708860759493671,0.001
10,"CEV","variance","global","combined",0.709493670886076,0.001
10,"CEV","mean_lower","global","combined",-0.324683544303797,0.001
10,"CEV","mean_upper","global","combined",-0.25253164556962,0.003
10,"PFI","min","global","combined",-0.381645569620253,0.001
10,"PFI","max","global","combined",-0.20379746835443,0.009
10,"PFI","mean","global","combined",-0.289240506329114,0.001
10,"PFI","median","global","combined",-0.284810126582278,0.001
10,"PFI","slope","global","combined",0.255063291139241,0.001
10,"PFI","range","global","combined",0.70506329113924,0.001
10,"PFI","variance","global","combined",0.700632911392405,0.001
10,"PFI","mean_lower","global","combined",-0.332278481012658,0.001
10,"PFI","mean_upper","global","combined",-0.261392405063291,0.001
10,"APC","min","global","combined",-0.0531645569620253,0.501
10,"APC","max","global","combined",0.0968354430379747,0.187
10,"APC","mean","global","combined",0.0113924050632911,0.878
10,"APC","median","global","combined",0.000632911392405063,0.998
10,"APC","slope","global","combined",0.170886075949367,0.028
10,"APC","range","global","combined",0.725949367088608,0.001
10,"APC","variance","global","combined",0.720253164556962,0.001
10,"APC","mean_lower","global","combined",0.00253164556962025,0.979
10,"APC","mean_upper","global","combined",0,1
10,"SI","min","global","combined",-0.255696202531646,0.001
10,"SI","max","global","combined",-0.0791139240506329,0.285
10,"SI","mean","global","combined",-0.163291139240506,0.034
10,"SI","median","global","combined",-0.160126582278481,0.035
10,"SI","slope","global","combined",0.29493670886076,0.001
10,"SI","range","global","combined",0.825949367088608,0.001
10,"SI","variance","global","combined",0.827848101265823,0.001
10,"SI","mean_lower","global","combined",-0.207594936708861,0.006
10,"SI","mean_upper","global","combined",-0.135443037974684,0.078
10,"RSI","min","global","combined",0.374050632911392,0.001
10,"RSI","max","global","combined",0.19746835443038,0.015
10,"RSI","mean","global","combined",0.281645569620253,0.001
10,"RSI","median","global","combined",0.278481012658228,0.002
10,"RSI","slope","global","combined",-0.257594936708861,0.001
10,"RSI","range","global","combined",-0.708860759493671,0.001
