"resolution","score","stat","analysis","genotype_form","correlation","p_value"
1,"CV_t","min","global","combined",-0.422151898734177,0.001
1,"CV_t","max","global","combined",-0.160759493670886,0.024
1,"CV_t","mean","global","combined",-0.296835443037975,0.001
1,"CV_t","median","global","combined",-0.294303797468354,0.001
1,"CV_t","slope","global","combined",-0.167721518987342,0.027
1,"CV_t","range","global","combined",0.75126582278481,0.001
1,"CV_t","variance","global","combined",0.761392405063291,0.001
1,"CV_t","mean_lower","global","combined",-0.274050632911392,0.003
1,"CV_t","mean_upper","global","combined",-0.324050632911392,0.001
1,"RN","min","global","combined",0.20126582278481,0.012
1,"RN","max","global","combined",0.0651898734177215,0.408
1,"RN","mean","global","combined",0.136708860759494,0.087
1,"RN","median","global","combined",0.127848101265823,0.094
1,"RN","slope","global","combined",1,0.001
1,"RN","range","global","combined",-0.183544303797468,0.025
1,"RN","variance","global","combined",-0.140506329113924,0.088
1,"RN","mean_lower","global","combined",0.0392405063291139,0.615
1,"RN","mean_upper","global","combined",0.242405063291139,0.005
1,"RNN","min","global","combined",-0.112658227848101,0.133
1,"RNN","max","global","combined",0.0727848101265823,0.332
1,"RNN","mean","global","combined",-0.0139240506329114,0.87
1,"RNN","median","global","combined",-0.00253164556962025,0.979
1,"RNN","slope","global","combined",-0.444303797468354,0.001
1,"RNN","range","global","combined",0.606329113924051,0.001
1,"RNN","variance","global","combined",0.572151898734177,0.001
1,"RNN","mean_lower","global","combined",0.0544303797468354,0.495
1,"RNN","mean_upper","global","combined",-0.0943037974683544,0.208
1,"D_slope","min","global","combined",-0.182278481012658,0.015
1,"D_slope","max","global","combined",0.0791139240506329,0.302
1,"D_slope","mean","global","combined",-0.0556962025316456,0.474
1,"D_slope","median","global","combined",-0.0531645569620253,0.478
1,"D_slope","slope","global","combined",-0.146835443037975,0.059
1,"D_slope","range","global","combined",0.960759493670886,0.001
1,"D_slope","variance","global","combined",0.984810126582279,0.001
1,"D_slope","mean_lower","global","combined",-0.0329113924050633,0.658
1,"D_slope","mean_upper","global","combined",-0.0879746835443038,0.251
1,"RC","min","global","combined",-0.419620253164557,0.001
1,"RC","max","global","combined",-0.159493670886076,0.036
1,"RC","mean","global","combined",-0.295569620253165,0.001
1,"RC","median","global","combined",-0.293037974683544,0.001
1,"RC","slope","global","combined",-0.160126582278481,0.035
1,"RC","range","global","combined",0.75126582278481,0.001
1,"RC","variance","global","combined",0.762658227848101,0.001
1,"RC","mean_lower","global","combined",-0.272784810126582,0.002
1,"RC","mean_upper","global","combined",-0.318987341772152,0.001
1,"gPi","min","global","combined",-0.422151898734177,0.001
1,"gPi","max","global","combined",-0.160759493670886,0.041
1,"gPi","mean","global","combined",-0.296835443037975,0.002
1,"gPi","median","global","combined",-0.294303797468354,0.001
1,"gPi","slope","global","combined",-0.167721518987342,0.026
1,"gPi","range","global","combined",0.75126582278481,0.001
1,"gPi","variance","global","combined",0.761392405063291,0.001
1,"gPi","mean_lower","global","combined",-0.274050632911392,0.001
1,"gPi","mean_upper","global","combined",-0.324050632911392,0.001
1,"PPF","min","global","combined",-0.422151898734177,0.001
1,"PPF","max","global","combined",-0.160759493670886,0.03
1,"PPF","mean","global","combined",-0.296835443037975,0.002
1,"PPF","median","global","combined",-0.294303797468354,0.001
1,"PPF","slope","global","combined",-0.14873417721519,0.043
1,"PPF","range","global","combined",0.74620253164557,0.001
1,"PPF","variance","global","combined",0.760126582278481,0.001
1,"PPF","mean_lower","global","combined",-0.276582278481013,0.002
1,"PPF","mean_upper","global","combined",-0.321518987341772,0.001
1,"PPi","min","global","combined",-0.433544303797468,0.001
1,"PPi","max","global","combined",-0.169620253164557,0.032
1,"PPi","mean","global","combined",-0.305696202531646,0.001
1,"PPi","median","global","combined",-0.301898734177215,0.001
1,"PPi","slope","global","combined",-0.203164556962025,0.014
1,"PPi","range","global","combined",0.75126582278481,0.001
1,"PPi","variance","global","combined",0.741139240506329,0.001
1,"PPi","mean_lower","global","combined",-0.280379746835443,0.001
1,"PPi","mean_upper","global","combined",-0.340506329113924,0.001
1,"PImd","min","global","combined",-0.433544303797468,0.001
1,"PImd","max","global","combined",-0.169620253164557,0.026
1,"PImd","mean","global","combined",-0.305696202531646,0.001
1,"PImd","median","global","combined",-0.301898734177215,0.001
1,"PImd","slope","global","combined",-0.203164556962025,0.008
1,"PImd","range","global","combined",0.75126582278481,0.001
1,"PImd","variance","global","combined",0.741139240506329,0.001
1,"PImd","mean_lower","global","combined",-0.280379746835443,0.001
1,"PImd","mean_upper","global","combined",-0.340506329113924,0.001
1,"PILSM","min","global","combined",-0.433544303797468,0.001
1,"PILSM","max","global","combined",-0.169620253164557,0.028
1,"PILSM","mean","global","combined",-0.305696202531646,0.001
1,"PILSM","median","global","combined",-0.301898734177215,0.001
1,"PILSM","slope","global","combined",-0.203164556962025,0.006
1,"PILSM","range","global","combined",0.75126582278481,0.001
1,"PILSM","variance","global","combined",0.741139240506329,0.001
1,"PILSM","mean_lower","global","combined",-0.280379746835443,0.001
1,"PILSM","mean_upper","global","combined",-0.340506329113924,0.001
1,"RTR","min","global","combined",0.190506329113924,0.015
1,"RTR","max","global","combined",0.0746835443037975,0.317
1,"RTR","mean","global","combined",0.134810126582278,0.079
1,"RTR","median","global","combined",0.127215189873418,0.084
1,"RTR","slope","global","combined",0.85253164556962,0.001
1,"RTR","range","global","combined",-0.14493670886076,0.056
1,"RTR","variance","global","combined",-0.109493670886076,0.166
1,"RTR","mean_lower","global","combined",0.0436708860759494,0.567
1,"RTR","mean_upper","global","combined",0.236708860759494,0.006
1,"PIR","min","global","combined",-0.432278481012658,0.001
1,"PIR","max","global","combined",-0.168354430379747,0.022
1,"PIR","mean","global","combined",-0.304430379746835,0.001
1,"PIR","median","global","combined",-0.300632911392405,0.001
1,"PIR","slope","global","combined",-0.194303797468354,0.013
1,"PIR","range","global","combined",0.75,0.001
1,"PIR","variance","global","combined",0.737341772151899,0.001
1,"PIR","mean_lower","global","combined",-0.280379746835443,0.001
1,"PIR","mean_upper","global","combined",-0.336708860759494,0.001
1,"RDPI","min","global","combined",-0.424050632911392,0.001
1,"RDPI","max","global","combined",-0.162658227848101,0.042
1,"RDPI","mean","global","combined",-0.29873417721519,0.001
1,"RDPI","median","global","combined",-0.29620253164557,0.001
1,"RDPI","slope","global","combined",-0.167088607594937,0.023
1,"RDPI","range","global","combined",0.750632911392405,0.001
1,"RDPI","variance","global","combined",0.759493670886076,0.001
1,"RDPI","mean_lower","global","combined",-0.275949367088608,0.002
1,"RDPI","mean_upper","global","combined",-0.324683544303797,0.001
1,"ESPI","min","global","combined",-0.184810126582278,0.012
1,"ESPI","max","global","combined",0.0791139240506329,0.301
1,"ESPI","mean","global","combined",-0.0569620253164557,0.464
1,"ESPI","median","global","combined",-0.0531645569620253,0.488
1,"ESPI","slope","global","combined",-0.183544303797468,0.014
1,"ESPI","range","global","combined",1,0.001
1,"ESPI","variance","global","combined",0.945569620253165,0.001
1,"ESPI","mean_lower","global","combined",-0.0316455696202532,0.655
1,"ESPI","mean_upper","global","combined",-0.0930379746835443,0.217
1,"ESPIID","min","global","combined",-0.175949367088608,0.028
1,"ESPIID","max","global","combined",0.0854430379746835,0.256
1,"ESPIID","mean","global","combined",-0.0481012658227848,0.555
1,"ESPIID","median","global","combined",-0.0455696202531646,0.552
1,"ESPIID","slope","global","combined",-0.188607594936709,0.014
1,"ESPIID","range","global","combined",0.916455696202532,0.001
1,"ESPIID","variance","global","combined",0.918987341772152,0.001
1,"ESPIID","mean_lower","global","combined",-0.0189873417721519,0.805
1,"ESPIID","mean_upper","global","combined",-0.0879746835443038,0.278
1,"PSI","min","global","combined",0.134810126582278,0.079
1,"PSI","max","global","combined",-0.0544303797468354,0.45
1,"PSI","mean","global","combined",0.0474683544303797,0.547
1,"PSI","median","global","combined",0.0512658227848101,0.492
1,"PSI","slope","global","combined",-0.0664556962025316,0.378
1,"PSI","range","global","combined",-0.605696202531646,0.001
1,"PSI","variance","global","combined",-0.641139240506329,0.001
1,"PSI","mean_lower","global","combined",0.070253164556962,0.395
1,"PSI","mean_upper","global","combined",0.0341772151898734,0.682
1,"RPI","min","global","combined",-0.424050632911392,0.001
1,"RPI","max","global","combined",-0.162658227848101,0.032
1,"RPI","mean","global","combined",-0.29873417721519,0.001
1,"RPI","median","global","combined",-0.29620253164557,0.001
1,"RPI","slope","global","combined",-0.167088607594937,0.03
