"resolution","score","stat","analysis","genotype_form","correlation","p_value"
49,"CV_t","min","global","combined",-0.267088607594937,0.001
49,"CV_t","max","global","combined",-0.0778481012658228,0.32
49,"CV_t","mean","global","combined",-0.156329113924051,0.049
49,"CV_t","median","global","combined",-0.156329113924051,0.041
49,"CV_t","slope","global","combined",0.519620253164557,0.001
49,"CV_t","range","global","combined",0.80253164556962,0.001
49,"CV_t","variance","global","combined",0.80253164556962,0.001
49,"CV_t","mean_lower","global","combined",-0.257594936708861,0.002
49,"CV_t","mean_upper","global","combined",-0.0943037974683544,0.219
49,"RN","min","global","combined",-0.00569620253164557,0.946
49,"RN","max","global","combined",0.148101265822785,0.041
49,"RN","mean","global","combined",0.0835443037974684,0.274
49,"RN","median","global","combined",0.0835443037974684,0.297
49,"RN","slope","global","combined",1,0.001
49,"RN","range","global","combined",0.631012658227848,0.001
49,"RN","variance","global","combined",0.631012658227848,0.001
49,"RN","mean_lower","global","combined",-0.0430379746835443,0.592
49,"RN","mean_upper","global","combined",0.189873417721519,0.018
49,"RNN","min","global","combined",NA,NA
49,"RNN","max","global","combined",NA,NA
49,"RNN","mean","global","combined",NA,NA
49,"RNN","median","global","combined",NA,NA
49,"RNN","slope","global","combined",NA,NA
49,"RNN","range","global","combined",NA,NA
49,"RNN","variance","global","combined",NA,NA
49,"RNN","mean_lower","global","combined",NA,NA
49,"RNN","mean_upper","global","combined",NA,NA
49,"D_slope","min","global","combined",-0.069620253164557,0.366
49,"D_slope","max","global","combined",0.119620253164557,0.123
49,"D_slope","mean","global","combined",0.0411392405063291,0.613
49,"D_slope","median","global","combined",0.0411392405063291,0.618
49,"D_slope","slope","global","combined",0.631012658227848,0.001
49,"D_slope","range","global","combined",1,0.001
49,"D_slope","variance","global","combined",1,0.001
49,"D_slope","mean_lower","global","combined",-0.0626582278481013,0.389
49,"D_slope","mean_upper","global","combined",0.101898734177215,0.163
49,"RC","min","global","combined",-0.267088607594937,0.001
49,"RC","max","global","combined",-0.0778481012658228,0.327
49,"RC","mean","global","combined",-0.156329113924051,0.045
49,"RC","median","global","combined",-0.156329113924051,0.041
49,"RC","slope","global","combined",0.519620253164557,0.001
49,"RC","range","global","combined",0.80253164556962,0.001
49,"RC","variance","global","combined",0.80253164556962,0.001
49,"RC","mean_lower","global","combined",-0.257594936708861,0.002
49,"RC","mean_upper","global","combined",-0.0943037974683544,0.256
49,"gPi","min","global","combined",-0.267088607594937,0.002
49,"gPi","max","global","combined",-0.0778481012658228,0.299
49,"gPi","mean","global","combined",-0.156329113924051,0.04
49,"gPi","median","global","combined",-0.156329113924051,0.046
49,"gPi","slope","global","combined",0.519620253164557,0.001
49,"gPi","range","global","combined",0.80253164556962,0.001
49,"gPi","variance","global","combined",0.80253164556962,0.001
49,"gPi","mean_lower","global","combined",-0.257594936708861,0.002
49,"gPi","mean_upper","global","combined",-0.0943037974683544,0.239
49,"PPF","min","global","combined",-0.262025316455696,0.002
49,"PPF","max","global","combined",-0.0727848101265823,0.362
49,"PPF","mean","global","combined",-0.15126582278481,0.036
49,"PPF","median","global","combined",-0.15126582278481,0.048
49,"PPF","slope","global","combined",0.527215189873418,0.001
49,"PPF","range","global","combined",0.80506329113924,0.001
49,"PPF","variance","global","combined",0.80506329113924,0.001
49,"PPF","mean_lower","global","combined",-0.257594936708861,0.003
49,"PPF","mean_upper","global","combined",-0.0867088607594937,0.245
49,"PPi","min","global","combined",-0.267088607594937,0.002
49,"PPi","max","global","combined",-0.0778481012658228,0.301
49,"PPi","mean","global","combined",-0.156329113924051,0.052
49,"PPi","median","global","combined",-0.156329113924051,0.039
49,"PPi","slope","global","combined",0.519620253164557,0.001
49,"PPi","range","global","combined",0.80253164556962,0.001
49,"PPi","variance","global","combined",0.80253164556962,0.001
49,"PPi","mean_lower","global","combined",-0.257594936708861,0.001
49,"PPi","mean_upper","global","combined",-0.0943037974683544,0.229
49,"PImd","min","global","combined",-0.267088607594937,0.001
49,"PImd","max","global","combined",-0.0778481012658228,0.334
49,"PImd","mean","global","combined",-0.156329113924051,0.039
49,"PImd","median","global","combined",-0.156329113924051,0.033
49,"PImd","slope","global","combined",0.519620253164557,0.001
49,"PImd","range","global","combined",0.80253164556962,0.001
49,"PImd","variance","global","combined",0.80253164556962,0.001
49,"PImd","mean_lower","global","combined",-0.257594936708861,0.001
49,"PImd","mean_upper","global","combined",-0.0943037974683544,0.216
49,"PILSM","min","global","combined",-0.267088607594937,0.001
49,"PILSM","max","global","combined",-0.0778481012658228,0.323
49,"PILSM","mean","global","combined",-0.156329113924051,0.039
49,"PILSM","median","global","combined",-0.156329113924051,0.048
49,"PILSM","slope","global","combined",0.519620253164557,0.001
49,"PILSM","range","global","combined",0.80253164556962,0.001
49,"PILSM","variance","global","combined",0.80253164556962,0.001
49,"PILSM","mean_lower","global","combined",-0.257594936708861,0.003
49,"PILSM","mean_upper","global","combined",-0.0943037974683544,0.216
49,"RTR","min","global","combined",-0.104430379746835,0.185
49,"RTR","max","global","combined",0.0493670886075949,0.515
49,"RTR","mean","global","combined",-0.0151898734177215,0.841
49,"RTR","median","global","combined",-0.0151898734177215,0.853
49,"RTR","slope","global","combined",0.846835443037975,0.001
49,"RTR","range","global","combined",0.532278481012658,0.001
49,"RTR","variance","global","combined",0.532278481012658,0.001
49,"RTR","mean_lower","global","combined",-0.141772151898734,0.056
49,"RTR","mean_upper","global","combined",0.0911392405063291,0.22
49,"PIR","min","global","combined",-0.266455696202532,0.001
49,"PIR","max","global","combined",-0.0772151898734177,0.28
49,"PIR","mean","global","combined",-0.155696202531646,0.047
49,"PIR","median","global","combined",-0.155696202531646,0.035
49,"PIR","slope","global","combined",0.506329113924051,0.001
49,"PIR","range","global","combined",0.800632911392405,0.001
49,"PIR","variance","global","combined",0.800632911392405,0.001
49,"PIR","mean_lower","global","combined",-0.255696202531646,0.002
49,"PIR","mean_upper","global","combined",-0.0974683544303798,0.206
49,"RDPI","min","global","combined",-0.267088607594937,0.002
49,"RDPI","max","global","combined",-0.0778481012658228,0.3
49,"RDPI","mean","global","combined",-0.156329113924051,0.046
49,"RDPI","median","global","combined",-0.156329113924051,0.038
49,"RDPI","slope","global","combined",0.519620253164557,0.001
49,"RDPI","range","global","combined",0.80253164556962,0.001
49,"RDPI","variance","global","combined",0.80253164556962,0.001
49,"RDPI","mean_lower","global","combined",-0.257594936708861,0.003
49,"RDPI","mean_upper","global","combined",-0.0943037974683544,0.214
49,"ESPI","min","global","combined",-0.069620253164557,0.372
49,"ESPI","max","global","combined",0.119620253164557,0.107
49,"ESPI","mean","global","combined",0.0411392405063291,0.583
49,"ESPI","median","global","combined",0.0411392405063291,0.605
49,"ESPI","slope","global","combined",0.631012658227848,0.001
49,"ESPI","range","global","combined",1,0.001
49,"ESPI","variance","global","combined",1,0.001
49,"ESPI","mean_lower","global","combined",-0.0626582278481013,0.4
49,"ESPI","mean_upper","global","combined",0.101898734177215,0.191
49,"ESPIID","min","global","combined",-0.069620253164557,0.37
49,"ESPIID","max","global","combined",0.119620253164557,0.117
49,"ESPIID","mean","global","combined",0.0411392405063291,0.607
49,"ESPIID","median","global","combined",0.0411392405063291,0.593
49,"ESPIID","slope","global","combined",0.631012658227848,0.001
49,"ESPIID","range","global","combined",1,0.001
49,"ESPIID","variance","global","combined",1,0.001
49,"ESPIID","mean_lower","global","combined",-0.0626582278481013,0.43
49,"ESPIID","mean_upper","global","combined",0.101898734177215,0.16
49,"PSI","min","global","combined",0.069620253164557,0.366
49,"PSI","max","global","combined",-0.119620253164557,0.118
49,"PSI","mean","global","combined",-0.0411392405063291,0.598
49,"PSI","median","global","combined",-0.0411392405063291,0.574
49,"PSI","slope","global","combined",-0.631012658227848,0.001
49,"PSI","range","global","combined",-1,0.001
49,"PSI","variance","global","combined",-1,0.001
49,"PSI","mean_lower","global","combined",0.0626582278481013,0.405
49,"PSI","mean_upper","global","combined",-0.101898734177215,0.167
49,"RPI","min","global","combined",-0.267088607594937,0.001
49,"RPI","max","global","combined",-0.0778481012658228,0.317
49,"RPI","mean","global","combined",-0.156329113924051,0.034
49,"RPI","median","global","combined",-0.156329113924051,0.037
49,"RPI","slope","global","combined",0.519620253164557,0.001
49,"RPI","range","global","combined",0.80253164556962,0.001
49,"RPI","variance","global","combined",0.80253164556962,0.001
49,"RPI","mean_lower","global","combined",-0.257594936708861,0.001
49,"RPI","mean_upper","global","combined",-0.0943037974683544,0.212
49,"PQ","min","global","combined",-0.069620253164557,0.363
49,"PQ","max","global","combined",0.119620253164557,0.126
49,"PQ","mean","global","combined",0.0411392405063291,0.583
49,"PQ","median","global","combined",0.0411392405063291,0.581
49,"PQ","slope","global","combined",0.631012658227848,0.001
49,"PQ","range","global","combined",1,0.001
49,"PQ","variance","global","combined",1,0.001
49,"PQ","mean_lower","global","combined",-0.0626582278481013,0.427
49,"PQ","mean_upper","global","combined",0.101898734177215,0.195
49,"PR","min","global","combined",-0.069620253164557,0.371
49,"PR","max","global","combined",0.119620253164557,0.118
49,"PR","mean","global","combined",0.0411392405063291,0.573
49,"PR","median","global","combined",0.0411392405063291,0.599
49,"PR","slope","global","combined",0.631012658227848,0.001
49,"PR","range","global","combined",1,0.001
49,"PR","variance","global","combined",1,0.001
49,"PR","mean_lower","global","combined",-0.0626582278481013,0.417
49,"PR","mean_upper","global","combined",0.101898734177215,0.196
49,"NRW","min","global","combined",-0.069620253164557,0.347
49,"NRW","max","global","combined",0.119620253164557,0.128
49,"NRW","mean","global","combined",0.0411392405063291,0.605
49,"NRW","median","global","combined",0.0411392405063291,0.599
49,"NRW","slope","global","combined",0.631012658227848,0.001
49,"NRW","range","global","combined",1,0.001
49,"NRW","variance","global","combined",1,0.001
49,"NRW","mean_lower","global","combined",-0.0626582278481013,0.417
49,"NRW","mean_upper","global","combined",0.101898734177215,0.165
49,"ESP","min","global","combined",-0.267088607594937,0.002
49,"ESP","max","global","combined",-0.0778481012658228,0.304
49,"ESP","mean","global","combined",-0.156329113924051,0.047
49,"ESP","median","global","combined",-0.156329113924051,0.045
49,"ESP","slope","global","combined",0.519620253164557,0.001
49,"ESP","range","global","combined",0.80253164556962,0.001
49,"ESP","variance","global","combined",0.80253164556962,0.001
49,"ESP","mean_lower","global","combined",-0.257594936708861,0.003
49,"ESP","mean_upper","global","combined",-0.0943037974683544,0.224
49,"CEV","min","global","combined",-0.267088607594937,0.001
49,"CEV","max","global","combined",-0.0778481012658228,0.327
49,"CEV","mean","global","combined",-0.156329113924051,0.034
49,"CEV","median","global","combined",-0.156329113924051,0.046
49,"CEV","slope","global","combined",0.519620253164557,0.001
49,"CEV","range","global","combined",0.80253164556962,0.001
49,"CEV","variance","global","combined",0.80253164556962,0.001
49,"CEV","mean_lower","global","combined",-0.257594936708861,0.001
49,"CEV","mean_upper","global","combined",-0.0943037974683544,0.21
49,"PFI","min","global","combined",-0.267088607594937,0.002
49,"PFI","max","global","combined",-0.0778481012658228,0.296
49,"PFI","mean","global","combined",-0.156329113924051,0.033
49,"PFI","median","global","combined",-0.156329113924051,0.046
49,"PFI","slope","global","combined",0.519620253164557,0.001
49,"PFI","range","global","combined",0.80253164556962,0.001
49,"PFI","variance","global","combined",0.80253164556962,0.001
49,"PFI","mean_lower","global","combined",-0.257594936708861,0.002
49,"PFI","mean_upper","global","combined",-0.0943037974683544,0.202
49,"APC","min","global","combined",-0.069620253164557,0.365
49,"APC","max","global","combined",0.119620253164557,0.126
49,"APC","mean","global","combined",0.0411392405063291,0.581
49,"APC","median","global","combined",0.0411392405063291,0.611
49,"APC","slope","global","combined",0.631012658227848,0.001
49,"APC","range","global","combined",1,0.001
49,"APC","variance","global","combined",1,0.001
49,"APC","mean_lower","global","combined",-0.0626582278481013,0.411
49,"APC","mean_upper","global","combined",0.101898734177215,0.199
49,"SI","min","global","combined",-0.191772151898734,0.018
49,"SI","max","global","combined",-0.00253164556962025,0.982
49,"SI","mean","global","combined",-0.0810126582278481,0.257
49,"SI","median","global","combined",-0.0810126582278481,0.326
49,"SI","slope","global","combined",0.560759493670886,0.001
49,"SI","range","global","combined",0.877848101265823,0.001
49,"SI","variance","global","combined",0.877848101265823,0.001
49,"SI","mean_lower","global","combined",-0.182278481012658,0.024
49,"SI","mean_upper","global","combined",-0.0189873417721519,0.793
49,"RSI","min","global","combined",0.267088607594937,0.001
49,"RSI","max","global","combined",0.0778481012658228,0.291
49,"RSI","mean","global","combined",0.156329113924051,0.041
49,"RSI","median","global","combined",0.156329113924051,0.041
49,"RSI","slope","global","combined",-0.519620253164557,0.001
49,"RSI","range","global","combined",-0.80253164556962,0.001
49,"RSI","variance","global","combined",-0.80253164556962,0.001
49,"RSI","mean_lower","global","combined",0.257594936708861,0.002
49,"RSI","mean_upper","global","combined",0.0943037974683544,0.223
49,"EVS","min","global","combined",-0.069620253164557,0.374
49,"EVS","max","global","combined",0.119620253164557,0.116
49,"EVS","mean","global","combined",0.0411392405063291,0.561
49,"EVS","median","global","combined",0.0411392405063291,0.59
49,"EVS","slope","global","combined",0.631012658227848,0.001
49,"EVS","range","global","combined",1,0.001
49,"EVS","variance","global","combined",1,0.001
49,"EVS","mean_lower","global","combined",-0.0626582278481013,0.418
49,"EVS","mean_upper","global","combined",0.101898734177215,0.176
49,"CV_t","min","local","linear",-0.252631578947368,0.134
49,"CV_t","max","local","linear",-0.147368421052632,0.359
49,"CV_t","mean","local","linear",-0.2,0.231
49,"CV_t","median","local","linear",-0.2,0.219
49,"CV_t","slope","local","linear",0.147368421052632,0.384
49,"CV_t","range","local","linear",0.631578947368421,0.001
49,"CV_t","variance","local","linear",0.631578947368421,0.001
49,"CV_t","mean_lower","local","linear",-0.210526315789474,0.213
49,"CV_t","mean_upper","local","linear",-0.189473684210526,0.25
49,"CV_t","min","local","gaussian",-0.442105263157895,0.003
49,"CV_t","max","local","gaussian",-0.336842105263158,0.047
49,"CV_t","mean","local","gaussian",-0.368421052631579,0.026
49,"CV_t","median","local","gaussian",-0.368421052631579,0.026
49,"CV_t","slope","local","gaussian",0.589473684210526,0.001
49,"CV_t","range","local","gaussian",0.589473684210526,0.001
49,"CV_t","variance","local","gaussian",0.589473684210526,0.001
49,"CV_t","mean_lower","local","gaussian",-0.442105263157895,0.006
49,"CV_t","mean_upper","local","gaussian",-0.336842105263158,0.051
49,"CV_t","min","local","sinusoidal",-0.421052631578947,0.011
49,"CV_t","max","local","sinusoidal",-0.410526315789474,0.016
49,"CV_t","mean","local","sinusoidal",-0.421052631578947,0.012
49,"CV_t","median","local","sinusoidal",-0.421052631578947,0.009
49,"CV_t","slope","local","sinusoidal",-0.6,0.001
49,"CV_t","range","local","sinusoidal",0.6,0.001
49,"CV_t","variance","local","sinusoidal",0.6,0.001
49,"CV_t","mean_lower","local","sinusoidal",-0.410526315789474,0.019
49,"CV_t","mean_upper","local","sinusoidal",-0.421052631578947,0.014
49,"CV_t","min","local","wave",-0.515789473684211,0.002
49,"CV_t","max","local","wave",-0.410526315789474,0.007
49,"CV_t","mean","local","wave",-0.452631578947368,0.004
49,"CV_t","median","local","wave",-0.452631578947368,0.005
49,"CV_t","slope","local","wave",0.610526315789474,0.001
49,"CV_t","range","local","wave",0.610526315789474,0.002
49,"CV_t","variance","local","wave",0.610526315789474,0.001
49,"CV_t","mean_lower","local","wave",-0.515789473684211,0.003
49,"CV_t","mean_upper","local","wave",-0.410526315789474,0.014
49,"RN","min","local","linear",0.115789473684211,0.511
49,"RN","max","local","linear",0.136842105263158,0.41
49,"RN","mean","local","linear",0.147368421052632,0.385
49,"RN","median","local","linear",0.147368421052632,0.373
49,"RN","slope","local","linear",1,0.001
49,"RN","range","local","linear",0.263157894736842,0.108
49,"RN","variance","local","linear",0.263157894736842,0.114
49,"RN","mean_lower","local","linear",0.0315789473684211,0.87
49,"RN","mean_upper","local","linear",0.221052631578947,0.189
49,"RN","min","local","gaussian",-0.0315789473684211,0.851
49,"RN","max","local","gaussian",0.0736842105263158,0.671
49,"RN","mean","local","gaussian",0.0421052631578947,0.828
49,"RN","median","local","gaussian",0.0421052631578947,0.83
49,"RN","slope","local","gaussian",1,0.001
49,"RN","range","local","gaussian",1,0.001
49,"RN","variance","local","gaussian",1,0.001
49,"RN","mean_lower","local","gaussian",-0.0315789473684211,0.861
49,"RN","mean_upper","local","gaussian",0.0736842105263158,0.667
49,"RN","min","local","sinusoidal",0.0210526315789474,0.922
49,"RN","max","local","sinusoidal",0.0105263157894737,0.977
49,"RN","mean","local","sinusoidal",0.0210526315789474,0.928
49,"RN","median","local","sinusoidal",0.0210526315789474,0.927
49,"RN","slope","local","sinusoidal",1,0.001
49,"RN","range","local","sinusoidal",-1,0.001
49,"RN","variance","local","sinusoidal",-1,0.001
49,"RN","mean_lower","local","sinusoidal",0.0105263157894737,0.972
49,"RN","mean_upper","local","sinusoidal",0.0210526315789474,0.931
49,"RN","min","local","wave",-0.126315789473684,0.444
49,"RN","max","local","wave",-0.0210526315789474,0.915
49,"RN","mean","local","wave",-0.0631578947368421,0.722
49,"RN","median","local","wave",-0.0631578947368421,0.727
49,"RN","slope","local","wave",1,0.001
49,"RN","range","local","wave",1,0.001
49,"RN","variance","local","wave",1,0.001
49,"RN","mean_lower","local","wave",-0.126315789473684,0.466
49,"RN","mean_upper","local","wave",-0.0210526315789474,0.909
49,"RNN","min","local","linear",NA,NA
49,"RNN","max","local","linear",NA,NA
49,"RNN","mean","local","linear",NA,NA
49,"RNN","median","local","linear",NA,NA
49,"RNN","slope","local","linear",NA,NA
49,"RNN","range","local","linear",NA,NA
49,"RNN","variance","local","linear",NA,NA
49,"RNN","mean_lower","local","linear",NA,NA
49,"RNN","mean_upper","local","linear",NA,NA
49,"RNN","min","local","gaussian",NA,NA
49,"RNN","max","local","gaussian",NA,NA
49,"RNN","mean","local","gaussian",NA,NA
49,"RNN","median","local","gaussian",NA,NA
49,"RNN","slope","local","gaussian",NA,NA
49,"RNN","range","local","gaussian",NA,NA
49,"RNN","variance","local","gaussian",NA,NA
