"resolution","score","stat","analysis","genotype_form","correlation","p_value"
5,"CV_t","min","global","combined",-0.440506329113924,0.001
5,"CV_t","max","global","combined",-0.177848101265823,0.017
5,"CV_t","mean","global","combined",-0.288607594936709,0.001
5,"CV_t","median","global","combined",-0.282911392405063,0.001
5,"CV_t","slope","global","combined",-0.137974683544304,0.068
5,"CV_t","range","global","combined",0.736708860759494,0.001
5,"CV_t","variance","global","combined",0.737341772151899,0.001
5,"CV_t","mean_lower","global","combined",-0.292405063291139,0.002
5,"CV_t","mean_upper","global","combined",-0.30253164556962,0.001
5,"RN","min","global","combined",0.187341772151899,0.021
5,"RN","max","global","combined",0.0753164556962025,0.338
5,"RN","mean","global","combined",0.121518987341772,0.124
5,"RN","median","global","combined",0.120886075949367,0.116
5,"RN","slope","global","combined",1,0.001
5,"RN","range","global","combined",-0.130379746835443,0.102
5,"RN","variance","global","combined",-0.0943037974683544,0.258
5,"RN","mean_lower","global","combined",0.0455696202531646,0.563
5,"RN","mean_upper","global","combined",0.218987341772152,0.006
5,"RNN","min","global","combined",-0.143670886075949,0.052
5,"RNN","max","global","combined",0.0645569620253165,0.402
5,"RNN","mean","global","combined",-0.0208860759493671,0.775
5,"RNN","median","global","combined",-0.010126582278481,0.899
5,"RNN","slope","global","combined",-0.312025316455696,0.001
5,"RNN","range","global","combined",0.620886075949367,0.001
5,"RNN","variance","global","combined",0.636708860759494,0.001
5,"RNN","mean_lower","global","combined",0.00949367088607595,0.891
5,"RNN","mean_upper","global","combined",-0.0651898734177215,0.408
5,"D_slope","min","global","combined",-0.174683544303797,0.023
5,"D_slope","max","global","combined",0.0892405063291139,0.251
5,"D_slope","mean","global","combined",-0.0215189873417722,0.782
5,"D_slope","median","global","combined",-0.0158227848101266,0.819
5,"D_slope","slope","global","combined",-0.10126582278481,0.197
5,"D_slope","range","global","combined",0.963291139240506,0.001
5,"D_slope","variance","global","combined",0.985443037974684,0.001
5,"D_slope","mean_lower","global","combined",-0.0265822784810127,0.72
5,"D_slope","mean_upper","global","combined",-0.0379746835443038,0.623
5,"RC","min","global","combined",-0.436708860759494,0.001
5,"RC","max","global","combined",-0.174050632911392,0.025
5,"RC","mean","global","combined",-0.284810126582278,0.001
5,"RC","median","global","combined",-0.279113924050633,0.001
5,"RC","slope","global","combined",-0.126582278481013,0.114
5,"RC","range","global","combined",0.737974683544304,0.001
5,"RC","variance","global","combined",0.741139240506329,0.001
5,"RC","mean_lower","global","combined",-0.288607594936709,0.001
5,"RC","mean_upper","global","combined",-0.293670886075949,0.001
5,"gPi","min","global","combined",-0.440506329113924,0.001
5,"gPi","max","global","combined",-0.177848101265823,0.022
5,"gPi","mean","global","combined",-0.288607594936709,0.002
5,"gPi","median","global","combined",-0.282911392405063,0.001
5,"gPi","slope","global","combined",-0.137974683544304,0.064
5,"gPi","range","global","combined",0.736708860759494,0.001
5,"gPi","variance","global","combined",0.737341772151899,0.001
5,"gPi","mean_lower","global","combined",-0.292405063291139,0.001
5,"gPi","mean_upper","global","combined",-0.30253164556962,0.001
5,"PPF","min","global","combined",-0.437974683544304,0.001
5,"PPF","max","global","combined",-0.175316455696203,0.018
5,"PPF","mean","global","combined",-0.286075949367089,0.002
5,"PPF","median","global","combined",-0.280379746835443,0.001
5,"PPF","slope","global","combined",-0.120253164556962,0.097
5,"PPF","range","global","combined",0.736708860759494,0.001
5,"PPF","variance","global","combined",0.738607594936709,0.001
5,"PPF","mean_lower","global","combined",-0.291139240506329,0.002
5,"PPF","mean_upper","global","combined",-0.29493670886076,0.001
5,"PPi","min","global","combined",-0.434177215189873,0.001
5,"PPi","max","global","combined",-0.168987341772152,0.035
5,"PPi","mean","global","combined",-0.279746835443038,0.001
