"resolution","score","stat","analysis","genotype_form","correlation","p_value"
20,"CV_t","min","global","combined",-0.458860759493671,0.001
20,"CV_t","max","global","combined",-0.305696202531646,0.001
20,"CV_t","mean","global","combined",-0.407594936708861,0.001
20,"CV_t","median","global","combined",-0.462025316455696,0.001
20,"CV_t","slope","global","combined",-0.579746835443038,0.001
20,"CV_t","range","global","combined",0.620886075949367,0.001
20,"CV_t","variance","global","combined",0.632278481012658,0.001
20,"CV_t","mean_lower","global","combined",-0.286708860759494,0.002
20,"CV_t","mean_upper","global","combined",-0.471518987341772,0.001
20,"RN","min","global","combined",0.184177215189873,0.021
20,"RN","max","global","combined",0.0474683544303797,0.515
20,"RN","mean","global","combined",0.146835443037975,0.047
20,"RN","median","global","combined",0.213924050632911,0.001
20,"RN","slope","global","combined",1,0.001
20,"RN","range","global","combined",-0.696835443037975,0.001
20,"RN","variance","global","combined",-0.732278481012658,0.001
20,"RN","mean_lower","global","combined",0.00316455696202532,0.981
20,"RN","mean_upper","global","combined",0.222151898734177,0.004
20,"RNN","min","global","combined",NA,NA
20,"RNN","max","global","combined",NA,NA
20,"RNN","mean","global","combined",NA,NA
20,"RNN","median","global","combined",NA,NA
20,"RNN","slope","global","combined",NA,NA
20,"RNN","range","global","combined",NA,NA
20,"RNN","variance","global","combined",NA,NA
20,"RNN","mean_lower","global","combined",NA,NA
20,"RNN","mean_upper","global","combined",NA,NA
20,"D_slope","min","global","combined",-0.0860759493670886,0.272
20,"D_slope","max","global","combined",0.069620253164557,0.352
20,"D_slope","mean","global","combined",-0.0322784810126582,0.689
20,"D_slope","median","global","combined",-0.0867088607594937,0.267
20,"D_slope","slope","global","combined",-0.696835443037975,0.001
20,"D_slope","range","global","combined",1,0.001
20,"D_slope","variance","global","combined",0.943037974683544,0.001
20,"D_slope","mean_lower","global","combined",0.0772151898734177,0.277
20,"D_slope","mean_upper","global","combined",-0.0962025316455696,0.218
20,"RC","min","global","combined",-0.467088607594937,0.001
20,"RC","max","global","combined",-0.311392405063291,0.001
20,"RC","mean","global","combined",-0.413291139240506,0.001
20,"RC","median","global","combined",-0.466455696202532,0.001
20,"RC","slope","global","combined",-0.543670886075949,0.001
20,"RC","range","global","combined",0.618987341772152,0.001
20,"RC","variance","global","combined",0.618987341772152,0.001
20,"RC","mean_lower","global","combined",-0.29873417721519,0.001
20,"RC","mean_upper","global","combined",-0.474683544303797,0.001
20,"gPi","min","global","combined",-0.458860759493671,0.001
20,"gPi","max","global","combined",-0.305696202531646,0.001
20,"gPi","mean","global","combined",-0.407594936708861,0.001
20,"gPi","median","global","combined",-0.462025316455696,0.001
20,"gPi","slope","global","combined",-0.579746835443038,0.001
20,"gPi","range","global","combined",0.620886075949367,0.001
20,"gPi","variance","global","combined",0.632278481012658,0.001
20,"gPi","mean_lower","global","combined",-0.286708860759494,0.001
20,"gPi","mean_upper","global","combined",-0.471518987341772,0.001
20,"PPF","min","global","combined",-0.458227848101266,0.001
20,"PPF","max","global","combined",-0.30379746835443,0.001
20,"PPF","mean","global","combined",-0.403164556962025,0.001
20,"PPF","median","global","combined",-0.45,0.001
20,"PPF","slope","global","combined",-0.505696202531646,0.001
20,"PPF","range","global","combined",0.624050632911392,0.001
20,"PPF","variance","global","combined",0.618987341772152,0.001
20,"PPF","mean_lower","global","combined",-0.29873417721519,0.001
20,"PPF","mean_upper","global","combined",-0.459493670886076,0.001
20,"PPi","min","global","combined",-0.467088607594937,0.001
20,"PPi","max","global","combined",-0.311392405063291,0.001
20,"PPi","mean","global","combined",-0.413291139240506,0.001
20,"PPi","median","global","combined",-0.466455696202532,0.001
20,"PPi","slope","global","combined",-0.543670886075949,0.001
20,"PPi","range","global","combined",0.618987341772152,0.001
20,"PPi","variance","global","combined",0.618987341772152,0.001
20,"PPi","mean_lower","global","combined",-0.29873417721519,0.001
20,"PPi","mean_upper","global","combined",-0.474683544303797,0.001
20,"PImd","min","global","combined",-0.467088607594937,0.001
