"resolution","score","stat","analysis","genotype_form","correlation","p_value"
2,"CV_t","min","global","combined",-0.414556962025316,0.001
2,"CV_t","max","global","combined",-0.188607594936709,0.018
2,"CV_t","mean","global","combined",-0.337341772151899,0.001
2,"CV_t","median","global","combined",-0.381645569620253,0.001
2,"CV_t","slope","global","combined",-0.632278481012658,0.001
2,"CV_t","range","global","combined",0.667721518987342,0.001
2,"CV_t","variance","global","combined",0.666455696202532,0.001
2,"CV_t","mean_lower","global","combined",-0.248101265822785,0.002
2,"CV_t","mean_upper","global","combined",-0.415189873417722,0.001
2,"RN","min","global","combined",0.158227848101266,0.044
2,"RN","max","global","combined",-0.0575949367088608,0.498
2,"RN","mean","global","combined",0.0886075949367089,0.24
2,"RN","median","global","combined",0.132911392405063,0.089
2,"RN","slope","global","combined",1,0.001
2,"RN","range","global","combined",-0.79873417721519,0.001
2,"RN","variance","global","combined",-0.815189873417722,0.001
2,"RN","mean_lower","global","combined",-0.00569620253164557,0.939
2,"RN","mean_upper","global","combined",0.175316455696203,0.023
2,"RNN","min","global","combined",-0.0607594936708861,0.428
2,"RNN","max","global","combined",0.15126582278481,0.037
2,"RNN","mean","global","combined",0.0113924050632911,0.886
2,"RNN","median","global","combined",-0.0341772151898734,0.654
2,"RNN","slope","global","combined",-0.754430379746835,0.001
2,"RNN","range","global","combined",0.791139240506329,0.001
2,"RNN","variance","global","combined",0.826582278481013,0.001
2,"RNN","mean_lower","global","combined",0.0993670886075949,0.178
2,"RNN","mean_upper","global","combined",-0.0677215189873418,0.38
2,"D_slope","min","global","combined",-0.0822784810126582,0.259
2,"D_slope","max","global","combined",0.14620253164557,0.055
2,"D_slope","mean","global","combined",-0.00253164556962025,0.967
2,"D_slope","median","global","combined",-0.0443037974683544,0.557
2,"D_slope","slope","global","combined",-0.792405063291139,0.001
2,"D_slope","range","global","combined",0.981012658227848,0.001
2,"D_slope","variance","global","combined",0.969620253164557,0.001
2,"D_slope","mean_lower","global","combined",0.0816455696202532,0.265
2,"D_slope","mean_upper","global","combined",-0.0791139240506329,0.31
2,"RC","min","global","combined",-0.418354430379747,0.001
2,"RC","max","global","combined",-0.192405063291139,0.014
2,"RC","mean","global","combined",-0.341139240506329,0.001
2,"RC","median","global","combined",-0.385443037974684,0.001
2,"RC","slope","global","combined",-0.628481012658228,0.001
2,"RC","range","global","combined",0.663924050632911,0.001
2,"RC","variance","global","combined",0.662658227848101,0.001
2,"RC","mean_lower","global","combined",-0.251898734177215,0.001
2,"RC","mean_upper","global","combined",-0.418987341772152,0.001
2,"gPi","min","global","combined",-0.414556962025316,0.001
2,"gPi","max","global","combined",-0.188607594936709,0.016
2,"gPi","mean","global","combined",-0.337341772151899,0.001
2,"gPi","median","global","combined",-0.381645569620253,0.001
2,"gPi","slope","global","combined",-0.632278481012658,0.001
2,"gPi","range","global","combined",0.667721518987342,0.001
2,"gPi","variance","global","combined",0.666455696202532,0.001
2,"gPi","mean_lower","global","combined",-0.248101265822785,0.001
2,"gPi","mean_upper","global","combined",-0.415189873417722,0.001
2,"PPF","min","global","combined",-0.425316455696203,0.001
2,"PPF","max","global","combined",-0.196835443037975,0.014
2,"PPF","mean","global","combined",-0.344303797468354,0.001
2,"PPF","median","global","combined",-0.387341772151899,0.001
2,"PPF","slope","global","combined",-0.60126582278481,0.001
2,"PPF","range","global","combined",0.659493670886076,0.001
2,"PPF","variance","global","combined",0.653164556962025,0.001
2,"PPF","mean_lower","global","combined",-0.261392405063291,0.001
2,"PPF","mean_upper","global","combined",-0.417088607594937,0.001
2,"PPi","min","global","combined",-0.430379746835443,0.001
2,"PPi","max","global","combined",-0.201898734177215,0.016
2,"PPi","mean","global","combined",-0.350632911392405,0.001
2,"PPi","median","global","combined",-0.392405063291139,0.001
2,"PPi","slope","global","combined",-0.60506329113924,0.001
2,"PPi","range","global","combined",0.655696202531646,0.001
2,"PPi","variance","global","combined",0.646835443037975,0.001
2,"PPi","mean_lower","global","combined",-0.265189873417722,0.002
2,"PPi","mean_upper","global","combined",-0.427215189873418,0.001
2,"PImd","min","global","combined",-0.430379746835443,0.001
2,"PImd","max","global","combined",-0.201898734177215,0.007
2,"PImd","mean","global","combined",-0.350632911392405,0.001
2,"PImd","median","global","combined",-0.392405063291139,0.001
2,"PImd","slope","global","combined",-0.60506329113924,0.001
2,"PImd","range","global","combined",0.655696202531646,0.001
2,"PImd","variance","global","combined",0.646835443037975,0.001
2,"PImd","mean_lower","global","combined",-0.265189873417722,0.001
2,"PImd","mean_upper","global","combined",-0.427215189873418,0.001
2,"PILSM","min","global","combined",-0.430379746835443,0.001
2,"PILSM","max","global","combined",-0.201898734177215,0.005
2,"PILSM","mean","global","combined",-0.350632911392405,0.001
2,"PILSM","median","global","combined",-0.392405063291139,0.001
2,"PILSM","slope","global","combined",-0.60506329113924,0.001
2,"PILSM","range","global","combined",0.655696202531646,0.001
2,"PILSM","variance","global","combined",0.646835443037975,0.001
2,"PILSM","mean_lower","global","combined",-0.265189873417722,0.001
2,"PILSM","mean_upper","global","combined",-0.427215189873418,0.001
2,"RTR","min","global","combined",0.448101265822785,0.001
2,"RTR","max","global","combined",0.238607594936709,0.003
2,"RTR","mean","global","combined",0.383544303797468,0.001
2,"RTR","median","global","combined",0.422784810126582,0.001
2,"RTR","slope","global","combined",0.683544303797468,0.001
2,"RTR","range","global","combined",-0.517721518987342,0.001
2,"RTR","variance","global","combined",-0.522784810126582,0.001
2,"RTR","mean_lower","global","combined",0.289240506329114,0.001
2,"RTR","mean_upper","global","combined",0.468987341772152,0.001
2,"PIR","min","global","combined",-0.465189873417722,0.001
2,"PIR","max","global","combined",-0.241772151898734,0.003
2,"PIR","mean","global","combined",-0.390506329113924,0.001
2,"PIR","median","global","combined",-0.428481012658228,0.001
2,"PIR","slope","global","combined",-0.565189873417722,0.001
2,"PIR","range","global","combined",0.604430379746835,0.001
2,"PIR","variance","global","combined",0.591772151898734,0.001
2,"PIR","mean_lower","global","combined",-0.30506329113924,0.001
2,"PIR","mean_upper","global","combined",-0.464556962025316,0.001
2,"RDPI","min","global","combined",-0.421518987341772,0.001
2,"RDPI","max","global","combined",-0.195569620253165,0.01
2,"RDPI","mean","global","combined",-0.344303797468354,0.001
2,"RDPI","median","global","combined",-0.387341772151899,0.001
2,"RDPI","slope","global","combined",-0.618987341772152,0.001
2,"RDPI","range","global","combined",0.662025316455696,0.001
2,"RDPI","variance","global","combined",0.659493670886076,0.001
2,"RDPI","mean_lower","global","combined",-0.255063291139241,0.001
2,"RDPI","mean_upper","global","combined",-0.422151898734177,0.001
2,"ESPI","min","global","combined",-0.0860759493670886,0.239
2,"ESPI","max","global","combined",0.142405063291139,0.071
