"resolution","score_i","score_j","analysis","genotype_form","correlation","p_value"
10,"CV_t","RN","global","combined",-0.0158227848101266,0.839
10,"CV_t","RNN","global","combined",0.537341772151899,0.001
10,"CV_t","D_slope","global","combined",0.576582278481013,0.001
10,"CV_t","RC","global","combined",0.94620253164557,0.001
10,"CV_t","gPi","global","combined",1,0.001
10,"CV_t","PPF","global","combined",0.884810126582279,0.001
10,"CV_t","PPi","global","combined",0.925949367088608,0.001
10,"CV_t","PImd","global","combined",0.925949367088608,0.001
10,"CV_t","PILSM","global","combined",0.925949367088608,0.001
10,"CV_t","RTR","global","combined",-0.019620253164557,0.799
10,"CV_t","PIR","global","combined",0.856962025316456,0.001
10,"CV_t","RDPI","global","combined",0.948101265822785,0.001
10,"CV_t","ESPI","global","combined",0.574683544303797,0.001
10,"CV_t","ESPIID","global","combined",0.580379746835443,0.001
10,"CV_t","PSI","global","combined",-0.139873417721519,0.073
10,"CV_t","RPI","global","combined",0.948101265822785,0.001
10,"CV_t","PQ","global","combined",0.574683544303797,0.001
10,"CV_t","PR","global","combined",0.574683544303797,0.001
10,"CV_t","NRW","global","combined",0.574683544303797,0.001
10,"CV_t","ESP","global","combined",0.95253164556962,0.001
10,"CV_t","CEV","global","combined",1,0.001
10,"CV_t","PFI","global","combined",0.85506329113924,0.001
10,"CV_t","APC","global","combined",0.50126582278481,0.001
10,"CV_t","SI","global","combined",0.805696202531646,0.001
10,"CV_t","RSI","global","combined",-1,0.001
10,"CV_t","EVS","global","combined",0.579746835443038,0.001
10,"RN","RNN","global","combined",-0.0316455696202532,0.684
10,"RN","D_slope","global","combined",0.0518987341772152,0.478
10,"RN","RC","global","combined",-0.0189873417721519,0.8
10,"RN","gPi","global","combined",-0.0158227848101266,0.844
10,"RN","PPF","global","combined",0.0867088607594937,0.267
10,"RN","PPi","global","combined",-0.020253164556962,0.806
10,"RN","PImd","global","combined",-0.020253164556962,0.798
10,"RN","PILSM","global","combined",-0.020253164556962,0.816
10,"RN","RTR","global","combined",0.789873417721519,0.001
10,"RN","PIR","global","combined",0.0677215189873418,0.368
10,"RN","RDPI","global","combined",-0.019620253164557,0.809
10,"RN","ESPI","global","combined",0.0512658227848101,0.481
10,"RN","ESPIID","global","combined",0.0265822784810127,0.746
10,"RN","PSI","global","combined",-0.0265822784810127,0.715
10,"RN","RPI","global","combined",-0.019620253164557,0.792
10,"RN","PQ","global","combined",0.0512658227848101,0.493
10,"RN","PR","global","combined",0.0512658227848101,0.495
10,"RN","NRW","global","combined",0.0512658227848101,0.475
10,"RN","ESP","global","combined",-0.0227848101265823,0.784
10,"RN","CEV","global","combined",-0.0158227848101266,0.852
10,"RN","PFI","global","combined",-0.0189873417721519,0.827
10,"RN","APC","global","combined",0.0120253164556962,0.886
10,"RN","SI","global","combined",0.00886075949367089,0.905
10,"RN","RSI","global","combined",0.0158227848101266,0.847
10,"RN","EVS","global","combined",0.0449367088607595,0.539
10,"RNN","D_slope","global","combined",0.654430379746835,0.001
10,"RNN","RC","global","combined",0.508860759493671,0.001
10,"RNN","gPi","global","combined",0.537341772151899,0.001
10,"RNN","PPF","global","combined",0.509493670886076,0.001
10,"RNN","PPi","global","combined",0.525316455696203,0.001
10,"RNN","PImd","global","combined",0.525316455696203,0.001
10,"RNN","PILSM","global","combined",0.525316455696203,0.001
10,"RNN","RTR","global","combined",-0.0164556962025316,0.837
10,"RNN","PIR","global","combined",0.457594936708861,0.001
10,"RNN","RDPI","global","combined",0.510759493670886,0.001
10,"RNN","ESPI","global","combined",0.713291139240506,0.001
10,"RNN","ESPIID","global","combined",0.791139240506329,0.001
10,"RNN","PSI","global","combined",-0.0772151898734177,0.31
10,"RNN","RPI","global","combined",0.510759493670886,0.001
10,"RNN","PQ","global","combined",0.713291139240506,0.001
10,"RNN","PR","global","combined",0.713291139240506,0.001
10,"RNN","NRW","global","combined",0.713291139240506,0.001
10,"RNN","ESP","global","combined",0.513924050632911,0.001
10,"RNN","CEV","global","combined",0.537341772151899,0.001
10,"RNN","PFI","global","combined",0.563291139240506,0.001
10,"RNN","APC","global","combined",0.757594936708861,0.001
10,"RNN","SI","global","combined",0.634177215189873,0.001
10,"RNN","RSI","global","combined",-0.537341772151899,0.001
10,"RNN","EVS","global","combined",0.696835443037975,0.001
10,"D_slope","RC","global","combined",0.573417721518987,0.001
10,"D_slope","gPi","global","combined",0.576582278481013,0.001
10,"D_slope","PPF","global","combined",0.591772151898734,0.001
10,"D_slope","PPi","global","combined",0.593670886075949,0.001
10,"D_slope","PImd","global","combined",0.593670886075949,0.001
10,"D_slope","PILSM","global","combined",0.593670886075949,0.001
10,"D_slope","RTR","global","combined",0.0734177215189873,0.353
10,"D_slope","PIR","global","combined",0.596835443037975,0.001
10,"D_slope","RDPI","global","combined",0.596835443037975,0.001
10,"D_slope","ESPI","global","combined",0.905696202531646,0.001
10,"D_slope","ESPIID","global","combined",0.80253164556962,0.001
10,"D_slope","PSI","global","combined",-0.379746835443038,0.001
10,"D_slope","RPI","global","combined",0.596835443037975,0.001
10,"D_slope","PQ","global","combined",0.905696202531646,0.001
10,"D_slope","PR","global","combined",0.905696202531646,0.001
10,"D_slope","NRW","global","combined",0.905696202531646,0.001
10,"D_slope","ESP","global","combined",0.573417721518987,0.001
10,"D_slope","CEV","global","combined",0.576582278481013,0.001
10,"D_slope","PFI","global","combined",0.535443037974684,0.001
10,"D_slope","APC","global","combined",0.603164556962025,0.001
10,"D_slope","SI","global","combined",0.756962025316456,0.001
10,"D_slope","RSI","global","combined",-0.576582278481013,0.001
10,"D_slope","EVS","global","combined",0.900632911392405,0.001
10,"RC","gPi","global","combined",0.94620253164557,0.001
10,"RC","PPF","global","combined",0.874050632911392,0.001
10,"RC","PPi","global","combined",0.889873417721519,0.001
10,"RC","PImd","global","combined",0.889873417721519,0.001
10,"RC","PILSM","global","combined",0.889873417721519,0.001
10,"RC","RTR","global","combined",-0.0215189873417722,0.773
10,"RC","PIR","global","combined",0.838607594936709,0.001
10,"RC","RDPI","global","combined",0.94493670886076,0.001
10,"RC","ESPI","global","combined",0.558860759493671,0.001
10,"RC","ESPIID","global","combined",0.549367088607595,0.001
10,"RC","PSI","global","combined",-0.191139240506329,0.016
10,"RC","RPI","global","combined",0.94493670886076,0.001
10,"RC","PQ","global","combined",0.558860759493671,0.001
10,"RC","PR","global","combined",0.558860759493671,0.001
10,"RC","NRW","global","combined",0.558860759493671,0.001
10,"RC","ESP","global","combined",0.993670886075949,0.001
10,"RC","CEV","global","combined",0.94620253164557,0.001
10,"RC","PFI","global","combined",0.80126582278481,0.001
10,"RC","APC","global","combined",0.45506329113924,0.001
10,"RC","SI","global","combined",0.793670886075949,0.001
10,"RC","RSI","global","combined",-0.94620253164557,0.001
10,"RC","EVS","global","combined",0.579113924050633,0.001
10,"gPi","PPF","global","combined",0.884810126582279,0.001
10,"gPi","PPi","global","combined",0.925949367088608,0.001
10,"gPi","PImd","global","combined",0.925949367088608,0.001
10,"gPi","PILSM","global","combined",0.925949367088608,0.001
10,"gPi","RTR","global","combined",-0.019620253164557,0.809
10,"gPi","PIR","global","combined",0.856962025316456,0.001
10,"gPi","RDPI","global","combined",0.948101265822785,0.001
10,"gPi","ESPI","global","combined",0.574683544303797,0.001
10,"gPi","ESPIID","global","combined",0.580379746835443,0.001
10,"gPi","PSI","global","combined",-0.139873417721519,0.06
10,"gPi","RPI","global","combined",0.948101265822785,0.001
10,"gPi","PQ","global","combined",0.574683544303797,0.001
10,"gPi","PR","global","combined",0.574683544303797,0.001
10,"gPi","NRW","global","combined",0.574683544303797,0.001
10,"gPi","ESP","global","combined",0.95253164556962,0.001
10,"gPi","CEV","global","combined",1,0.001
10,"gPi","PFI","global","combined",0.85506329113924,0.001
10,"gPi","APC","global","combined",0.50126582278481,0.001
10,"gPi","SI","global","combined",0.805696202531646,0.001
10,"gPi","RSI","global","combined",-1,0.001
10,"gPi","EVS","global","combined",0.579746835443038,0.001
10,"PPF","PPi","global","combined",0.889240506329114,0.001
10,"PPF","PImd","global","combined",0.889240506329114,0.001
10,"PPF","PILSM","global","combined",0.889240506329114,0.001
10,"PPF","RTR","global","combined",0.0943037974683544,0.195
10,"PPF","PIR","global","combined",0.912658227848101,0.001
10,"PPF","RDPI","global","combined",0.893670886075949,0.001
10,"PPF","ESPI","global","combined",0.573417721518987,0.001
10,"PPF","ESPIID","global","combined",0.563924050632911,0.001
10,"PPF","PSI","global","combined",-0.160126582278481,0.035
10,"PPF","RPI","global","combined",0.893670886075949,0.001
