method,k,overlap_to_consensus,full_agree_consensus
D_slope,3,0.6666666666666666,FALSE
ESPI,3,1,TRUE
ESPIID,3,0.3333333333333333,FALSE
EVS,3,0.6666666666666666,FALSE
NRW,3,1,TRUE
PQ,3,1,TRUE
PR,3,1,TRUE
D_slope,5,0.8,FALSE
ESPI,5,1,TRUE
ESPIID,5,0.6,FALSE
EVS,5,0.4,FALSE
NRW,5,1,TRUE
PQ,5,1,TRUE
PR,5,1,TRUE
D_slope,10,0.8,FALSE
ESPI,10,1,TRUE
ESPIID,10,0.8,FALSE
EVS,10,0.7,FALSE
NRW,10,1,TRUE
PQ,10,1,TRUE
PR,10,1,TRUE
D_slope,15,0.8,FALSE
ESPI,15,1,TRUE
ESPIID,15,0.8666666666666667,FALSE
EVS,15,0.9333333333333333,FALSE
NRW,15,1,TRUE
PQ,15,1,TRUE
PR,15,1,TRUE
D_slope,20,0.85,FALSE
ESPI,20,1,TRUE
ESPIID,20,0.85,FALSE
EVS,20,0.85,FALSE
NRW,20,1,TRUE
PQ,20,1,TRUE
PR,20,1,TRUE
