resolution,score_i,score_j,correlation,p_value,n_common
10,APC,CEV,0.5012658227848101,4.673408968960795e-11,80
10,APC,CV_t,0.5012658227848101,4.673408968960795e-11,80
10,APC,D_slope,0.6031645569620253,2.398396381741419e-15,80
10,APC,ESP,0.46139240506329116,1.3825522985168478e-9,80
10,APC,ESPI,0.6645569620253164,2.6667251220564715e-18,80
10,APC,ESPIID,0.7981012658227848,1.089573923974816e-25,80
10,APC,EVS,0.6392405063291139,4.762438364575763e-17,80
10,APC,NRW,0.6645569620253164,2.6667251220564715e-18,80
10,APC,PFI,0.5955696202531645,5.3213041243128374e-15,80
10,APC,PILSM,0.5145569620253164,1.4236207690680186e-11,80
10,APC,PIR,0.4506329113924051,3.2938592614230733e-9,80
10,APC,PImd,0.5145569620253164,1.4236207690680186e-11,80
10,APC,PPF,0.47848101265822784,3.345684967014335e-10,80
10,APC,PPi,0.5145569620253164,1.4236207690680186e-11,80
10,APC,PQ,0.6645569620253164,2.6667251220564715e-18,80
10,APC,PR,0.6645569620253164,2.6667251220564715e-18,80
10,APC,PSI,-0.019620253164556962,0.7967240661481113,80
10,APC,RC,0.4550632911392405,2.3093208723851554e-9,80
10,APC,RDPI,0.47215189873417723,5.691106207472721e-10,80
10,APC,RN,0.012025316455696202,0.8745535866982759,80
10,APC,RNN,0.7575949367088608,2.6183440198828113e-23,80
10,APC,RPI,0.47215189873417723,5.691106207472721e-10,80
10,APC,RSI,-0.5012658227848101,4.673408968960795e-11,80
10,APC,RTR,0.02088607594936709,0.783924996124053,80
10,APC,SI,0.5816455696202532,2.2360598677613994e-14,80
10,APC,gPi,0.5012658227848101,4.673408968960795e-11,80
10,CEV,CV_t,1,2.253954062438668e-39,80
10,CEV,D_slope,0.5765822784810126,3.738138794213305e-14,80
10,CEV,ESP,0.9525316455696202,6.963044542370824e-36,80
10,CEV,ESPI,0.5746835443037974,4.527494911459453e-14,80
10,CEV,ESPIID,0.580379746835443,2.5436275225991763e-14,80
10,CEV,EVS,0.579746835443038,2.7126532635144987e-14,80
10,CEV,NRW,0.5746835443037974,4.527494911459453e-14,80
10,CEV,PFI,0.8550632911392405,3.0427997321905545e-29,80
10,CEV,PILSM,0.9259493670886076,5.295296186467334e-34,80
10,CEV,PIR,0.8569620253164557,2.2943375511293994e-29,80
10,CEV,PImd,0.9259493670886076,5.295296186467334e-34,80
10,CEV,PPF,0.8848101265822785,3.400265175700315e-31,80
10,CEV,PPi,0.9259493670886076,5.295296186467334e-34,80
10,CEV,PQ,0.5746835443037974,4.527494911459453e-14,80
10,CEV,PR,0.5746835443037974,4.527494911459453e-14,80
10,CEV,PSI,-0.13987341772151898,0.06630431487191875,80
10,CEV,RC,0.9462025316455697,1.9744470969842194e-35,80
10,CEV,RDPI,0.9481012658227848,1.4453216235160704e-35,80
10,CEV,RN,-0.015822784810126583,0.8354373550913812,80
10,CEV,RNN,0.5373417721518987,1.7307704113744703e-12,80
10,CEV,RPI,0.9481012658227848,1.4453216235160704e-35,80
10,CEV,RSI,-1,2.253954062438668e-39,80
10,CEV,RTR,-0.019620253164556962,0.7967240661481113,80
10,CEV,SI,0.8056962025316455,3.778419825866775e-26,80
10,CEV,gPi,1,2.253954062438668e-39,80
10,CV_t,D_slope,0.5765822784810126,3.738138794213305e-14,80
10,CV_t,ESP,0.9525316455696202,6.963044542370824e-36,80
10,CV_t,ESPI,0.5746835443037974,4.527494911459453e-14,80
10,CV_t,ESPIID,0.580379746835443,2.5436275225991763e-14,80
10,CV_t,EVS,0.579746835443038,2.7126532635144987e-14,80
10,CV_t,NRW,0.5746835443037974,4.527494911459453e-14,80
10,CV_t,PFI,0.8550632911392405,3.0427997321905545e-29,80
10,CV_t,PILSM,0.9259493670886076,5.295296186467334e-34,80
10,CV_t,PIR,0.8569620253164557,2.2943375511293994e-29,80
10,CV_t,PImd,0.9259493670886076,5.295296186467334e-34,80
10,CV_t,PPF,0.8848101265822785,3.400265175700315e-31,80
10,CV_t,PPi,0.9259493670886076,5.295296186467334e-34,80
10,CV_t,PQ,0.5746835443037974,4.527494911459453e-14,80
10,CV_t,PR,0.5746835443037974,4.527494911459453e-14,80
10,CV_t,PSI,-0.13987341772151898,0.06630431487191875,80
10,CV_t,RC,0.9462025316455697,1.9744470969842194e-35,80
